"rownum","Id","ChestsKey","rid","MinLevel","MaxLevel","Weight","i32"
0,"CurrencyRoom1",603,"",1,100,2400,0
1,"CurrencyRoom2",604,"",1,100,2400,0
2,"CurrencyRoom3",606,"",40,100,200,1
3,"CurrencyRoom4",607,"",1,100,1200,2
4,"CurrencyRoom5",608,"",68,100,20,1
5,"CurrencyRoom6",609,"",1,100,1200,2
6,"CurrencyRoom7",605,"",1,100,2400,0
7,"CurrencyRoom8",610,"",75,100,200,1
8,"CurrencyRoom9",611,"",50,100,40,1
9,"CurrencyRoom10",613,"",7,100,1200,2
10,"CurrencyRoom11",612,"",68,100,1,1
11,"CurrencyRoom12",614,"",1,100,1200,2
12,"CurrencyRoom13",615,"",68,100,200,2
13,"CurrencyRoom14",616,"",80,100,20,1
14,"ChestsRoom1",493,"",1,100,2400,0
15,"ChestsRoom2",494,"",1,100,2400,0
16,"ChestsRoom3",495,"",1,100,2400,0
17,"ChestsRoom4",496,"",1,100,200,1
18,"ChestsRoom5",497,"",68,100,1,1
19,"ChestsRoom6",498,"",20,100,40,1
20,"ChestsRoom7",499,"",68,100,1,1
21,"ChestsRoom8",500,"",68,100,200,1
22,"ChestsRoom9",501,"",80,100,40,1
23,"ChestsRoom10",502,"",1,100,200,1
24,"ChestsRoom11",503,"",1,100,1200,1
25,"ChestsRoom12",504,"",68,100,40,1
26,"ChestsRoom13",505,"",68,100,40,1
27,"ChestsRoom14",506,"",40,100,100,1
28,"ChestsRoom15",507,"",68,100,40,1
29,"ChestsRoom16",508,"",68,100,40,1
30,"ChestsRoom17",509,"",68,100,40,1
31,"ChestsRoom18",510,"",20,100,40,1
32,"ChestsRoom19",511,"",20,100,40,1
33,"ChestsRoom20",512,"",20,100,40,1
34,"ChestsRoom21",513,"",20,100,40,1
35,"ChestsRoom22",514,"",20,100,40,1
36,"ChestsRoom23",515,"",20,100,40,1
37,"ChestsRoom24",516,"",20,100,40,1
38,"ChestsRoom25",517,"",20,100,20,1
