"rownum","Id","BaseItemTypesKey","X","Y","IntId","Width","Height","StackSize"
0,"Metadata/Items/Currency/CurrencyDelveCraftingFire",235,530,75,0,1,1,72
1,"Metadata/Items/Currency/CurrencyDelveCraftingCold",236,334,75,1,1,1,72
2,"Metadata/Items/Currency/CurrencyDelveCraftingLightning",237,629,75,2,1,1,72
3,"Metadata/Items/Currency/CurrencyDelveCraftingPhysical",238,137,75,3,1,1,72
4,"Metadata/Items/Currency/CurrencyDelveCraftingChaos",239,432,75,4,1,1,72
5,"Metadata/Items/Currency/CurrencyDelveCraftingLife",240,727,75,5,1,1,72
6,"Metadata/Items/Currency/CurrencyDelveCraftingDefences",241,235,75,6,1,1,72
7,"Metadata/Items/Currency/CurrencyDelveCraftingBleedPoison",242,138,173,7,1,1,72
8,"Metadata/Items/Currency/CurrencyDelveCraftingElemental",243,334,173,8,1,1,72
9,"Metadata/Items/Currency/CurrencyDelveCraftingCasterMods",244,530,173,9,1,1,72
10,"Metadata/Items/Currency/CurrencyDelveCraftingAttackMods",245,727,173,10,1,1,72
11,"Metadata/Items/Currency/CurrencyDelveCraftingMana",246,629,173,11,1,1,72
12,"Metadata/Items/Currency/CurrencyDelveCraftingSpeed",247,825,173,12,1,1,72
13,"Metadata/Items/Currency/CurrencyDelveCraftingMinionsAuras",248,39,173,13,1,1,72
14,"Metadata/Items/Currency/CurrencyDelveCraftingQuality",249,236,173,14,1,1,72
15,"Metadata/Items/Currency/CurrencyDelveCraftingEnchant",250,432,173,15,1,1,72
16,"Metadata/Items/Currency/CurrencyDelveCraftingSockets",251,432,271,16,1,1,72
17,"Metadata/Items/Currency/CurrencyDelveCraftingGemLevel",252,727,369,17,1,1,72
18,"Metadata/Items/Currency/CurrencyDelveCraftingVaal",253,185,271,18,1,1,72
19,"Metadata/Items/Currency/CurrencyDelveCraftingAbyss",254,678,271,19,1,1,72
20,"Metadata/Items/Currency/CurrencyDelveCraftingMirror",255,776,271,20,1,1,72
21,"Metadata/Items/Currency/CurrencyDelveCraftingCorruptEssence",256,137,369,21,1,1,72
22,"Metadata/Items/Currency/CurrencyDelveCraftingRandom",257,87,271,22,1,1,72
23,"Metadata/Items/Currency/CurrencyDelveCraftingLuckyModRolls",258,530,271,23,1,1,72
24,"Metadata/Items/Currency/CurrencyDelveCraftingSellPrice",259,333,271,24,1,1,72
25,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade1",268,136,623,25,1,1,72
26,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade2",269,70,721,26,1,2,64
27,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade3",270,169,721,27,2,2,64
28,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade4",271,325,721,29,2,2,64
29,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll1",272,727,623,31,1,1,72
30,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll2",273,794,721,32,1,2,64
31,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll3",274,638,721,33,2,2,64
32,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll4",275,480,721,35,2,2,64
33,"GenericSlot1","",322,399,37,2,4,64
34,"GenericSlot2","",486,399,39,2,4,64
