"rownum","Level","Depth"
0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
5,6,0
6,7,0
7,8,0
8,9,0
9,10,0
10,11,0
11,12,0
12,13,0
13,14,0
14,15,0
15,16,0
16,17,0
17,18,0
18,19,0
19,20,0
20,21,0
21,22,0
22,23,0
23,24,0
24,25,0
25,26,0
26,27,0
27,28,0
28,29,0
29,30,0
30,31,0
31,32,0
32,33,0
33,34,0
34,35,0
35,36,0
36,37,0
37,38,0
38,39,0
39,40,1
40,41,2
41,42,3
42,43,4
43,44,5
44,45,6
45,46,7
46,47,8
47,48,9
48,49,10
49,50,11
50,51,12
51,52,13
52,53,14
53,54,15
54,55,16
55,56,17
56,57,18
57,58,19
58,59,20
59,60,21
60,61,22
61,62,23
62,63,24
63,64,25
64,65,26
65,66,27
66,67,28
67,68,29
68,69,29
69,70,30
70,71,30
71,72,30
72,73,31
73,74,31
74,75,31
75,76,32
76,77,32
77,78,32
78,79,32
79,80,33
80,81,33
81,82,33
82,83,33
83,84,33
84,85,34
85,86,34
86,87,34
87,88,34
88,89,34
89,90,35
90,91,35
91,92,35
92,93,35
93,94,35
94,95,35
95,96,35
96,97,35
97,98,35
98,99,35
99,100,35
