"rownum","Id","string","rid","rid","string","[string]","[string]","i32","rid"
0,"NormalDoor","door","","","",[],[],0,""
1,"LockpickDoorIn","door_lockpick",0,"","",[],[],0,""
2,"LockpickDoorOut","door_lockpickout","",0,"security",[],[],0,""
3,"BruteForceDoorIn","door_bruteforce",1,"","",[],[],0,""
4,"BruteForceDoorOut","door_bruteforceout","",1,"security",[],[],0,""
5,"PerceptionDoorIn","door_perception",2,"","",[],[],0,""
6,"PerceptionDoorOut","door_perceptionout","",2,"security",[],[],0,""
7,"DemolitionDoorIn","door_demolition",3,"","",[],[],0,""
8,"DemolitionDoorOut","door_demolitionout","",3,"security",[],[],0,""
9,"CounterThaumaturgeDoorIn","door_countermagic",4,"","",[],[],0,""
10,"CounterThaumaturgeDoorIn","door_mindcontrol",4,"","",[],"[""FloorLever""]",1,5
11,"CounterThaumaturgeDoorOut","door_countermagic","",4,"security",[],[],0,""
12,"TrapDisarmamentDoorIn","door_disarmament",5,"","",[],[],0,""
13,"TrapDisarmamentDoorOut","door_disarmamentout","",5,"security",[],[],0,""
14,"AgilityDoorIn","door_agility",6,"","","[""VentIn""]","[""VentOut"",""FloorLever""]",0,""
15,"AgilityDoorOut","door","","","",[],[],0,""
16,"DeceptionDoorIn","door_deception",7,"","",[],"[""FloorLever""]",0,""
17,"DeceptionDoorOut","door","","","",[],[],0,""
18,"EngineeringDoorIn","door_engineering",8,"","",[],[],0,""
19,"EngineeringDoorOut","door_engineeringout","",8,"security",[],[],0,""
