"rownum","Id","Name","SpawnWeight","WorldAreasKey","Image","AchievementItemsKeys","MinTier","i32","i32","i32","[i32]","string","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool"
0,"Nothing","",[0],"","",[],0,0,30,0,[],"","",0,0,503316480,0,16777216,0,436207616,0,0,0,503316480,0,"","",""
1,"MineEntrance","Mine Entrance",[0],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/MineEntrance",[],0,0,30,0,[],"","",0,0,503316480,0,16777216,0,436207616,0,0,0,503316480,0,"","",""
2,"ObstructionNorth","",[0],"","",[],0,0,30,0,[],"","",0,0,503316480,0,16777216,0,436207616,0,0,0,503316480,0,"","",""
3,"ObstructionEast","",[0],"","",[],0,0,30,0,[],"","",0,0,503316480,0,16777216,0,436207616,0,0,0,503316480,0,"","",""
4,"ObstructionSouth","",[0],"","",[],0,0,30,0,[],"","",0,0,503316480,0,16777216,0,436207616,0,0,0,503316480,0,"","",""
5,"ObstructionWest","",[0],"","",[],0,0,30,0,[],"","",0,0,503316480,0,16777216,0,436207616,0,0,0,503316480,0,"","",""
6,"DarkChest","",[0],"","",[],0,0,30,0,[],"","",0,0,503316480,0,16777216,0,436207616,0,0,0,503316480,0,"","",""
7,"Azurite1_Q","Azurite Cavity",[0],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],0,0,30,0,[],"Contains Azurite","",0,0,503316480,0,16777216,0,436207616,0,0,0,503316480,0,"","",""
8,"Breach","Whispering Gallery",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Breach",[],2,0,748,0,[10],"Contains a Breach","",16777216,0,436207616,0,16777216,0,436207616,0,33554432,0,637534208,3,"","",""
9,"Harbinger","Runed Cavern",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Harbinger",[],2,0,748,0,[10],"Contains a Harbinger","",16777216,0,436207616,0,16777216,0,436207616,0,33554432,0,637534208,3,"","",""
10,"Azurite1_1","Azurite Cavity",[500],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],1,0,1050,0,[],"Contains Azurite","",0,0,503316480,0,16777216,0,436207616,0,16777216,0,436207616,0,"","",""
11,"Azurite1_2","Azurite Cavity",[500],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],1,0,1050,0,[],"Contains Azurite","",0,0,503316480,0,16777216,0,436207616,0,16777216,0,436207616,0,"","",""
12,"Azurite1_3","Azurite Cavity",[500],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],1,0,1050,0,[],"Contains Azurite","",0,0,503316480,0,16777216,0,436207616,0,16777216,0,436207616,0,"","",""
13,"Azurite1_4","Azurite Cavity",[500],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],1,0,1050,0,[],"Contains Azurite","",0,0,503316480,0,16777216,0,436207616,0,16777216,0,436207616,0,"","",""
14,"Azurite2_1","Azurite Vault",[300],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinII",[],1,0,1310,0,[20],"Contains Azurite","",16777216,0,436207616,0,16777216,0,436207616,0,16777216,0,436207616,0,"","",""
15,"Azurite2_2","Azurite Vault",[300],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinII",[],1,0,1310,0,[20],"Contains Azurite","",16777216,0,436207616,0,16777216,0,436207616,0,16777216,0,436207616,0,"","",""
16,"Azurite2_3","Azurite Vault",[300],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinII",[],1,0,1310,0,[20],"Contains Azurite","",16777216,0,436207616,0,16777216,0,436207616,0,16777216,0,436207616,0,"","",""
17,"Azurite2_4","Azurite Vault",[300],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinII",[],1,0,1310,0,[20],"Contains Azurite","",16777216,0,436207616,0,16777216,0,436207616,0,16777216,0,436207616,0,"","",""
18,"Azurite3_1","Azurite Fissure",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinIII",[],1,0,1580,0,"[40,35]","Contains Azurite","",33554432,0,637534208,3,16777216,0,436207616,0,16777216,0,436207616,0,"","",""
19,"Azurite3_2","Azurite Fissure",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinIII",[],1,0,1580,0,"[40,35]","Contains Azurite","",33554432,0,637534208,3,16777216,0,436207616,0,16777216,0,436207616,0,"","",""
20,"Azurite3_3","Azurite Fissure",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinIII",[],1,0,1580,0,"[40,35]","Contains Azurite","",33554432,0,637534208,3,16777216,0,436207616,0,16777216,0,436207616,0,"","",""
21,"FungalCavernsFossil","Haunted Tomb",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],1,0,1822,0,"[83,52,35]","Contains Fossils","",50331648,0,1442840576,7,16777216,0,436207616,0,16777216,0,436207616,0,"","",""
