"rownum","ChestsKey","i32","i32","MinLevel","MaxLevel","rid"
0,275,48000,25,2,100,""
1,277,6000,50,2,100,""
2,278,6000,50,2,100,13641
3,279,6000,50,30,100,13644
4,280,6000,50,40,100,""
5,281,480,75,2,100,""
6,282,480,75,2,100,13645
7,283,480,75,40,100,""
8,284,480,75,40,100,13642
9,285,480,75,56,100,""
10,286,240,100,56,100,""
11,287,240,100,62,100,13643
12,288,1,100,12,100,""
13,289,0,0,0,100,""
14,290,0,0,0,100,""
15,291,0,0,0,100,""
16,292,0,0,0,100,""
17,293,0,0,0,100,""
18,294,0,0,0,100,""
19,276,0,0,0,100,""
20,295,0,0,0,100,""
