"rownum","Id","Base_ENVFile","Corrupted_ENVFile","i32","i32","i32","i32","string","rid","rid"
0,"NULL","","",2387,2387,0,0,"NoMusic","",""
1,"NoMusic","Metadata/EnvironmentSettings/no_music.env","",2387,2387,0,0,"NoMusic","",""
2,"1_1","Metadata/EnvironmentSettings/1_1_1.env","",2387,2387,0,0,"NoMusic","",""
3,"1_1w","Metadata/EnvironmentSettings/1_1_1.env","",2387,2387,0,0,"NoMusic","",""
4,"1_1_silent","Metadata/EnvironmentSettings/no_music.env","",2387,2387,0,0,"NoMusic","",""
5,"1_2","Metadata/EnvironmentSettings/1_1_2_Night.env","",2387,2387,0,0,"NoMusic","",""
6,"1_2_remakeledges","Metadata/EnvironmentSettings/1_1_2_LedgeRemake.env","",2387,2387,0,0,"NoMusic","",""
7,"1_2a","Metadata/EnvironmentSettings/1_1_2a.env","",2387,2387,0,0,"NoMusic","",""
8,"1_3","Metadata/EnvironmentSettings/1_1_3_Dawn.env","Metadata/EnvironmentSettings/1_1_3_Sunny.env",2387,2387,0,0,"NoMusic",0,""
9,"1_3a","Metadata/EnvironmentSettings/1_1_3a_Dark.env","Metadata/EnvironmentSettings/1_1_3a_Sunny.env",2387,228,0,0,"NoMusic","",""
10,"1_4_0","Metadata/EnvironmentSettings/1_1_4_0.env","",2387,2387,0,0,"NoMusic","",""
11,"1_4_0_synthesis","Metadata/EnvironmentSettings/1_1_4_0_synthesis.env","",2387,2387,0,0,"NoMusic","",""
12,"1_4_1","Metadata/EnvironmentSettings/1_1_4_1.env","",2387,2387,0,0,"NoMusic","",""
13,"1_4_2","Metadata/EnvironmentSettings/1_1_4_2.env","",2387,2387,0,0,"NoMusic","",""
14,"1_5","Metadata/EnvironmentSettings/1_1_5.env","",2387,2387,0,0,"NoMusic","",""
15,"1_6","Metadata/EnvironmentSettings/1_1_6.env","",2387,2387,0,0,"NoMusic","",""
16,"1_7_1","Metadata/EnvironmentSettings/1_1_7_1.env","",2387,2387,0,0,"NoMusic","",""
17,"1_7_2","Metadata/EnvironmentSettings/1_1_7_2.env","",2387,2387,0,0,"NoMusic","",""
18,"1_7_3","Metadata/EnvironmentSettings/1_1_7_3.env","",2387,2387,0,0,"NoMusic","",""
19,"1_7_3_silent","Metadata/EnvironmentSettings/boss_silent.env","",2387,2387,0,0,"NoMusic","",""
20,"1_8","Metadata/EnvironmentSettings/1_1_8.env","",2387,2387,0,0,"NoMusic","",""
21,"1_9","Metadata/EnvironmentSettings/1_1_9.env","",2387,2387,0,0,"NoMusic","",""
22,"1_9test","Metadata/EnvironmentSettings/1_1_9test.env","",2387,2387,0,0,"NoMusic","",""
23,"1_9a","Metadata/EnvironmentSettings/1_1_9a.env","",2387,2387,0,0,"NoMusic","",""
24,"1_11_1","Metadata/EnvironmentSettings/1_1_11_1.env","",2387,2387,0,0,"NoMusic","",""
25,"1_11_2","Metadata/EnvironmentSettings/1_1_11_2.env","",2387,2387,0,0,"NoMusic","",""
26,"1_11_3_silent","Metadata/EnvironmentSettings/boss_silent.env","",2387,2387,0,0,"NoMusic","",""
27,"1_11_3_boss","Metadata/EnvironmentSettings/1_1_11_3.env","",2387,2387,0,0,"NoMusic","",""
28,"1_town","Metadata/EnvironmentSettings/1_1_town.env","",2387,2387,0,0,"NoMusic","",""
