"rownum","Id","IsSupport","AllowedActiveSkillTypes","BaseEffectiveness","IncrementalEffectiveness","SupportGemLetter","i32","AddedActiveSkillTypes","ExcludedActiveSkillTypes","SupportsGemsOnly","i32","[i32]","bool","i32","i32","rid","bool","bool","[i32]","rid","rid","bool","[rid]","i32","i32"
0,"Fireball","",[],2.9384,0.0412,"",3,[],[],"",-800852557,[],"",2,750,44,"","",[],"","","",[],-16843010,-16843010
1,"MonsterFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
2,"BlightMonsterFireball","",[],2.5,0.045,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
3,"GemlingFireball1","",[],1.7889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
4,"GemlingFireball2","",[],1.7889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
5,"GemlingFireball3","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,3000,44,"","",[],"","","",[],-16843010,-16843010
6,"FireballSuperNovaCitystalker","",[],0.6111,0.0394,"",3,[],[],"",0,[],"",2,2300,44,"","",[],"","","",[],-16843010,-16843010
7,"MonsterFireball3Parallel","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],-16843010,-16843010
8,"HolyFireElementalFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
9,"LegionTemplarFireball","",[],2.75,0.04,"",3,[],[],"",0,[],"",2,1330,44,"","",[],"","","",[],-16843010,-16843010
10,"HolyCitystalkerFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
11,"AbberathMinionFireball","",[],1.7833,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
12,"AbberathMinionFireballMap","",[],1.605,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
13,"ExileShadowFireball","",[],0.9444,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
14,"AvariusFireball","",[],4.4444,0.03,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],-16843010,-16843010
15,"AvariusWickermanFireball","",[],2,0.03,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],-16843010,-16843010
16,"AvariusJudgeFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
17,"BlackguardClericBossFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],-16843010,-16843010
18,"VaalSideAreaBossHolyFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
19,"PhoenixMinionFireball","",[],4.6444,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
20,"IzaroDaemonFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
21,"MonsterFireballSideArea","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
22,"ProphecyFireballBurst","",[],1.5222,0.0414,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
23,"EssenceFireballBurst","",[],1.5222,0.0414,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
24,"ProphecyMultiFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
25,"MonsterFireballStrMissionBoss","",[],0.5889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
26,"MonsterFireballKaomsChest","",[],1.5222,0.0414,"",1,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
27,"MonsterMultiFireball","",[],0.7778,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
28,"MonsterMultiFireballSpectre","",[],0.7778,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
29,"MonsterSplitFireball","",[],0.9556,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
30,"MonsterSplitFireballSpectre","",[],0.9556,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
31,"MonsterLesserMultiFireball","",[],0.8889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
32,"MonsterLesserMultiFireballSpectre","",[],0.8889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
33,"MonsterFireballGoatmanBoss","",[],1.0222,0.0339,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
34,"MonsterFireballVaalSummonedSkeleton","",[],1.1889,0.0475,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
35,"PyroFireball","",[],1.1889,0.0394,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
36,"PyroFireballInvasion","",[],1.1889,0.0394,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
37,"BloodlinesYellowElementalPyroFireball","",[],0.4467,0.034,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
38,"PyroFireballBossSideArea","",[],1.0222,0.0394,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
39,"PyroChaosFireball","",[],1.3556,0.0285,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
40,"WbAnimatedItemChaosFireball","",[],1.3556,0.0285,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],-16843010,-16843010
