"rownum","BetrayalDialogueCueKey","i32","i32","i32","i32","i32","[i32]","rid","i32","rid","[rid]","rid","bool","[i32]","[rid]","bool","[i32]","rid","[rid]"
0,4,0,0,0,0,0,[],"",10,"",[],"","",[],[],1,[9],2283,[]
1,4,0,0,0,0,1,[],"",100,1,[],"","",[],[],"",[],2284,[]
2,4,0,0,0,0,2,[],"",100,2,[],"","",[],[],"",[],2285,[]
3,4,0,0,0,0,3,[],"",100,4,[],"","",[],[],"",[],2286,[]
4,4,0,0,0,0,4,[],"",100,3,[],"","",[],[],"",[],2287,[]
5,4,0,0,0,0,5,[1],"",300,"",[],"","",[],[],"",[],2288,[]
6,4,0,0,0,0,6,[3],"",300,"",[],"","",[],[],"",[],2289,[]
7,4,0,0,0,0,7,[5],"",300,"",[],"","",[],[],"",[],2290,[]
8,4,0,0,0,0,8,[6],"",300,"",[],"","",[],[],"",[],2291,[]
9,4,0,0,0,0,9,"[2,4]","",300,"",[],"","",[],[],"",[],2292,[]
10,4,0,0,0,0,10,[],"",100,"",[],24,"",[],[],"",[],2293,[]
11,4,0,0,0,0,11,[],"",100,"",[],14,"",[],[],"",[],2294,[]
12,4,0,0,0,0,12,[],"",100,"",[],9,"",[],[],"",[],2295,[]
13,4,0,0,0,0,13,[],"",100,"",[],5,"",[],[],"",[],2296,[]
14,4,0,0,0,0,14,[],"",100,"",[],16,"",[],[],"",[],2297,[]
15,4,0,0,0,13,0,[],"",10,"",[],"","",[],[],1,[],2298,[]
16,4,0,0,0,1,0,[],"",100,1,"[1,2]","","",[],[],"",[],2299,[]
17,4,0,0,0,1,1,[],"",100,2,"[1,2]","","",[],[],"",[],2300,[]
18,4,0,0,0,1,2,[],"",100,4,"[1,2]","","",[],[],"",[],2301,[]
19,4,0,0,0,1,3,[],"",100,3,"[1,2]","","",[],[],"",[],2302,[]
20,4,0,0,0,1,4,[],"",100,"","[1,2]","","",[],[],"",[],2303,[]
21,4,0,0,0,1,5,[],"",100,"","[1,2]","","",[],[],"",[],2304,[]
22,4,0,0,0,1,6,[],1,1000,"","[1,2]","","",[],[],1,[],2305,[]
23,4,0,0,0,1,7,[],3,1000,"","[1,2]","","",[],[],1,[],2306,[]
24,4,0,0,0,1,8,[],5,1000,"","[1,2]","","",[],[],1,[],2307,[]
25,4,0,0,0,1,9,[],8,1000,"","[1,2]","","",[],[],1,[],2308,[]
26,4,0,0,0,1,10,[],12,1000,"","[1,2]","","",[],[],1,[],2309,[]
27,4,0,0,0,1,11,[],"",100,"","[1,2]","","",[],[],"",[],2310,[]
28,4,0,0,0,1,12,[],"",100,1,[0],"","",[],[],"",[],2311,[]
29,4,0,0,0,1,13,[],"",100,2,[0],"","",[],[],"",[],2312,[]
30,4,0,0,0,1,14,[],"",100,4,[0],"","",[],[],"",[],2313,[]
31,4,0,0,0,1,15,[],"",100,3,[0],"","",[],[],"",[],2314,[]
32,4,0,0,0,1,16,[],3,1000,"",[0],"","",[],[],1,[],2315,[]
33,4,0,0,0,1,17,[],5,1000,"",[0],"","",[],[],1,[],2316,[]
34,4,0,0,0,1,18,[],8,1000,"",[0],"","",[],[],1,[],2317,[]
35,4,0,0,0,1,19,[],13,1000,"",[0],"","",[],[],1,[],2318,[]
36,4,0,0,0,1,20,[],14,1000,"",[0],"","",[],[],1,[],2319,[]
37,4,0,0,0,1,21,[],"",100,"",[0],"","",[],[],"",[],2320,[]
38,4,0,0,0,2,0,[],"",100,1,[0],"","",[],[],"",[],2321,[]
39,4,0,0,0,2,1,[],"",100,2,[0],"","",[],[],"",[],2322,[]
40,4,0,0,0,2,2,[],"",100,4,[0],"","",[],[],"",[],2323,[]
41,4,0,0,0,2,3,[],"",100,3,[0],"","",[],[],"",[],2324,[]
42,4,0,0,0,2,4,[],7,1000,"",[0],"","",[],[],1,[],2325,[]
43,4,0,0,0,2,5,[],3,1000,"",[0],"","",[],[],1,[],2326,[]
44,4,0,0,0,2,6,[],10,1000,"",[0],"","",[],[],1,[],2327,[]
45,4,0,0,0,2,7,[],6,1000,"",[0],"","",[],[],1,[],2328,[]
46,4,0,0,0,2,8,[],17,1000,"",[0],"","",[],[],1,[],2329,[]
47,4,0,0,0,2,9,[],"",100,"",[0],"","",[],[],"",[],2330,[]
48,4,0,0,0,1,22,[7],"",100,1,[],"","",[],[],"",[],2331,[]
49,4,0,0,0,1,23,[7],"",100,2,[],"","",[],[],"",[],2332,[]
50,4,0,0,0,1,24,[7],"",100,4,[],"","",[],[],"",[],2333,[]
51,4,0,0,0,1,25,[7],"",100,3,[],"","",[],[],"",[],2334,[]
52,4,0,0,0,1,26,[7],7,1000,"",[],"","",[],[],1,[],2335,[]
53,4,0,0,0,1,27,[7],3,1000,"",[],"","",[],[],1,[],2336,[]
54,4,0,0,0,1,28,[7],8,1000,"",[],"","",[],[],1,[],2337,[]
55,4,0,0,0,1,29,[7],13,1000,"",[],"","",[],[],1,[],2338,[]
56,4,0,0,0,1,30,[7],14,1000,"",[],"","",[],[],1,[],2339,[]
57,4,0,0,0,1,31,[7],"",100,"",[],"","",[],[],"",[],2340,[]
58,4,0,0,0,3,0,[],"",100,1,[],"","",[],[],"",[],2341,[]
59,4,0,0,0,3,1,[],"",100,2,[],"","",[],[],"",[],2342,[]
60,4,0,0,0,3,2,[],"",100,4,[],"","",[],[],"",[],2343,[]
61,4,0,0,0,3,3,[],"",100,3,[],"","",[],[],"",[],2344,[]
62,4,0,0,0,4,0,[],"",100,"",[0],"","",[],[],"",[],2345,[]
63,4,0,0,0,4,1,[],"",100,2,[],"","",[],[],"",[],2346,[]
64,4,0,0,0,4,2,[],"",100,4,[],"","",[],[],"",[],2347,[]
65,4,0,0,0,5,0,[],"",100,1,[],"","",[],[],"",[],2348,[]
66,4,0,0,0,5,1,[],"",100,2,[],"","",[],[],"",[],2349,[]
67,4,0,0,0,5,2,[],"",100,4,[],"","",[],[],"",[],2350,[]
68,4,0,0,0,5,3,[],"",100,3,[],"","",[],[],"",[],2351,[]
69,4,0,0,0,5,4,[1],"",300,"",[],"","",[],[],"",[],2352,[]
70,4,0,0,0,5,5,[3],"",300,"",[],"","",[],[],"",[],2353,[]
71,4,0,0,0,5,6,[5],"",300,"",[],"","",[],[],"",[],2354,[]
72,4,0,0,0,5,7,[6],"",300,"",[],"","",[],[],"",[],2355,[]
73,4,0,0,0,5,8,"[2,4]","",300,"",[],"","",[],[],"",[],2356,[]
74,4,0,0,0,5,9,[],"",100,"","[1,2]","","",[],[],"",[],2357,[]
75,4,0,0,0,5,10,[],"",100,"",[0],"","",[],[],"",[],2358,[]
76,4,0,0,0,8,0,[8],"",1000,"",[],"","",[],"[3,7,4,10,9,8,18,19,20,21,22,13,14,15]","",[],2359,[]
77,4,0,0,0,8,1,[],"",300,"",[],"","",[],[3],"",[],2360,[]
78,4,0,0,0,8,2,[],"",300,"",[],"","",[],[7],"",[],2361,[]
79,4,0,0,0,8,3,[],"",300,"",[],"","",[],[4],"",[],2362,[]
80,4,0,0,0,8,4,[],"",300,"",[],"","",[],[10],"",[],2363,[]
81,4,0,0,0,8,5,[],"",300,"",[],"","",[],"[9,8]","",[],2364,[]
82,4,0,0,0,8,6,[],"",300,"",[],"","",[],"[18,19,20,21,22,13,14,15]","",[],2365,[]
83,4,0,0,0,9,0,[],"",100,"",[],"","",[],"[3,13,14,15]","",[],2366,[]
84,4,0,0,0,9,1,[],"",100,"",[],"","",[],[7],"",[],2367,[]
85,4,0,0,0,9,2,[],"",100,"",[],"","",[],[4],"",[],2368,[]
86,4,0,0,0,9,3,[],"",100,"",[],"","",[],[10],"",[],2369,[]
87,4,0,0,0,9,4,[],"",100,"",[],"","",[],"[9,8]","",[],2370,[]
