"rownum","Id","rid","i32","PreloadGroupsKeys","i32"
0,"SoulEaterBeam",272,1128792064,[],3
1,"VaalOversoulBeam",89,1138327552,[],4
2,"AtziriOversoulBeam",90,1138327552,[],4
3,"Arc",2136,1140719616,[],4
4,"PietyArc",161,1140719616,[],4
5,"GuardianArc",160,1125187584,[],4
6,"ArcPurpleMTX",1209,1140719616,[],4
7,"SearingBond",183,1140457472,[],4
8,"SearingBondGreen",187,1140457472,[],4
9,"SearingBondBlue",443,1140457472,[],4
10,"PulseBeamFire",453,1140457472,[1],4
11,"PulseBeamCold",454,1140457472,[1],4
12,"PulseBeamLightning",455,1140457472,[1],4
13,"BallLightningBeam",148,1125187584,[],4
14,"SummonStormsBeam",466,1128792064,[],4
15,"AnimatedGuardianBeam",472,1138327552,[1],4
16,"PhylacteralLinkBeam",474,1138327552,[1],4
17,"ChillingBondBeam",189,1140457472,[],4
18,"SeawitchLightningBeam",299,1140457472,[],4
19,"BallLightningBeamPlayer",380,1125187584,[],4
20,"BallLightningGroundBeam",149,1125187584,[],4
21,"InfernalSwarmBeam",373,1128792064,[],4
22,"ColdChargedBeam",499,1140457472,[],4
23,"CorruptedBallLightningBeam",521,1125187584,[],4
24,"CorruptedLightningBeam",522,1133903872,[],4
25,"ElementalStrikeLightningBeam",589,1140719616,[],4
26,"TempestShieldBeam",592,1140719616,[],4
27,"EyeBallLightningBeam",599,1125187584,[],4
28,"StaticTetherBolt",643,1125187584,[],4
29,"StormCloudBeam",677,1140457472,[],4
30,"VinktarLightningBond",299,1140457472,[],4
31,"IzaroGargoyleBeam",855,1140457472,[],4
32,"LightningGolemOrbBeam",863,1125187584,[],4
33,"PerandusChestBeam",890,1128792064,[4],4
34,"GoddessBeam",980,1140457472,[],4
35,"MinotaurArcTrapBeam",1005,1140719616,[],4
36,"ZanaDisruptionBeam",1051,1140457472,[],4
37,"FireBeam",1083,1133576192,[],4
38,"SkeletalChainsBeam",1102,1133248512,[],4
39,"BreachLightningBeam",1105,1142358016,[],4
40,"SolarisBackflipBeam",1157,1141964800,[],4
41,"SolarisSkyBeamBeam",1158,1133903872,[],4
42,"AvariusDivineBeam",1171,1144094720,[],4
43,"TukohamaShieldBeam",1177,1140457472,[],4
44,"BrutusChainBeam",1191,1140457472,[],4
45,"ShavronneLevitationBeam",1192,1140457472,[],4
46,"ShavronneEmpoweringBeam",1193,1140457472,[],4
47,"FireBeamMonster",1202,1133576192,[],4
48,"TemplarBallLightningBeam",1206,1125187584,[],4
49,"TemplarBallLightningGroundBeam",1207,1120403456,[],4
50,"KitavaBeam",1292,1145569280,[],4
51,"RighteousFireSacrificeBeam",443,1140457472,[],4
52,"SpiderGodLaserBeam",1325,1128792064,[],4
53,"SignOfPurityBeam",1331,1142292480,[],4
54,"ArakaaliLaserBeam",1374,1120403456,[],4
55,"SpecialBeamCannon",1437,1143930880,[],4
56,"FireBeamDivine",1445,1133576192,[],4
57,"InfernalSwarmBeamCold",1465,1128792064,[],4
58,"SinBeam",1520,1142292480,[],4
59,"SinDeathBeam",1522,1142292480,[],4
60,"InnocenceDeathBeam",1524,1142292480,[],4
61,"KitavaBeamBallBeam",1538,1135542272,[],4
62,"GeneralAdusCharge",1545,1140457472,[],4
63,"StoneGaze",1569,1140457472,[],4
64,"HarbingerChill",1570,1140457472,[],4
65,"HarbingerShock",1571,1140457472,[],4
66,"HarbingerSpecialBeamCannon",1577,1143930880,[],4
67,"HarbingerSkyBeamBeam",1579,1133903872,[],4
68,"LightningTendrilsChannelledBeam",1587,1149452288,[],4
69,"StormCloudBeamCelestial",1603,1137180672,[],4
70,"UnholyTrioBallLightningBolt",1608,1125515264,[],4
71,"UnholyTrioBallLightningGroundBolt",1608,1125515264,[],4
72,"BallLightningCelestialBeam",1613,1125187584,[],4
73,"SpiritChargeBeam",1644,1142292480,[],4
74,"KitavaBeamBallBeamLightning",1719,1135542272,[],4
75,"ElderGuardianLightningBeam",1726,1149452288,[],4
76,"ElderGuardianLightningBoltBeam",1729,1149452288,[],4
77,"ElderGuardianLightningDegenBeam",1731,1149616128,[],4
78,"ElderGuardianChaosVineBeam",1752,1133903872,[],3
79,"AbyssLichTravelBeam",1784,1150681088,[],4
80,"ToraRope",1829,1134526464,[],4
81,"FireBeamStygian",1830,1133576192,[],4
82,"VilentaBeam",1867,1140785152,[],4
83,"VilentaRageBeam",1880,1140457472,[],4
84,"NemesisConstrictingGraspVine",1887,1133903872,[],3
85,"BestiarySpiderBossVenomBeam",1864,1133903872,[],4
86,"ColdBeamRetaliation",2009,1143930880,[],4
87,"LightningTowerTrapBeam",1981,1138819072,[],4
88,"AutomatonLightningTowerTrapBeam",1984,1138819072,[],4
89,"IceSiphonTrapBeam",1996,1133903872,[],4
90,"ArchitectHealingTotemBeam",2051,1133903872,[],4
91,"IncursionNovasoulChannelledBeam",2115,1140785152,[],4
92,"IncursionNovasoulMassChannelledBeam",2116,1140785152,[],4
93,"IncursionNovasoulTriggerBeam",2117,1138327552,[],4
94,"IncursionNovasoulMassTriggerBeam",2118,1140457472,[],4
95,"ArchitectBloodBeam",2126,1138491392,[],4
96,"ArcAutomaton",2138,1142456320,[],4
97,"IncursionArcTrapBeam",2204,1140719616,[],4
98,"DelveLightBeam",2219,1134526464,[],4
99,"FireBeamShaper",2246,1140457472,[],4
100,"FireBeamMachinarium",2260,1140457472,[],4
101,"DelveAbyssLich3ReflectionBeam",2290,1140457472,[],4
102,"DelveAbyssLich3ChannelledBeam",2329,1140457472,[],4
103,"StaticStrikeBeamMoving",2339,1142292480,[],4
