"rownum","Id","rid","bool","bool","bool","i32"
0,0,13,"","","",0
1,1,31,"","","",0
2,2,71,"","","",0
3,3,86,"","","",0
4,4,71,"","","",0
5,5,92,"","","",0
6,6,20,"","","",0
7,7,95,"","","",0
8,8,114,"","","",0
9,9,59,"","","",0
10,10,122,"","","",0
11,11,123,"","","",0
12,12,137,"","","",0
13,13,157,"","","",0
14,14,201,"","","",0
15,15,222,"","","",0
16,16,272,"","","",0
17,17,273,"","","",0
18,18,279,"","","",0
19,19,206,"","","",0
20,20,262,"","","",0
21,21,299,"","","",0
22,22,118,"","","",0
23,23,263,"","","",0
24,24,318,"","","",0
25,25,317,"","","",0
26,26,324,"","","",0
27,27,370,"","","",0
28,28,389,"","","",0
29,29,398,"","","",0
30,30,418,"","","",0
31,31,427,"","","",0
32,32,428,"","","",0
33,33,429,"","","",0
34,34,430,"","","",0
35,35,431,"","","",0
36,36,432,"","","",0
37,37,434,"","","",0
38,38,437,"","","",0
39,39,522,"","","",0
40,40,523,"","","",0
41,41,524,"","","",0
42,42,554,"","","",0
43,43,544,"","","",0
44,44,565,"","","",0
45,45,491,1,"","",0
46,46,560,"","","",0
47,47,566,"","","",0
48,48,569,"","","",0
49,49,570,"","","",0
50,50,567,"","","",0
51,51,578,"","","",0
52,52,583,"","","",0
53,53,586,"","","",0
54,54,591,"","","",0
55,55,600,"","","",0
56,56,606,"","","",0
57,57,607,"","","",0
58,58,608,"","","",0
59,59,609,"","","",0
60,60,610,"","","",0
61,61,611,"","","",0
62,62,612,"","","",0
63,63,613,"","","",0
64,64,614,"","","",0
65,65,615,"","","",0
66,66,616,"","","",0
67,67,617,"","","",0
68,68,546,"","","",0
69,69,659,"","","",0
70,70,660,1,"","",0
71,71,675,"","","",0
72,72,668,1,"","",0
73,73,682,"","","",0
74,74,664,"","","",0
75,75,667,1,"","",0
76,76,700,"","","",0
77,77,591,"","","",0
78,78,683,"","","",0
79,79,684,"","","",0
80,80,548,"","","",0
81,81,550,"","","",0
82,82,765,"","","",0
83,83,794,1,"","",0
84,84,774,"","","",0
85,85,795,1,"","",0
86,86,797,"","","",0
87,87,800,1,"","",10
88,88,801,1,"","",0
89,89,802,1,"","",0
90,90,59,"","","",0
91,91,808,"","","",0
92,92,811,"","","",0
93,93,812,1,"","",0
94,94,803,1,"","",0
95,95,819,1,"","",0
96,96,820,1,"","",10
97,97,822,1,"","",5
98,98,823,1,"","",5
99,99,837,1,"","",5
100,100,839,"","","",0
101,101,840,1,"","",0
102,102,844,1,"","",0
103,103,852,1,"","",0
104,104,838,1,"","",0
105,105,864,"","","",0
106,106,857,"","","",0
107,107,869,"","","",0
108,108,872,"","","",0
109,109,876,"","","",0
110,110,883,1,"","",0
111,111,887,"","","",0
112,112,890,"","","",0
113,113,891,1,"","",15
114,114,908,"","","",0
115,115,910,"","","",0
116,116,124,"","","",0
117,117,915,1,"","",60
118,118,222,"","","",0
119,119,916,1,"","",100
120,120,934,"","","",0
121,121,929,"",1,"",0
122,122,937,"","","",0
123,123,930,"",1,"",0
124,124,941,"","","",0
125,125,942,"","","",0
126,126,943,"",1,"",0
127,127,948,"","","",0
128,128,928,"",1,"",0
129,129,980,"","","",0
130,130,981,"","","",0
131,131,982,"","","",0
132,132,983,"","","",0
133,133,980,"","","",0
134,134,981,"","","",0
135,135,984,"",1,"",0
136,136,985,"",1,"",0
137,137,1001,"","","",0
138,138,1009,"","","",0
139,139,103,1,"","",0
140,140,1030,1,"","",0
141,141,1046,"","",1,0
142,142,1047,"","",1,0
143,143,1052,1,"","",0
