"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,7216,111,"Essence Item",52571,[]
1,7217,131,"Currency Item",52259,[]
2,7218,151,"Unique Item",18701,[]
3,7219,121,"Map Item",22038,[]
4,7220,251,"Unique Map Item",6696,[]
5,7221,301,"Rare Abyss Item",41772,[]
6,7222,301,"Fragment Item",60390,[]
7,7223,301,"Scarab Item",32186,[]
8,7224,151,"Essence Item",23218,[]
9,7225,301,"Fossil Item",19642,[]
10,7226,181,"Perandus Item",40101,[]
11,7227,151,"Stacked Decks",34745,[]
12,7228,151,"Talisman Item",43064,[]
13,7229,161,"Enchanted Helmet",19352,[]
14,7230,1001,"6-Linked Armour Item",6078,[]
15,7231,141,"Currency Item",14134,[]
16,7232,1501,"League-specific Unique Item",4526,[]
17,7233,501,"Shaper or Elder Armour Item",61377,[]
18,7234,501,"Shaper or Elder Weapon Item",53204,[]
19,7235,701,"Shaper or Elder Trinket Item",61894,[]
20,7236,501,"Elder Map Item",39336,[]
21,7237,351,"Breach Item",43164,[]
22,7238,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,7239,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,7240,301,"Item",31223,[]
25,7241,121,"Quality Gem",16288,[]
26,7242,151,"Bestiary Item",28161,[]
27,7243,221,"Blight Item",19373,[]
28,7244,221,"Metamorph Item",62324,[]
29,7245,431,"Delirium Item",23535,[]
