"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile"
0,"ExtraBoss",3684,"",[],""
1,"HardBoss",4066,"",[],""
2,"Lieutenants1_Bull",4145,"",[],""
3,"Lieutenants2_Bull",4148,649,"[500,667]",""
4,"Lieutenants1_Ranged",4143,"",[],""
5,"Lieutenants2_Ranged",4146,649,"[500,667]",""
6,"Lieutenants1_Melee",4144,"",[],""
7,"Lieutenants2_Melee",4147,649,"[500,667]",""
8,"PowerSymbols1_Physical","",537,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol1.ot"
9,"PowerSymbols1_Fire","",531,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol2.ot"
10,"PowerSymbols1_Cold","",533,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol3.ot"
11,"PowerSymbols1_Lightning","",535,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol4.ot"
12,"PowerSymbols2_Physical","",538,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad1.ot"
13,"PowerSymbols2_Fire","",532,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad2.ot"
14,"PowerSymbols2_Cold","",534,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad3.ot"
15,"PowerSymbols2_Lightning","",536,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad4.ot"
16,"ToggleStatuesNormal_Fire","",539,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot"
17,"ToggleStatuesNormal_Cold","",541,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot"
18,"ToggleStatuesNormal_Lightning","",543,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot"
19,"ToggleStatuesNormal_Fire2","",540,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
20,"ToggleStatuesNormal_Cold2","",542,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
21,"ToggleStatuesNormal_Lightning2","",544,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
22,"ToggleStatuesCruel_Fire","",539,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot"
23,"ToggleStatuesCruel_Cold","",541,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot"
24,"ToggleStatuesCruel_Lightning","",543,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot"
25,"ToggleStatuesCruel_Fire2","",540,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
26,"ToggleStatuesCruel_Cold2","",542,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
27,"ToggleStatuesCruel_Lightning2","",544,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
28,"ToggleStatuesMerciless_Fire","",539,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot"
29,"ToggleStatuesMerciless_Cold","",541,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot"
30,"ToggleStatuesMerciless_Lightning","",543,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot"
31,"ToggleStatuesMerciless_Fire2","",540,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
