"rownum","Id","rid","[i32]","[string]","string","string"
0,"ChargeEndurance",2,[],[],"orb_finish",""
1,"ChargeFrenzy",4,[],[],"orb_finish",""
2,"ChargePower",3,[],[],"orb_finish",""
3,"ChargeEnduranceElder",1770,[],[],"orb_finish",""
4,"ChargeFrenzyElder",1771,[],[],"orb_finish",""
5,"ChargePowerElder",1769,[],[],"orb_finish",""
6,"ChargePowerAlternate",668,[],[],"orb_finish",""
7,"ChargeFrenzyBloodDance",4117,[],[],"orb_finish",""
8,"ChargeFrenzySuper",846,[],[],"orb_finish",""
9,"ChargeSpirit",1673,[],[],"orb_finish",""
10,"ChargeSiphoning",1811,[],[],"orb_finish",""
11,"ChargeVoid",1814,[],[],"orb_finish",""
12,"ChargeDivine",2888,[],[],"orb_finish",""
13,"ChargeInspiration",3457,[],[],"orb_finish",""
14,"ChargeBrutal",5055,[],[],"orb_finish",""
15,"ChargeAffliction",5056,[],[],"orb_finish",""
16,"ChargeAbsorption",5057,[],[],"orb_finish",""
17,"BloodlinesChargeZeal",470,[],[],"orb_finish",""
18,"BloodlinesChargeVigor",471,[],[],"orb_finish",""
19,"CurseTemporalChains",33,[],[],"orb_finish",""
20,"CurseTemporalChainsNew",4519,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
21,"IzaroTemporalChains",843,[],[],"orb_finish",""
22,"IzaroDeathTemporalChains",866,[],[],"orb_finish",""
23,"CurseEnfeeble",40,[],[],"orb_finish",""
24,"CurseVulnerability",43,[],[],"orb_finish",""
25,"IzaroVulnerabilityOrb",845,[],[],"orb_finish",""
26,"IzaroDeathVulnerabilityOrb",868,[],[],"orb_finish",""
27,"CurseElementalWeakness",34,[],[],"orb_finish",""
28,"IzaroElementalWeaknessOrb",844,[],[],"orb_finish",""
29,"IzaroDeathElementalWeaknessOrb",867,[],[],"orb_finish",""
30,"CurseFireWeakness",35,[],[],"orb_finish",""
31,"CurseColdWeakness",36,[],[],"orb_finish",""
32,"CurseLightningWeakness",37,[],[],"orb_finish",""
33,"CurseChaosWeakness",1758,[],[],"orb_finish",""
34,"CursePunishment",39,[],[],"orb_finish",""
35,"CurseSilence",267,[],[],"orb_finish",""
36,"CurseWarlordsMark",38,[],[],"orb_finish",""
37,"CurseAssassinsMark",41,[],[],"orb_finish",""
38,"CurseSnipersMark",42,[],[],"orb_finish",""
39,"CursePoachersMark",44,[],[],"orb_finish",""
40,"FlaskCurseImmunity",146,[],[],"orb_finish",""
41,"DoedreRedOrb",1397,[],[],"orb_finish",""
42,"DoedreGreenOrb",1396,[],[],"orb_finish",""
43,"DoedrePurpleOrb",1395,[],[],"orb_finish",""
44,"ShrinePlus",249,[],[],"orb_finish",""
45,"ShrineFist",248,[],[],"orb_finish",""
46,"ShrineSword",251,[],[],"orb_finish",""
47,"ShrineWing",247,[],[],"orb_finish",""
48,"ShrineThorns",305,[],[],"orb_finish",""
