"rownum","Id","BaseItemTypesKey","i32","i32","i32","bool","bool"
0,"Metadata/Pet/Kiwi/Basic",3224,37988,-398558118,8,"",""
1,"Metadata/Pet/Kiwi/Bronze",3225,44438,774276016,8,"",""
2,"Metadata/Pet/Kiwi/Silver",3226,42132,-80846918,8,"",""
3,"Metadata/Pet/Kiwi/Gold",3227,60474,1808500721,8,"",""
4,"Metadata/Pet/Kiwi/Diamond",3228,18975,235029533,9,"",""
5,"Metadata/Pet/Basilisk/Green",3201,61895,-1091154127,8,"",""
6,"Metadata/Pet/Basilisk/Infernal",3202,36008,237863557,8,"",""
7,"Metadata/Pet/Basilisk/Spectral",3203,17172,1286475706,8,"",""
8,"Metadata/Pet/Frog/Blue",3204,37577,1910039313,8,"",""
9,"Metadata/Pet/Frog/BlueCrown",3205,48394,1576132859,8,"",""
10,"Metadata/Pet/Frog/Green",3206,58853,1150919036,8,"",""
11,"Metadata/Pet/Frog/GreenCrown",3207,38190,-1138087676,8,"",""
12,"Metadata/Pet/Frog/Red",3208,47577,-1986187196,8,"",""
13,"Metadata/Pet/Frog/RedCrown",3209,46175,1589963419,8,"",""
14,"Metadata/Pet/Frog/Mysterious",3210,45262,-943687922,8,"",""
15,"Metadata/Pet/Scorpion/Black",3211,37381,-296518570,8,"",""
16,"Metadata/Pet/Scorpion/Chrome",3212,20859,386156159,8,"",""
17,"Metadata/Pet/Scorpion/Purple",3213,13085,1481075546,8,"",""
18,"Metadata/Pet/Scorpion/Red",3214,29389,-2141064532,8,"",""
19,"Metadata/Pet/Scorpion/White",3215,41999,784698058,8,"",""
20,"Metadata/Pet/Scorpion/Yellow",3216,20903,465717861,8,"",""
21,"Metadata/Pet/Weta/Basic",3220,33343,1722344599,8,"",""
22,"Metadata/Pet/Weta/Colossal",3221,12979,1519151167,8,"",""
23,"Metadata/Pet/Weta/Giant",3222,29172,1896349948,8,"",""
24,"Metadata/Pet/Scorpion/fire_upgrade",3217,30851,493774317,8,"",""
25,"Metadata/Pet/Scorpion/acid_upgrade",3218,37150,501714169,8,"",""
26,"Metadata/Pet/Scorpion/Light_upgrade",3219,5815,-902046580,8,"",""
27,"Metadata/Pet/Weta/Blood",3223,58150,-1362539025,8,"",""
28,"Metadata/Pet/Kiwi/Albino",3229,27785,495546624,8,"",""
29,"Metadata/Pet/BabyRhoa/babyrhoa",3230,26930,-1705315480,8,"",""
30,"Metadata/Pet/BabyRhoa/babyrhoa_attach1",3231,17929,55199043,8,"",""
31,"Metadata/Pet/BabyRhoa/babyrhoa_attach2",3232,25177,-1157441189,8,"",""
32,"Metadata/Pet/BabyRhoa/babyrhoa_attach3",3233,14091,-1647793469,8,"",""
33,"Metadata/Pet/BabyRhoaFlying/babyrhoaflying",3234,27061,-1667107564,9,"",""
34,"Metadata/Pet/Ferret/Ferret",3235,23993,-1027825915,8,"",""
35,"Metadata/Pet/Cat/Black",3236,45791,424651664,8,"",""
36,"Metadata/Pet/DemonHand/Basic",3237,44454,-915315497,8,"",""
37,"Metadata/Pet/Fox/infernal_fox/Infernal",3238,28741,-177240790,9,"",""
38,"Metadata/Pet/Bat/Vampire_Bat/Lightning",3239,63077,1760403080,8,"",""
39,"Metadata/Pet/Garena/Garena",3240,21065,1776958371,8,"",""
