"rownum","Id","Text","SoundFile"
0,"Marauder1","I am a warrior, raised to honour my Ancestors, to die with a weapon in my hand and the Karui Way in my blood. \r\n\r\nOriath chained me, made me its slave. For three years I have lived without my family, my pride, my Way. \r\n\r\nI welcome Exile. I welcome Wraeclast. Hear me, Ancestors! A slave stands behind you. A warrior stands before you. \r\n\r\nAnd Death walks at our side.","Audio/Dialogue/Character/Str/Intro/Ma_01_Intro.ogg"
1,"Marauder2","","Audio/Dialogue/Character/Str/Event/Ma_02.ogg"
2,"Marauder3","The dead should remember their place.","Audio/Dialogue/Character/Str/Event/Ma_03.ogg"
3,"Marauder4"," I am surrounded by living corpses and dying Oriathans. ","Audio/Dialogue/Character/Str/Event/Ma_04.ogg"
4,"Marauder5","Show me the way, Kaom.","Audio/Dialogue/Character/Str/Event/Ma_05.ogg"
5,"Marauder6","Dominus took my home, my family.","Audio/Dialogue/Character/Str/Event/Ma_06.ogg"
6,"Marauder7","This is not what the elders told us.","Audio/Dialogue/Character/Str/Event/Ma_07.ogg"
7,"Marauder8","A slave is not a man. A slave is not even worthy of death.","Audio/Dialogue/Character/Str/Event/Ma_08.ogg"
8,"Marauder9","Your spirit is the plaything of the Ancestors, slavemaster.","Audio/Dialogue/Character/Str/Event/Ma_09.ogg"
9,"Marauder10","Hinekora, Mother of the Dead, is this your land I walk upon?","Audio/Dialogue/Character/Str/Event/Ma_10.ogg"
10,"Marauder11","When bones walk, they are not Karui. ","Audio/Dialogue/Character/Str/Event/Ma_11.ogg"
11,"Marauder12","The 'black spirit'. Lavianga speaks of Kitava, Father of Corruption.","Audio/Dialogue/Character/Str/Event/Ma_12.ogg"
12,"Marauder13","Kaom bowed to Kitava. He betrayed us!","Audio/Dialogue/Character/Str/Event/Ma_13.ogg"
13,"Marauder14","The Karui remember you, Fairgraves. Your death will be much celebrated.","Audio/Dialogue/Character/Str/Event/Ma_14.ogg"
14,"Marauder15","Your curse is over, siren. Rest with Hinekora, Mother of the Dead.","Audio/Dialogue/Character/Str/Event/Ma_15.ogg"
15,"Marauder16","All life is twisted in Wraeclast. ","Audio/Dialogue/Character/Str/Event/Ma_16.ogg"
16,"Marauder17","The Eternal Empire was built by sickened minds.","Audio/Dialogue/Character/Str/Event/Ma_17.ogg"
17,"Marauder18","Ancestors, forgive me. I have opened the 'Way' to Kitava, Father of Corruption.","Audio/Dialogue/Character/Str/Event/Ma_18.ogg"
18,"Marauder19","I give this warrior of Kitava to you, Tukohama, my Father of War.","Audio/Dialogue/Character/Str/Event/Ma_19.ogg"
19,"Marauder20","Your death had more honour than your life, Kraityn.","Audio/Dialogue/Character/Str/Event/Ma_20.ogg"
20,"Marauder21","There's no blacker magic than death, witch.","Audio/Dialogue/Character/Str/Event/Ma_21.ogg"
21,"Marauder22","Your reign is over, bandit king.","Audio/Dialogue/Character/Str/Event/Ma_22.ogg"
22,"Marauder23","It is good to feel your warmth again, Ramako, Father of Light.","Audio/Dialogue/Character/Str/Event/Ma_23.ogg"
23,"Marauder24","You are a welcome sight, daughter of Ngamakanui.","Audio/Dialogue/Character/Str/Event/Ma_24.ogg"
24,"Marauder25","Karui slaves were once bought and sold like pigs here.","Audio/Dialogue/Character/Str/Event/Ma_25.ogg"
25,"Marauder26","To live too long is to live in pain.","Audio/Dialogue/Character/Str/Event/Ma_26.ogg"
26,"Marauder27","This is the Eternal Way, pretty and lifeless.","Audio/Dialogue/Character/Str/Event/Ma_27.ogg"
27,"Marauder28","Piety, you are truly Kitava's slave, a daughter of corruption. ","Audio/Dialogue/Character/Str/Event/Ma_28.ogg"
28,"Marauder29","I will take everything Dominus loves, as he took it from me. ","Audio/Dialogue/Character/Str/Event/Ma_29.ogg"
29,"Marauder30","The Karui do not hide in towers built of fear.","Audio/Dialogue/Character/Str/Event/Ma_30.ogg"
30,"Marauder31","The Empire dies with you, Dominus. The Karui will never again be slaves.","Audio/Dialogue/Character/Str/Event/Ma_31.ogg"
31,"Marauder32","I am honoured to serve you, my Ancestor.","Audio/Dialogue/Character/Str/Event/Ma_32.ogg"
32,"Marauder33","\""Follow a dead river to the foot of Kitava's kingdom.\"" Just how the elders at home told it.","Audio/Dialogue/Character/Str/Event/Ma_36.ogg"
33,"Marauder34","The Eternals had no respect for their land.","Audio/Dialogue/Character/Str/Event/Ma_37.ogg"
34,"Marauder35","Your Empire is dead, Voll. Join it.","Audio/Dialogue/Character/Str/Event/Ma_38.ogg"
35,"Marauder36","I hear you Kitava. I walk in your kingdom, and I am coming for you.","Audio/Dialogue/Character/Str/Event/Ma_39.ogg"
36,"Marauder37","Kitava's belly rumbles. He is hungry for me.","Audio/Dialogue/Character/Str/Event/Ma_40.ogg"
37,"Marauder38","Karui and Maraketh once fought together. I honour that friendship.","Audio/Dialogue/Character/Str/Event/Ma_41.ogg"
38,"Marauder39","You will feast no longer, Kitava! The Ancestors demand it!","Audio/Dialogue/Character/Str/Event/Ma_42.ogg"
39,"Marauder40","Oriathans. How they love to sing about themselves.","Audio/Dialogue/Character/Str/Event/Ma_43.ogg"
40,"Marauder41","Tukohama did not call you, Kaom. Kitava did.","Audio/Dialogue/Character/Str/Event/Ma_44.ogg"
41,"Marauder42","They followed you, Kaom. They trusted you.","Audio/Dialogue/Character/Str/Event/Ma_45.ogg"
42,"Marauder43","It is not the Karui Way to question our king. The Way needs to change.","Audio/Dialogue/Character/Str/Event/Ma_46.ogg"
43,"Marauder44","I reject your honour, Kaom.","Audio/Dialogue/Character/Str/Event/Ma_47.ogg"
44,"Marauder45","The Ancestors would weep to see what Kaom has created here.","Audio/Dialogue/Character/Str/Event/Ma_48.ogg"
45,"Marauder46","I honour you with a warrior's death, Kaom. It is more than you deserved. ","Audio/Dialogue/Character/Str/Event/Ma_49.ogg"
46,"Marauder47","The way to a god's heart is through his guts.","Audio/Dialogue/Character/Str/Event/Ma_50.ogg"
47,"Marauder48","Piety. Betray me and I will have your head.","Audio/Dialogue/Character/Str/Event/Ma_51.ogg"
48,"Marauder49","Your sickness is ended.","Audio/Dialogue/Character/Str/Event/Ma_52.ogg"
49,"Marauder50","The Ancestors demand it.","Audio/Dialogue/Character/Str/Event/Ma_53.ogg"
50,"Marauder51","You are free now, slave.\r\n","Audio/Dialogue/Character/Str/Event/Ma_54.ogg"
51,"Marauder52","May your Ancestors forgive you, Piety.","Audio/Dialogue/Character/Str/Event/Ma_55.ogg"
52,"Marauder53","Do you hear me, Kitava?! Your slaves are dead and your kingdom dies with them! You are the Father of Corruption no more! ","Audio/Dialogue/Character/Str/Event/Ma_56.ogg"
53,"Marauder54","I cannot do this yet.","Audio/Dialogue/Character/Str/Gameplay/Ma_33a.ogg"
54,"Marauder55","My mana is gone.","Audio/Dialogue/Character/Str/Gameplay/Ma_33b.ogg"
55,"Marauder56","I cannot carry this.","Audio/Dialogue/Character/Str/Gameplay/Ma_33c_01.ogg"
56,"Marauder57","I cannot carry this.","Audio/Dialogue/Character/Str/Gameplay/Ma_33c_02.ogg"
57,"Marauder58","Ahhhh... better.","Audio/Dialogue/Character/Str/Gameplay/Ma_33d.ogg"
58,"Marauder59","I am not strong enough to use this yet.","Audio/Dialogue/Character/Str/Gameplay/Ma_33e.ogg"
59,"Marauder60","I do not know how to use this yet.","Audio/Dialogue/Character/Str/Gameplay/Ma_33f_01.ogg"
60,"Marauder61","I do not know how to use this yet.","Audio/Dialogue/Character/Str/Gameplay/Ma_33f_02.ogg"
61,"Marauder62","I am not swift enough to use this yet.","Audio/Dialogue/Character/Str/Gameplay/Ma_33g_01.ogg"
62,"Marauder63","I am not swift enough to use this yet.","Audio/Dialogue/Character/Str/Gameplay/Ma_33g_02.ogg"
63,"Marauder64","My instincts tell me not to destroy this.","Audio/Dialogue/Character/Str/Gameplay/Ma_33h_01.ogg"
64,"Marauder65","My instincts tell me not to destroy this.","Audio/Dialogue/Character/Str/Gameplay/Ma_33h_02.ogg"
65,"Marauder66","It would be wrong to do that here.","Audio/Dialogue/Character/Str/Gameplay/Ma_33i_01.ogg"
66,"Marauder67","It would be wrong to do that here.","Audio/Dialogue/Character/Str/Gameplay/Ma_33i_02.ogg"
67,"Marauder68","For Tukohama!","Audio/Dialogue/Character/Str/Gameplay/Ma_34a_01.ogg"
68,"Marauder69","For Tukohama!","Audio/Dialogue/Character/Str/Gameplay/Ma_34a_02.ogg"
69,"Marauder70","Go to Hinekora!","Audio/Dialogue/Character/Str/Gameplay/Ma_34b_01.ogg"
70,"Marauder71","Go to Hinekora!","Audio/Dialogue/Character/Str/Gameplay/Ma_34b_02.ogg"
71,"Marauder72","Return to the dirt!","Audio/Dialogue/Character/Str/Gameplay/Ma_34c_01.ogg"
72,"Marauder73","Return to the dirt!","Audio/Dialogue/Character/Str/Gameplay/Ma_34c_02.ogg"
73,"Marauder74","I give you to my Ancestors!","Audio/Dialogue/Character/Str/Gameplay/Ma_34d_01.ogg"
74,"Marauder75","I give you to my Ancestors!","Audio/Dialogue/Character/Str/Gameplay/Ma_34d_02.ogg"
75,"Marauder76","Return to Kitava!","Audio/Dialogue/Character/Str/Gameplay/Ma_34e_01.ogg"
76,"Marauder77","Return to Kitava!","Audio/Dialogue/Character/Str/Gameplay/Ma_34e_02.ogg"
77,"Marauder78","I live to see another dawn.","Audio/Dialogue/Character/Str/Gameplay/Ma_35a.ogg"
78,"Marauder79","Dominus wanted me to die here. I will disappoint him.","Audio/Dialogue/Character/Str/Gameplay/Ma_35b.ogg"
79,"Marauder80","To kill is to live in Wraeclast.","Audio/Dialogue/Character/Str/Gameplay/Ma_35c.ogg"
80,"Marauder81","Every death brings me life.","Audio/Dialogue/Character/Str/Gameplay/Ma_35d.ogg"
81,"Marauder82","The Ancestors watch over me.","Audio/Dialogue/Character/Str/Gameplay/Ma_35e.ogg"
82,"Marauder83","Thank you, my Ancestors. I will repay your gift.","Audio/Dialogue/Character/Str/Gameplay/Ma_35f.ogg"
83,"Marauder84","This land has forgotten Karui strength. I will remind it.","Audio/Dialogue/Character/Str/Gameplay/Ma_35g.ogg"
84,"Ranger1","I've not seen a wilderness like this before. There'll be some dark days ahead.","Audio/Dialogue/Character/Dex/Event/R_02_GetUp.ogg"
85,"Ranger2","There's no justice in a place like this. Only misery.","Audio/Dialogue/Character/Dex/Event/R_03_EnterPrison.ogg"
86,"Ranger3","I've done for you what I would do for any wounded animal, Brutus.","Audio/Dialogue/Character/Dex/Event/R_04_KillBrutus.ogg"
87,"Ranger4","Life and death live side by side. This is a strange land.","Audio/Dialogue/Character/Dex/Event/R_05_EnterShipGraveyard.ogg"
88,"Ranger5","You were a good man in a bad situation, Fairgraves. ","Audio/Dialogue/Character/Dex/Event/R_06_KillFairgraves.ogg"
89,"Ranger6","Your love for a man... that's what did this to you, Merveil.","Audio/Dialogue/Character/Dex/Event/R_07_KillMerveil.ogg"
90,"Ranger7","Do some good for once in your sorry life, bandit. Feed the worms.","Audio/Dialogue/Character/Dex/Event/R_08_KillOak.ogg"
91,"Ranger8","The king of rats? A feast for rats now.","Audio/Dialogue/Character/Dex/Event/R_09_Killkraityn.ogg"
92,"Ranger9","I hate to pluck a pretty flower. Even a poisonous one like you.\r\n","Audio/Dialogue/Character/Dex/Event/R_10_KillAlira.ogg"
