"rownum","Id","ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight_TagsKeys","SpawnWeight_Values","i32","BuffDefinitionsKey","[i32]","ItemWeight_TagsKeys","ItemWeight_Values","MonsterVarietiesKey","i32","bool","[rid]","bool"
0,"FlameBearers",[7646],12,100,"[170,0]","[0,300]",0,"",[],[],[],3291,124,"",[],""
1,"FrostBearers",[7647],12,100,"[170,0]","[0,300]",0,"",[],[],[],3292,124,"",[],""
2,"StormBearers",[7648],12,100,"[170,0]","[0,300]",0,"",[],[],[],3294,124,"",[],""
3,"UnionOfSouls",[7652],0,100,"[170,0]","[0,800]",0,"",[],[],[],"",124,"",[],1
4,"Shrouded",[7653],16,100,"[170,48,72,56,75,76,73,74,53,0]","[0,800,0,0,0,0,0,0,0,0]",0,"",[],[],[],"",124,"",[],""
5,"Necrovigil",[7654],68,100,"[170,163,125,73,0]","[0,0,0,0,0]",0,"",[],[],[],"",124,"",[],1
6,"PackDeathCount",[7655],0,100,[0],[0],0,"",[],[],[],"",124,"",[],1
7,"DamageCharges",[7753],20,100,"[291,170,149,0]","[0,0,0,600]",0,357,[],[],[],"",124,"",[],""
8,"SpeedCharges",[7754],20,100,"[170,0]","[0,600]",0,358,[],[],[],"",124,"",[],""
9,"MarkOfCannibalism",[7755],0,100,"[170,125,0]","[0,0,800]",0,"",[],[],[],3296,124,"",[],1
10,"FlaringPulseblood",[7757],12,100,"[170,32,34,0]","[0,300,300,0]",0,"",[],[],[],3297,124,"",[],1
11,"RimePulseblood",[7758],12,100,"[170,32,34,0]","[0,300,300,0]",0,"",[],[],[],3298,124,"",[],1
12,"StaticPulseblood",[7759],12,100,"[170,32,34,0]","[0,300,300,0]",0,"",[],[],[],3299,124,"",[],1
13,"CongealingBloodRed",[7760],0,100,"[170,119,120,121,122,123,124,118,0]","[0,0,0,0,0,0,0,100,0]",0,"",[],[],[],1617,124,"",[],1
14,"CongealingBloodYellow",[7761],52,100,"[170,119,120,118,122,123,124,121,0]","[0,0,0,0,0,0,0,100,0]",0,"",[],[],[],1618,124,"",[],1
15,"CongealingBloodMud",[7762],32,100,"[170,119,118,121,122,123,124,120,0]","[0,0,0,0,0,0,0,100,0]",0,"",[],[],[],1622,124,"",[],1
16,"Shared Boon","[7790,7791,7792]",16,100,"[170,0]","[0,800]",0,"",[],[],[],"",124,"",[],1
17,"CultOfTheElements","[7793,7800,7801]",16,20,[0],[0],0,"",[],[],[],"",124,"",[],""
18,"CultOfTheElements2","[7794,7800,7801]",21,40,[0],[0],0,"",[],[],[],"",124,"",[],""
19,"CultOfTheElements3","[7795,7800,7801]",41,60,[0],[0],0,"",[],[],[],"",124,"",[],""
20,"CultOfTheElements4","[7796,7800,7801]",61,65,[0],[0],0,"",[],[],[],"",124,"",[],""
21,"CultOfTheElements5","[7797,7800,7801]",66,70,[0],[0],0,"",[],[],[],"",124,"",[],""
22,"CultOfTheElements6","[7798,7800,7801]",71,75,[0],[0],0,"",[],[],[],"",124,"",[],""
23,"CultOfTheElements7","[7799,7800,7801]",76,100,[0],[0],0,"",[],[],[],"",124,"",[],""
24,"VengefulBlizzard",[7805],60,100,"[170,126,0]","[0,0,600]",0,"",[],[],[],3300,124,"",[],1
25,"HeraldsOfTheObelisk",[7807],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",1,1,[],1
26,"HeraldsOfTheObelisk2",[7808],6,100,"[170,163,0]","[0,0,0]",0,"",[],[],[],"",2,1,[],1
27,"HeraldsOfTheObelisk3",[7809],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",3,1,[],1
28,"HeraldsOfTheObelisk4",[7810],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",4,1,[],1
29,"HeraldsOfTheObelisk5",[7811],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",5,1,[],1
30,"SpiritWalkers",[7812],12,100,"[170,53,0]","[0,0,800]",0,"",[],[],[],"",124,"",[],""
31,"BearersOfTheGuardian",[7816],60,100,"[170,0]","[0,100]",0,"",[],[],[],3408,124,"",[],1
32,"Otherworldly",[7817],0,100,"[170,0]","[0,800]",13000,"",[],[],[],"",124,"",[],""
33,"PhylacteralLink",[7818],0,100,"[127,0]","[0,0]",7000,366,"[1,1,1]",[],[],"",124,"",[],""
34,"KeepersOfTheTrove",[7819],40,61,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,38]","",124,"",[],""
35,"KeepersOfTheTrove2",[7819],62,67,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,28]","",124,"",[],""
36,"KeepersOfTheTrove3",[7819],68,71,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,20]","",124,"",[],""
37,"KeepersOfTheTrove4",[7819],72,75,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,14]","",124,"",[],""
38,"KeepersOfTheTrove5",[7819],76,79,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,10]","",124,"",[],""
39,"KeepersOfTheTrove6",[7819],80,100,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9]","[2810,1123,374,437,562,499,125,62,125,125]","",124,"",[],""
40,"CorruptedBloodline",[7821],0,20,"[170,0]","[0,0]",0,"",[],[],[],"",124,"",[],""
41,"CorruptedBloodline2",[7822],21,35,"[170,0]","[0,0]",0,"",[],[],[],"",124,"",[],""
42,"CorruptedBloodline3",[7823],36,45,"[170,0]","[0,800]",0,"",[],[],[],"",124,"",[],""
43,"CorruptedBloodline4",[7824],46,60,"[170,0]","[0,800]",0,"",[],[],[],"",124,"",[],""
44,"CorruptedBloodline5",[7825],61,100,"[170,0]","[0,800]",0,"",[],[],[],"",124,"",[],""
45,"Voidspawn",[7826],60,100,"[170,0]","[0,50]",0,"",[],[],[],"",7,"",[],1
46,"MonsterBloodlinesThorns",[7763],40,100,"[141,0]","[0,0]",0,"",[],[],[],"",124,"",[],1
47,"MonsterBloodlinesThornsLargeModel",[7764],40,100,"[141,0]","[0,0]",0,"",[],[],[],"",124,"",[],1
48,"SummonSewerZombieGiant",[11941],0,100,[0],[0],0,"",[],[],[],951,124,"",[],1
