"rownum","Id","Icon"
0,"Currency","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedCurrency"
1,"Uniques","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedUniques"
2,"Gems","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedGems"
3,"Maps","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedMaps"
4,"Trinkets","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedTrinkets"
5,"Armour","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedArmour"
6,"Weapon","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedWeapons"
7,"Abyss","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedAbyss"
8,"Perandus","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedPerandus"
9,"Harbinger","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedHarbinger"
10,"Breach","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedBreach"
11,"Essences","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedEssence"
12,"Essences2","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedEssence"
13,"Fragments","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedFragments"
14,"Scarabs","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedScarabs"
15,"Fossils","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedFossils"
16,"Prophecies","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedProphecies"
17,"DivinationCards","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedDivination"
18,"Generic","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedGeneric"
19,"Talismans","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedTalismans"
20,"Labyrinth","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedLabyrinth"
21,"Legion","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedLegion"
22,"Blight","Art/2DArt/UIImages/InGame/Blight/ChestRewards/ChestUnopenedBlight"
