"rownum","string","Level","i32"
0,"001",1,0
1,"002",2,525
2,"003",3,1760
3,"004",4,3781
4,"005",5,7184
5,"006",6,12186
6,"007",7,19324
7,"008",8,29377
8,"009",9,43181
9,"010",10,61693
10,"011",11,85990
11,"012",12,117506
12,"013",13,157384
13,"014",14,207736
14,"015",15,269997
15,"016",16,346462
16,"017",17,439268
17,"018",18,551295
18,"019",19,685171
19,"020",20,843709
20,"021",21,1030734
21,"022",22,1249629
22,"023",23,1504995
23,"024",24,1800847
24,"025",25,2142652
25,"026",26,2535122
26,"027",27,2984677
27,"028",28,3496798
28,"029",29,4080655
29,"030",30,4742836
30,"031",31,5490247
31,"032",32,6334393
32,"033",33,7283446
33,"034",34,8348398
34,"035",35,9541110
35,"036",36,10874351
36,"037",37,12361842
37,"038",38,14018289
38,"039",39,15859432
39,"040",40,17905634
40,"041",41,20171471
41,"042",42,22679999
42,"043",43,25456123
43,"044",44,28517857
44,"045",45,31897771
45,"046",46,35621447
46,"047",47,39721017
47,"048",48,44225461
48,"049",49,49176560
49,"050",50,54607467
50,"051",51,60565335
51,"052",52,67094245
52,"053",53,74247659
53,"054",54,82075627
54,"055",55,90631041
55,"056",56,99984974
56,"057",57,110197515
57,"058",58,121340161
58,"059",59,133497202
59,"060",60,146749362
60,"061",61,161191120
61,"062",62,176922628
62,"063",63,194049893
63,"064",64,212684946
64,"065",65,232956711
65,"066",66,255001620
66,"067",67,278952403
67,"068",68,304972236
68,"069",69,333233648
69,"070",70,363906163
70,"071",71,397194041
71,"072",72,433312945
72,"073",73,472476370
73,"074",74,514937180
74,"075",75,560961898
75,"076",76,610815862
76,"077",77,664824416
77,"078",78,723298169
78,"079",79,786612664
79,"080",80,855129128
80,"081",81,929261318
81,"082",82,1009443795
82,"083",83,1096169525
83,"084",84,1189918242
84,"085",85,1291270350
85,"086",86,1400795257
86,"087",87,1519130326
87,"088",88,1646943474
88,"089",89,1784977296
89,"090",90,1934009687
90,"091",91,2094900291
91,"092",92,-2026418210
92,"093",93,-1839046040
93,"094",94,-1636892304
94,"095",95,-1418850395
95,"096",96,-1183686996
96,"097",97,-930139134
97,"098",98,-656780602
98,"099",99,-362148766
99,"100",100,-44632852
