"rownum","string","i32","i32","i32","rid","rid","rid","rid","rid","rid","rid","rid","bool","string","[i32]"
0,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,0,"","","","","","","","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
1,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,1,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
2,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,2,2349,"","","","","","","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
3,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,3,"","","",12,13,"","","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
4,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,4,"",42,43,"","","","","","","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
5,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,5,"",44,45,"","","","","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
6,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,6,"",108,108,109,109,110,110,111,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
7,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,7,"",112,112,112,112,112,112,112,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
8,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,8,"",114,113,114,113,"","","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
9,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,9,"","","",123,123,124,"","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
10,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,10,"","","",125,125,"","","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
11,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,11,"","","","","",126,"","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
