"rownum","Id","IntId","Id2","Width","Height","i32"
0,"NormalStash",0,"NormalStash",12,12,45
1,"PremiumStash",1,"PremiumStash",12,12,45
2,"TradeStash",2,"TradeStash",12,12,45
3,"CurrencyStash",3,"CurrencyStash",73,4,18
4,"UniqueStash",4,"UniqueStash",222,4,24
5,"MapStash",5,"MapStash",12,6,23
6,"DivinationCardStash",6,"DivinationCardStash",255,2,20
7,"QuadStash",7,"QuadStash",24,24,45
8,"EssenceStash",8,"EssenceStash",110,4,21
9,"FragmentStash",9,"FragmentStash",133,1,22
10,"PCBangPremiumStash",10,"PCBangPremiumStash",12,12,45
11,"PCBangEssenceStash",11,"PCBangEssenceStash",110,4,21
12,"DelveStash",12,"DelveStash",41,4,27
13,"BlightStash",13,"BlightStash",80,4,31
14,"MetamorphStash",14,"MetamorphStash",62,5,33
15,"DeliriumStash",15,"DeliriumStash",28,1,30
16,"Folder",16,"Folder",0,0,45
