"rownum","Id","rid","rid","bool","bool","i32","bool"
0,0,107,20,"","",0,""
1,1,107,20,"","",0,""
2,2,90,20,"","",0,""
3,3,109,20,"","",0,""
4,4,110,20,"","",0,""
5,5,118,20,"","",0,""
6,6,130,20,"","",0,""
7,7,151,20,"","",0,""
8,8,154,20,"","",0,""
9,9,162,20,"","",0,""
10,10,186,20,"","",0,""
11,11,161,20,"","",0,""
12,12,205,20,"","",0,""
13,13,206,20,"","",0,""
14,14,233,20,"","",0,""
15,15,236,20,"","",0,""
16,16,237,20,"","",0,""
17,17,250,20,"","",0,""
18,18,251,20,"","",0,""
19,19,276,20,"","",0,""
20,20,33,20,"","",0,""
21,21,293,20,"","",0,""
22,22,286,20,"","",0,""
23,23,297,20,"","",0,""
24,24,298,24,"","",0,""
25,25,305,24,"","",0,""
26,26,312,20,"","",0,""
27,27,337,21,"","",0,""
28,28,339,20,1,"",0,""
29,29,338,20,1,"",0,""
30,30,341,20,"","",0,""
31,31,343,20,"","",0,""
32,32,344,20,"","",0,""
33,33,345,20,"","",0,""
34,34,201,20,"","",0,""
35,35,339,21,1,"",0,""
36,36,338,21,1,"",0,""
37,37,370,20,"","",0,""
38,38,373,20,"","",0,""
39,39,374,20,"","",0,""
40,40,375,20,"","",0,""
41,41,370,20,"","",0,""
42,42,377,20,"","",0,""
43,43,381,20,"","",0,""
44,44,402,20,"","",0,""
45,45,376,20,"","",0,""
46,46,405,20,"","",0,""
47,47,406,24,"","",0,""
48,48,410,24,"","",0,""
49,49,411,20,"","",0,""
50,50,422,20,"","",0,""
51,51,445,20,1,"",0,""
52,52,475,20,"","",0,""
53,53,480,20,"","",0,""
54,54,479,20,"","",0,""
55,55,478,20,"","",0,""
56,56,476,20,"","",0,""
57,57,485,20,"","",0,""
58,58,499,24,"","",0,""
59,59,500,24,"","",0,""
60,60,501,20,"","",0,""
61,61,502,20,"","",0,""
62,62,503,20,1,"",0,""
63,63,508,20,"","",0,""
64,64,509,20,"","",0,""
65,65,510,20,"","",0,""
66,66,518,20,"","",0,""
67,67,518,24,"","",0,""
68,68,526,20,"","",0,""
69,69,527,20,"","",0,""
70,70,528,20,"","",0,""
71,71,529,20,"","",0,""
72,72,530,20,"","",0,""
73,73,531,20,"","",0,""
74,74,532,20,"","",0,""
75,75,533,20,"","",0,""
76,76,534,20,"","",0,""
77,77,535,20,"","",0,""
78,78,536,20,"","",0,""
79,79,537,20,"","",0,""
80,80,556,20,"","",0,""
81,81,557,20,"","",0,""
82,82,558,20,"","",0,""
83,83,563,20,"","",0,""
84,84,222,20,"","",0,""
85,85,312,25,"","",0,""
86,86,572,20,"","",0,""
87,87,573,20,"","",0,""
88,88,574,20,1,"",0,""
89,89,575,20,1,"",0,""
90,90,576,33,1,"",0,""
91,91,577,20,"","",0,""
92,92,503,20,1,"",0,""
93,93,582,20,1,"",0,""
94,94,601,20,"","",0,""
95,95,604,20,1,"",0,""
96,96,605,26,1,"",0,""
97,97,619,20,1,"",0,""
98,98,620,20,"","",0,""
99,99,621,24,"","",0,""
100,100,623,20,"","",0,""
101,101,624,20,"","",0,""
102,102,625,20,"","",0,""
103,103,626,20,"","",0,""
104,104,627,20,"","",0,""
105,105,637,20,"","",0,""
106,106,628,20,1,"",0,""
107,107,622,20,"","",0,""
108,108,649,20,"","",0,""
109,109,653,20,"","",0,""
110,110,667,20,1,"",0,""
111,111,670,20,"","",0,""
112,112,674,20,"","",0,""
113,113,688,20,"","",0,""
114,114,689,20,"","",0,""
115,115,721,20,1,"",0,""
116,116,725,20,"","",0,""
117,117,726,20,"","",0,""
118,118,728,20,"","",0,""
119,119,747,20,"","",0,""
120,120,731,20,"","",0,""
121,121,722,20,1,"",0,""
122,122,723,20,1,"",0,""
123,123,742,20,"","",0,""
124,124,743,20,"","",0,""
125,125,753,20,1,"",5,""
126,126,754,20,"","",0,""
127,127,760,20,"","",0,1
128,128,763,20,"","",0,1
129,129,770,20,1,"",0,""
130,130,771,20,1,"",5,""
131,131,793,20,"","",0,""
132,132,804,20,"","",0,""
133,133,774,20,"","",0,""
134,134,772,20,1,"",5,""
135,135,833,20,1,"",0,""
136,136,834,20,1,"",-15,""
137,137,835,20,1,"",0,""
138,138,836,20,"","",0,""
139,139,835,20,"","",0,""
140,140,854,20,1,"",0,""
141,141,877,20,"","",0,""
142,142,885,20,"","",0,""
143,143,886,20,"","",0,""
144,144,892,20,"","",0,""
145,145,894,20,"","",0,""
146,146,900,20,"","",0,""
147,147,901,20,"","",0,""
148,148,902,20,"","",0,""
149,149,903,20,"","",0,""
150,150,904,20,"","",0,""
151,151,905,20,"","",0,""
152,152,907,20,"","",0,""
153,153,911,20,"","",0,""
154,154,920,20,"","",0,""
155,155,921,20,"","",0,""
156,156,912,20,"","",0,""
157,157,913,20,"","",0,""
158,158,953,20,"","",0,""
159,159,954,20,"","",0,""
160,160,957,20,1,"",0,""
161,161,958,20,"","",0,""
162,162,958,20,"","",0,""
163,163,973,20,"","",0,""
164,164,971,20,"","",0,""
165,165,975,20,"","",0,""
166,166,976,20,"","",0,""
167,167,977,20,"","",0,""
168,168,948,20,"","",0,""
169,169,1002,20,"","",0,""
170,170,1012,25,"","",0,1
171,171,1013,20,"","",0,""
172,172,1014,20,1,"",0,""
173,173,1015,20,"","",0,""
174,174,1016,20,"","",0,""
175,175,1017,20,"","",0,""
176,176,1020,20,"","",0,""
177,177,1018,20,"","",0,""
178,178,1019,20,"","",0,""
179,179,10,27,"","",0,""
