"rownum","BaseItemTypesKey","i32","rid","rid"
0,311,50,2,7282
1,3487,50,2,7285
2,535,20,2,7279
3,534,15,3,7280
4,532,10,0,7278
5,311,10,2,7281
6,3487,10,2,7284
7,3487,5,1,7283
8,6278,1,8,""
9,6113,1,8,""
10,5915,1,8,""
11,5707,1,0,""
12,6282,1,2,""
13,6283,1,2,""
14,6165,1,7,""
15,6273,1,3,""
16,6277,1,3,""
17,6029,1,9,""
18,5932,1,4,""
19,5738,1,4,""
20,6166,1,7,""
21,6284,1,2,""
22,6164,1,0,""
23,6052,1,2,""
24,6114,1,4,""
25,6279,1,8,""
26,5771,1,2,""
27,6285,1,2,""
28,5816,1,2,""
29,5969,1,8,""
30,5977,1,3,""
31,6072,1,1,""
32,6167,1,7,""
33,817,1,8,""
34,813,1,8,""
35,3198,1,8,""
36,411,1,9,""
37,545,1,2,""
38,346,1,2,""
39,512,1,2,""
40,513,1,2,""
41,514,1,2,""
42,876,1,2,""
43,515,1,2,""
44,857,1,2,""
45,858,1,2,""
46,872,1,2,""
47,410,1,8,""
48,550,1,2,""
49,551,1,3,""
50,672,1,0,""
51,670,1,0,""
52,439,1,0,""
53,671,1,0,""
54,669,1,0,""
55,595,1,0,""
56,364,1,0,""
57,431,1,0,""
58,542,1,3,""
59,543,1,7,""
60,544,1,3,""
61,536,1,3,""
62,822,1,8,""
63,738,1,2,""
64,736,1,2,""
65,737,1,2,""
66,735,1,2,""
67,780,1,1,""
68,891,1,2,""
69,889,1,2,""
70,890,1,2,""
71,888,1,2,""
72,886,1,2,""
73,875,1,2,""
74,582,1,1,""
75,781,1,1,""
76,349,1,7,""
77,342,1,7,""
78,776,1,1,""
79,774,1,1,""
80,775,1,1,""
81,773,1,1,""
82,777,1,1,""
83,436,1,1,""
84,783,1,1,""
85,849,1,2,""
86,843,1,2,""
87,845,1,2,""
88,844,1,2,""
89,846,1,2,""
90,854,1,2,""
91,848,1,2,""
92,853,1,2,""
93,851,1,2,""
94,852,1,2,""
95,850,1,2,""
96,847,1,2,""
97,855,1,2,""
98,546,1,2,""
99,395,1,1,""
100,608,1,2,""
101,606,1,2,""
102,607,1,2,""
103,605,1,2,""
104,348,1,2,""
105,527,1,1,""
106,548,1,2,""
107,873,1,2,""
108,344,1,7,""
109,859,1,2,""
110,440,1,3,""
111,416,1,3,""
112,328,1,1,""
113,334,1,4,""
114,594,1,2,""
115,547,1,2,""
116,668,1,9,""
117,666,1,9,""
118,449,1,9,""
119,667,1,9,""
120,665,1,9,""
121,450,1,9,""
122,435,1,9,""
123,721,1,3,""
124,719,1,3,""
125,720,1,3,""
126,718,1,3,""
127,652,1,1,""
128,650,1,1,""
129,444,1,1,""
130,651,1,1,""
131,649,1,1,""
132,784,1,1,""
133,877,1,2,""
134,394,1,9,""
135,418,1,9,""
136,366,1,2,""
137,337,1,2,""
138,338,1,2,""
139,573,1,2,""
140,339,1,0,""
141,614,1,4,""
142,612,1,4,""
143,437,1,4,""
144,613,1,4,""
145,611,1,4,""
146,357,1,4,""
147,432,1,4,""
148,351,1,3,""
149,426,1,7,""
150,734,1,8,""
151,732,1,8,""
152,438,1,8,""
153,733,1,8,""
154,731,1,8,""
155,365,1,8,""
156,433,1,8,""
157,709,1,3,""
158,340,1,2,""
159,443,1,9,""
160,413,1,9,""
161,468,1,3,""
162,465,1,8,""
163,688,1,7,""
164,686,1,7,""
165,442,1,7,""
166,687,1,7,""
167,685,1,7,""
168,689,1,7,""
169,690,1,7,""
170,409,1,7,""
171,632,1,3,""
172,572,1,2,""
173,420,1,1,""
174,549,1,2,""
175,390,1,1,""
176,483,1,2,""
177,492,1,7,""
178,500,1,7,""
179,488,1,2,""
180,504,1,3,""
181,508,1,7,""
182,484,1,2,""
183,493,1,7,""
184,501,1,7,""
185,489,1,2,""
186,505,1,3,""
187,509,1,7,""
188,603,1,7,""
189,675,1,7,""
190,446,1,7,""
191,485,1,2,""
192,495,1,7,""
193,502,1,7,""
194,491,1,2,""
195,506,1,3,""
196,510,1,7,""
197,486,1,2,""
198,494,1,7,""
199,503,1,7,""
200,490,1,2,""
201,507,1,3,""
202,511,1,7,""
203,583,1,7,""
204,569,1,7,""
205,434,1,7,""
206,610,1,8,""
207,526,1,7,""
208,350,1,2,""
209,352,1,3,""
210,354,1,9,""
211,345,1,2,""
212,782,1,1,""
213,601,1,3,""
214,599,1,2,""
215,597,1,2,""
216,598,1,2,""
217,596,1,2,""
218,821,1,8,""
219,819,1,8,""
220,820,1,8,""
221,818,1,8,""
222,393,1,0,""
223,388,1,2,""
224,878,1,2,""
225,347,1,3,""
226,516,1,2,""
227,517,1,2,""
228,441,1,1,""
229,518,1,2,""
230,519,1,2,""
231,414,1,1,""
232,779,1,1,""
233,520,1,2,""
234,521,1,2,""
235,448,1,9,""
236,522,1,2,""
237,523,1,2,""
238,412,1,9,""
239,343,1,7,""
240,590,1,2,""
241,591,1,9,""
242,592,1,8,""
243,456,1,2,""
244,404,1,2,""
245,398,1,4,""
246,678,1,8,""
247,673,1,8,""
248,811,1,8,""
249,674,1,8,""
250,405,1,0,""
251,787,1,2,""
252,788,1,2,""
253,385,1,0,""
254,677,1,1,""
255,577,1,1,""
256,576,1,1,""
257,694,1,1,""
258,396,1,8,""
259,895,1,2,""
260,377,1,4,""
261,697,1,3,""
262,741,1,1,""
263,378,1,9,""
264,739,1,2,""
265,386,1,9,""
266,589,1,2,""
267,642,1,9,""
268,408,1,9,""
269,639,1,2,""
270,717,1,3,""
271,679,1,7,""
272,692,1,1,""
273,406,1,1,""
274,696,1,1,""
275,691,1,1,""
276,399,1,0,""
277,643,1,2,""
278,374,1,2,""
279,403,1,2,""
280,892,1,2,""
281,896,1,2,""
282,785,1,8,""
283,633,1,7,""
284,640,1,3,""
285,387,1,8,""
286,400,1,7,""
287,402,1,7,""
288,407,1,8,""
289,370,1,7,""
290,575,1,0,""
291,369,1,9,""
292,397,1,8,""
293,3201,1,9,""
294,3202,1,4,""
295,3203,1,7,""
296,3239,1,8,""
297,3241,1,2,""
298,3261,1,1,""
299,3248,1,2,""
300,3236,1,3,""
301,3265,1,2,""
302,3237,1,2,""
303,3235,1,2,""
304,3258,1,2,""
305,3299,1,8,""
306,3259,1,4,""
307,3246,1,2,""
308,3256,1,2,""
309,3238,1,4,""
310,3205,1,7,""
311,3206,1,9,""
312,3207,1,9,""
313,3209,1,2,""
314,3279,1,0,""
315,3296,1,1,""
316,3255,1,3,""
317,3304,1,2,""
318,3270,1,2,""
319,3269,1,2,""
320,3272,1,2,""
321,3218,1,9,""
322,3301,1,2,""
323,3211,1,3,""
324,3212,1,2,""
325,3217,1,4,""
326,3219,1,2,""
327,3215,1,2,""
