"rownum","rid","string","string","string","i32","i32","i32","i32","string","string","string","string","string","string","string","string","string"
0,3985,"Metadata/Items/Armours/BodyArmours/MadcapRobe/MadcapRobeMHeld.ao","Metadata/Items/Armours/BodyArmours/MadcapRobe/MadcapRobeFHeld.ao","Metadata/Items/Armours/BodyArmours/MadcapRobe/MadcapRobeFHeld.ao",8,0,8,0,"Metadata/Items/Armours/BodyArmours/MadcapRobe/MadcapRobeMHeld.ao","Metadata/Items/Armours/BodyArmours/MadcapRobe/MadcapRobeFHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
1,4042,"Metadata/Items/Armours/BodyArmours/CultOfApocalypseRobe/CultOfApocalypseRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/CultOfApocalypseRobe/CultOfApocalypseRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/CultOfApocalypseRobe/CultOfApocalypseRobeFemaleHeld.ao",316,0,316,0,"Metadata/Items/Armours/BodyArmours/CultOfApocalypseRobe/CultOfApocalypseRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/CultOfApocalypseRobe/CultOfApocalypseRobeFemaleHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
2,4055,"Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildArmourRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildArmourRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildArmourRobeFemaleHeld.ao",676,0,676,0,"Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildArmourRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildArmourRobeFemaleHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
3,4065,"Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildGoldArmourRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildGoldArmourRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildGoldArmourRobeFemaleHeld.ao",988,0,988,0,"Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildGoldArmourRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildGoldArmourRobeFemaleHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
4,4098,"Metadata/Effects/Microtransactions/head/WaterElementalHair/MaleHeld.ao","Metadata/Effects/Microtransactions/head/WaterElementalHair/FemaleHeld.ao","Metadata/Effects/Microtransactions/head/WaterElementalHair/FemaleHeld.ao",1316,0,1316,0,"Metadata/Effects/Microtransactions/head/WaterElementalHair/MaleHeld.ao","Metadata/Effects/Microtransactions/head/WaterElementalHair/FemaleHeld.ao","Head_Attachment","Head_Attachment","Head_Attachment","Head_Attachment","Head_Attachment","Head_Attachment","Head_Attachment"
5,4127,"Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeFemaleHeld.ao",1642,0,1642,0,"Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeFemaleHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
6,4136,"Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeAltMaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeFemaleAltHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeFemaleAltHeld.ao",1954,0,1954,0,"Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeAltMaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeFemaleAltHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
7,4199,"Metadata/Items/Armours/BodyArmours/CrusaderRobe/CrusaderRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/CrusaderRobe/CrusaderRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/CrusaderRobe/CrusaderRobeFemaleHeld.ao",2278,0,2278,0,"Metadata/Items/Armours/BodyArmours/CrusaderRobe/CrusaderRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/CrusaderRobe/CrusaderRobeFemaleHeld.ao","spine1","Spine1","Spine2","spine1","aux_waist_attachment","spine1","spine_01"
8,4210,"Metadata/Items/Armours/BodyArmours/JudicatorRobe/JudicatorRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/JudicatorRobe/JudicatorRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/JudicatorRobe/JudicatorRobeFemaleHeld.ao",2642,0,2642,0,"Metadata/Items/Armours/BodyArmours/JudicatorRobe/JudicatorRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/JudicatorRobe/JudicatorRobeFemaleHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
9,4193,"Metadata/Items/Armours/BodyArmours/BasiliskRobe/BasiliskRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/BasiliskRobe/BasiliskRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/BasiliskRobe/BasiliskRobeFemaleHeld.ao",2946,0,2946,0,"Metadata/Items/Armours/BodyArmours/BasiliskRobe/BasiliskRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/BasiliskRobe/BasiliskRobeFemaleHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
10,4385,"Metadata/Items/Armours/Capes/PandemoniumAngelicCape/PandemoniumAngelicCapeStrHeld.ao","Metadata/Items/Armours/Capes/PandemoniumAngelicCape/PandemoniumAngelicCapeDexHeld.ao","Metadata/Items/Armours/Capes/PandemoniumAngelicCape/PandemoniumAngelicCapeIntHeld.ao",3758,0,3936,0,"Metadata/Items/Armours/Capes/PandemoniumAngelicCape/PandemoniumAngelicCapeDexIntHeld.ao","Metadata/Items/Armours/Capes/PandemoniumAngelicCape/PandemoniumAngelicCapeStrDexIntHeld.ao","","","","","","",""
11,4406,"Metadata/Items/Armours/Capes/PandemoniumMergedCape/PandemoniumMergedCapeStrHeld.ao","Metadata/Items/Armours/Capes/PandemoniumMergedCape/PandemoniumMergedCapeDexHeld.ao","Metadata/Items/Armours/Capes/PandemoniumMergedCape/PandemoniumMergedCapeIntHeld.ao",4984,0,5158,0,"Metadata/Items/Armours/Capes/PandemoniumMergedCape/PandemoniumMergedCapeDexIntHeld.ao","Metadata/Items/Armours/Capes/PandemoniumMergedCape/PandemoniumMergedCapeStrDexIntHeld.ao","","","","","","",""
12,4396,"Metadata/Items/Armours/Capes/PandemoniumDemonCloak/PandemoniumDemonCloakStrHeld.ao","Metadata/Items/Armours/Capes/PandemoniumDemonCloak/PandemoniumDemonCloakDexHeld.ao","Metadata/Items/Armours/Capes/PandemoniumDemonCloak/PandemoniumDemonCloakIntHeld.ao",6190,0,6364,0,"Metadata/Items/Armours/Capes/PandemoniumDemonCloak/PandemoniumDemonCloakDexIntHeld.ao","Metadata/Items/Armours/Capes/PandemoniumDemonCloak/PandemoniumDemonCloakStrDexIntHeld.ao","","","","","","",""
13,4435,"Metadata/Items/Armours/Capes/TencentGoddessCape/TencentGoddessCapeStrHeld.ao","Metadata/Items/Armours/Capes/TencentGoddessCape/TencentGoddessCapeDexHeld.ao","Metadata/Items/Armours/Capes/TencentGoddessCape/TencentGoddessCapeIntHeld.ao",7360,0,7522,0,"Metadata/Items/Armours/Capes/TencentGoddessCape/TencentGoddessCapeDexIntHeld.ao","Metadata/Items/Armours/Capes/TencentGoddessCape/TencentGoddessCapeStrDexIntHeld.ao","","","","","","",""
14,4642,"Metadata/Items/Armours/Shields/DoomGauntletHeld/DoomGauntletStr.ao","Metadata/Items/Armours/Shields/DoomGauntletHeld/DoomGauntletDex.ao","Metadata/Items/Armours/Shields/DoomGauntletHeld/DoomGauntletInt.ao",8422,0,8564,0,"Metadata/Items/Armours/Shields/DoomGauntletHeld/DoomGauntletDexInt.ao","Metadata/Items/Armours/Shields/DoomGauntletHeld/DoomGauntletStrDexInt.ao","<root>","<root>","<root>","<root>","<root>","<root>","<root>"
