"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasRegionsKey","AtlasNodeKeys0","AtlasNodeKeys1","AtlasNodeKeys2","AtlasNodeKeys3","AtlasNodeKeys4","Tier0","Tier1","Tier2","Tier3","Tier4","X0","X1","X2","X3","X4","Y0","Y1","Y2","Y3","Y4","f32","f32","f32","f32","f32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","DDSFile"
0,1155,6778,"",403,1786,1,[72],[72],[72],[72],[72],3,6,10,12,14,346.388,352.329,347.828,351.159,356.765,184.488,142.967,155.176,165.77,137.807,55,65,63,42,40,-4,-6,-1,-8,-5,-16,21,20,-7,7,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds"
1,1228,5789,"",467,1857,2,[],"[120,149,97]","[149,150,97,32]","[149,97,32]","[149,103,97,32]",0,5,9,11,14,552.953,583.937,605.565,607.53,590.855,68.612,210.058,237.219,236.686,232.615,20,176,188,137,157,0,14,10,-8,1,0,-10,-13,-23,-22,""
2,1203,5745,"",444,1832,7,"[148,101,48]","[148,101,50,48]","[148,139,101,48]","[148,139,101,48]","[148,139,101,48]",3,6,10,12,14,686.734,672.29,687.073,683.38,689.268,450.527,438.258,443.953,440.261,441.543,162,180,156,152,156,3,18,0,1,-2,7,9,10,11,12,""
3,1197,5791,"",439,1826,0,[],[],[],[],"[135,61,66,6]",0,0,0,0,15,114.111,114.111,114.111,114.111,282.865,36.797,36.797,36.797,36.797,99.359,20,20,20,20,155,0,0,0,0,-12,0,0,0,0,-6,""
4,1162,5695,"",408,1792,5,"[128,94,69,11]","[128,69,11]","[128,105,69]","[128,105,69]","[128,105,69]",2,5,9,11,14,393.916,393.527,395.959,417.249,417.249,305.242,295.52,307.276,302.909,302.909,170,164,167,147,143,-5,7,0,-9,-5,-4,-12,-19,-14,-13,""
5,1224,5792,"",463,1853,2,[],[],[],[],"[114,151]",0,0,0,0,15,514.206,487.42,484.343,480.883,734.607,255.028,182.607,179.418,177.236,236.137,20,20,20,20,104,0,0,0,0,1,0,0,0,0,0,""
6,1223,5769,"",462,1852,0,"[133,113,102,92]","[113,102,66]","[157,102,92,66]","[134,157,92,66,24]","[157,84,66,3,24,14]",5,8,12,13,15,191.007,193.545,184.625,220.674,236.069,80.516,109.89,104.645,111.182,99.982,190,146,148,160,150,34,15,24,-5,-9,33,21,8,-3,3,""
7,1215,5672,"",454,1844,1,[],"[72,40,163]","[72,40,163]","[40,163]","[131,40,163]",0,5,9,11,14,502.582,409.948,429.569,439.307,432.495,253.61,217.66,205.956,184.604,209.131,20,171,162,110,160,0,0,-15,1,-15,0,-14,-10,4,-9,""
8,1234,5784,"",476,1873,2,[],[],[],[],[],0,0,0,0,16,521.34,524.386,536.569,536.569,575.93,512.916,526.404,528.58,535.106,276.967,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,""
9,1221,5761,"",460,1850,0,"[133,87,27]","[133,87,27]","[133,87,27]","[133,87,27]","[133,87,27]",3,6,10,12,14,391.817,393.027,394.236,399.538,399.28,79.467,76.645,75.839,73.623,78.02,253,223,182,181,172,11,14,20,17,18,19,24,25,25,25,""
10,1219,5777,"",458,1848,6,[],"[117,101,59,45]","[117,101,59,45]","[117,101,59,45]","[117,101,59,45]",0,7,9,11,14,523.928,582.106,584.103,578.39,575.218,530.904,477.516,476.435,465.458,459.739,20,168,153,161,161,0,-22,-21,-15,-14,0,-32,-27,-22,-17,""
11,1225,5795,"",464,1854,5,"[136,69,4,58]","[136,112,69,4]","[105,69,55]","[105,69,55]","[105,69,55]",3,6,9,12,14,339.799,354.076,364.038,364.38,366.863,281.948,274.918,259.639,260.655,267.833,202,209,166,144,136,2,13,-10,0,3,8,16,5,6,2,""
12,1220,5817,"",459,1849,4,"[141,124,82]","[141,126,124]","[141,126,124]","[141,126,124,36]","[160,141,124]",4,8,11,13,15,293.001,263.282,267.015,263.803,303.652,468.162,475.85,475.143,475.107,460.853,137,199,180,178,122,5,0,1,-16,-6,-6,-10,-10,-16,-3,""
