"rownum","Id","Text","BackgroundImage","i32","f32","f32","string","string","ForegroundImage","OGGFile","i32"
0,"LegionMapDeviceAward","You have unlocked an additional item slot on the Map Device","Art/2DArt/UIImages/InGame/GenericRewardBackground",6,3,2,"","","Art/2DArt/UIImages/InGame/GenericRewardMapDevice5","Audio/Sound Effects/UI/Atlas/Upgrade.ogg",2387
1,"AtlasMissionZana","Atlas Mission from Zana Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationZana",1114,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2387
2,"AtlasMissionAlva","Atlas Mission from Alva Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationAlva",1114,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2387
3,"AtlasMissionNiko","Atlas Mission from Niko Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationNiko",1114,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2387
4,"AtlasMissionEinhar","Atlas Mission from Einhar Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationEinhar",1114,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2387
5,"AtlasMissionJun","Atlas Mission from Jun Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationJun",1114,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2387
6,"AtlasCitadelOutsideTopLeft","Haewark Hamlet\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",399,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2387
7,"AtlasCitadelInsideTopLeft","Tirn's End\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",400,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2387
8,"AtlasCitadelInsideTopRight","Lex Proxima\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",401,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2387
9,"AtlasCitadelOutsideTopRight","Lex Ejoris\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",402,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2387
10,"AtlasCitadelOutsideBottomLeft","New Vastir\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",403,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2387
11,"AtlasCitadelInsideBottomLeft","Glennach Cairns\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",404,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2387
12,"AtlasCitadelInsideBottomRight","Valdo's Rest\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",405,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2387
