"rownum","i32","i32","[rid]","i32","i32","[string]","[string]","rid","i32","[rid]"
0,1,5,[4138],1,0,[],[],"",0,[]
1,2,5,[4139],1,0,[],[],"",0,[]
2,3,5,[4140],1,0,[],[],"",0,[]
3,4,5,[4261],1,1,"[""<root>""]",[],"",0,[]
4,5,5,[4265],1,1,[],"[""root""]","",0,[]
5,6,5,[4296],1,1,[],[],"",0,[]
6,7,5,[4323],1,1,[],"[""root""]","",0,[]
7,8,5,[4324],1,0,[],[],"",0,[]
8,9,5,[4371],1,1,[],"[""root""]","",0,[]
9,10,5,[4392],1,1,[],[],"",0,[]
10,11,5,[4518],1,1,[],"[""frameupper""]","",0,[]
11,12,5,[4542],1,0,[],[],"",0,[]
12,13,5,[4636],1,0,[],[],"",0,[]
13,14,5,[4713],1,0,[],[],"",0,[]
14,15,5,[4675],1,0,[],[],"",0,[]
15,16,5,[4774],1,0,[],"[""root""]","",0,[]
16,17,5,[4966],1,0,[],[],"",0,[]
17,18,5,[5015],1,0,"[""<lock>""]",[],"",0,[]
18,19,5,[5174],1,0,[],[],"",0,[]
19,20,5,[5175],1,0,[],[],"",0,[]
20,21,5,[5221],1,3,[],[],"",0,[]
21,22,5,[5315],1,3,[],[],"",0,[5316]
22,23,5,[5327],1,0,[],[],"",0,[]
