"rownum","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","i32","i32","i32","bool","i32","i32","i32","bool","string","i32","bool","bool","i32"
0,1,2,20,60,10,0,4162,0,-20,-20,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
1,2,4,20,110,69,0,4163,0,56,-46,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
2,3,4,20,110,69,0,4163,0,56,-46,0,180,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
3,4,1,20,160,-80,0,4163,0,80,-35,0,0,0,0,0,0,"","",0,0,0,"",20,0,3,"","",2,1,"",0
4,5,2,20,60,10,0,4167,0,-20,-20,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
5,6,6,24,160,60,0,4167,0,80,-35,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
6,7,6,24,160,60,0,4167,0,80,-35,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
7,8,2,20,60,20,-45,4162,90,20,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
8,9,2,30,165,58,-45,4163,90,58,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
9,10,2,30,165,58,-135,4163,90,-58,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
10,11,2,30,165,-58,45,4163,90,58,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
11,12,2,30,165,-58,135,4163,90,-58,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
12,13,6,24,100,20,-90,4167,60,20,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
13,14,6,24,100,20,-90,4167,60,20,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
14,15,6,24,100,-20,90,4167,60,-20,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
15,16,6,24,100,-20,90,4167,60,-20,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
16,17,4,20,60,40,-45,4162,90,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
17,18,4,20,60,60,-45,4162,45,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
18,19,5,24,100,30,-45,4167,72,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
19,20,5,24,100,30,-45,4167,72,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
20,21,6,24,100,50,-45,4167,60,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
21,22,6,24,100,50,-45,4167,60,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
22,23,7,24,100,70,-45,4167,50,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
23,24,7,24,100,70,-45,4167,50,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
24,25,3,20,60,-30,90,4162,0,20,0,-20,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
25,26,1,20,80,10,0,5296,0,-20,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,1,"","",2,1,"",0
26,27,1,1,8,0,0,4163,0,0,0,0,0,0,40,0,0,"",1,0,0,0,"",0,0,3,"","",4,1,"",0
27,28,2,50,120,0,0,4170,270,62,0,0,0,0,0,55,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
28,29,2,50,120,0,0,4170,270,62,0,0,90,0,0,55,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
