"rownum","rid","i32","i32","i32","i32","i32","AOFile","Stance","rid"
0,0,1255,2387,1114,1114,25,"Metadata/NPC/Act1/Tarkleigh.ao","",""
1,16,2387,2387,1114,1114,25,"Metadata/NPC/Act3/Hargan.ao","",""
2,193,2387,1086,1114,1114,25,"Metadata/NPC/Act5/Lilly.ao","",""
3,347,2387,1255,1114,1114,25,"Metadata/NPC/League/Incursion/TreasureHunter.ao","",""
4,100,2387,673,1114,1114,25,"Metadata/NPC/Act4/Petarus.ao","",""
5,397,2387,60,1114,1114,25,"Metadata/NPC/League/Blight/BlightBuilder.ao","",""
6,349,2387,2387,1114,1114,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalHaku.ao","idle_axe_01",1
7,350,2387,2387,1114,1114,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalElreon.ao","idle_maul_01",2
8,351,2387,2387,1114,1114,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalTora.ao","idle_bow_01",3
9,352,2387,2387,1114,1114,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalVagan.ao","idle_sword_sword_01",4
10,353,2387,2387,1114,1114,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalVorici.ao","idle_dagger_dagger_01",5
11,354,2387,2387,1114,1114,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalHillock.ao","idle_town_01",6
12,355,2387,2387,1114,1114,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalLeo.ao","idle_town_01",7
13,356,2387,2387,1114,1114,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalGrenn.ao","idle_town_01",8
14,357,2387,2387,1114,1114,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalJanus.ao","idle_town_01",9
15,358,2387,2387,1114,1114,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalBreach.ao","idle_town_01",10
16,359,2387,2387,1114,1114,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalGravicius.ao","idle_town_01",11
17,360,2387,2387,1114,1114,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalThane.ao","idle_town_01",12
18,361,2387,2387,1114,1114,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalKeema.ao","idle_town_01",13
19,362,2387,2387,1114,1114,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalRin.ao","idle_town_01",14
20,363,2387,2387,1114,1114,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalCameria.ao","idle_town_01",15
21,364,2387,2387,1114,1114,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalAislin.ao","idle_town_01",16
22,365,2387,2387,1114,1114,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalRiker.ao","idle_town_01",17
