"rownum","Id","i32","bool","bool"
0,"InstanceStartupDebug",33048,1,""
1,"SpawnTormentedSpiritWithBoss",51776,1,""
2,"SpawnBossWithBoss",8207,1,""
3,"SpawnBossAtNPC",7258,1,""
4,"SpawnMasterMission",64121,1,""
5,"SpawnSideArea",53336,1,""
6,"SpawnRareMonsters",18519,1,""
7,"SpawnUniqueMonsters",53878,1,""
8,"SpawnUniqueMonstersAtMarkers",61258,1,""
9,"SpawnRogueExiles",14255,1,""
10,"SpawnMagicMonsterPacks",37022,1,""
11,"SpawnRandomMonsterPack",39863,1,""
12,"SpawnRandomMonsterPackAdditionalRare",59903,1,""
13,"SpawnRandomMonsterPackAdditionalUnique",8259,1,""
14,"SpawnRandomMonsterPackAdditionalRareAndUnique",21781,1,""
15,"SpawnRareMonstersAround",9594,1,""
16,"SpawnRandomMonsterPackWithBossDrops",16132,1,""
17,"SpawnRandomMonsterPackWithBossDropsAdditionalRareAndUnique",32181,1,""
18,"SpawnUniqueChest",12120,1,""
19,"SpawnLabyrinthTrial",52413,1,""
20,"SpawnTerrainFeaturesAndBossAtMarker",62061,1,""
21,"SpawnBoss",35099,1,""
22,"SpawnBossChangeEnvironment",16579,1,""
23,"SpawnBeyondPack",30309,1,""
24,"SpawnBossReplaceMonsterPacks",45242,1,""
25,"SpawnBossReplaceMonsterPacksChangeEnvironment",47137,1,""
26,"SpawnBossAtMarkerChangeEnvironment",16653,1,""
27,"SpawnRareSideArea",60680,1,""
28,"SpawnStrongboxes",35423,1,""
29,"SpawnOnlyStrongboxes",148,1,""
30,"TwinnedBosses",48645,1,""
31,"SpawnTempest",65055,1,""
32,"SpawnBossAtMarker",19923,1,""
33,"DuplicateRares",36871,1,""
34,"PossessUniques",29218,1,""
35,"SpawnManyChests",14359,1,""
36,"DeadlyRivalry",21076,1,""
37,"SpawnWarbandPackChain",60649,1,""
38,"CorruptMapArea",6413,1,""
39,"BeyondCultChain",38987,1,""
40,"SpawnPackAtMarker",21005,1,""
41,"SpawnPackAtMarkerAdditionalUnique",50589,1,""
42,"SpawnPackAtMarkerUnique",64615,1,""
43,"SpawnPackAtNPC",12203,1,""
44,"SpawnPackAtNPCMagic",48807,1,""
45,"SpawnPackAtNPCMagicAdditionalRare",42466,1,""
46,"SpawnPackChangeEnvironment",56442,1,""
47,"SpawnRareMonstersAtNPC",31607,1,""
48,"SpawnInvasionBoss",52903,1,""
49,"SpawnTerrainFeaturesAndPackAtNPC",40830,1,""
50,"SpawnBossThatSpawnsAnotherBossOnDeath",57820,1,""
51,"SpawnBossAtMarkerThatSpawnsAnotherBossOnDeath",60246,1,""
52,"SpawnItemsAtMarker",53511,1,""
53,"SpawnAllBossesReplaceMonsterPacks",24813,1,""
54,"SpawnBossChangeEnvironmentWaitForSecondBoss",31966,1,""
55,"AnarchysEnd",16295,1,""
56,"SpawnBossWithMerveil",31622,1,""
57,"ShaperInfluenceOutcome1",62584,1,""
58,"ShaperInfluenceOutcome2",57353,1,""
59,"ShaperInfluenceOutcome3",48007,1,""
60,"ShaperInfluenceOutcome4",25190,1,""
61,"DelvePlugin",64915,"",""
62,"IncursionPastPlugin",32669,"",""
63,"IncursionTemplePlugin",26226,"",""
64,"BetrayalSafehousePlugin",61701,"",""
65,"SynthesisPlugin",18053,"",""
66,"SynthesisPluginServer",1928,1,""
67,"BlightEndGamePlugin",15025,"",""
68,"AfflictionPlugin",2161,"",""
69,"HeistPlugin",2373,"",""
70,"MarkedMapBoss",57908,1,""
71,"UltimatumPlugin",31963,"",""
