"rownum","Id","Icon_DDSFile","StatsKeys","Stat1Value","Stat2Value","Stat3Value","Stat4Value","PassiveSkillGraphId","Name","CharactersKeys","IsKeystone","IsNotable","FlavourText","IsJustIcon","AchievementItemsKey","IsJewelSocket","AscendancyKey","IsAscendancyStartingNode","Reminder_ClientStringsKeys","SkillPointsGranted","IsMultipleChoice","IsMultipleChoiceOption","Stat5Value","PassiveSkillBuffsKeys","GrantedEffectsPerLevelKey","bool","i32","bool","bool","bool","bool","bool","bool"
0,"lava_lash1","Art/2DArt/SkillIcons/passives/lavalash.dds","[6072,3916,10232]",30,8,8,0,30439,"Lava Lash",[],"",1,"","",6954,"","","",[],0,"","",0,[],"","",0,"","","","","",""
1,"two_handed_weapon_damage_and_accuracy9","Art/2DArt/SkillIcons/passives/accuracy2h.dds","[333,11635,3104]",12,12,80,0,27140,"Two Handed Melee Damage and Leech",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
2,"two_handed_weapon_damage12","Art/2DArt/SkillIcons/passives/2handeddamage.dds","[333,11635]",16,16,0,0,60169,"Two Handed Melee Damage",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
3,"two_handed_weapon_damage13","Art/2DArt/SkillIcons/passives/2handeddamage.dds","[333,11635,3104]",12,12,40,0,64816,"Two Handed Melee Damage and Leech",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
4,"two_handed_weapon_attack_speed15","Art/2DArt/SkillIcons/passives/2handedspeed.dds","[333,335,11635]",10,3,10,0,56381,"Two Handed Melee Damage and Attack Speed",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
5,"totem_life20","Art/2DArt/SkillIcons/passives/totemandbranddamage.dds","[1793,8625]",14,14,0,0,23083,"Totem and Brand Damage",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
6,"totem_duration22","Art/2DArt/SkillIcons/passives/totemlife.dds","[166,1840]",15,15,0,0,11431,"Totem Life and Physical Damage Reduction",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
7,"staff_block23","Art/2DArt/SkillIcons/passives/blockstaff.dds","[409,2864,75,2800]",2,2,3,3,18990,"Staff Block, Attack and Cast Speed",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
8,"whirling_barrier24","Art/2DArt/SkillIcons/passives/whirlingstaff.dds","[409,2864,2620]",6,6,20,0,42917,"Whirling Barrier",[],"",1,"","",6954,"","","",[],0,"","",0,[],"","",0,"","","","","",""
9,"shield_block_and_block_recovery29","Art/2DArt/SkillIcons/passives/ElementalResistance2.dds","[2367,408]",2,6,0,0,62214,"Shield Spell Block and Elemental Resistances with a Shield",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
10,"shield_block31","Art/2DArt/SkillIcons/passives/blockstr.dds","[19,23]",2,25,0,0,59861,"Shield Block and Defences",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
11,"shield_block32","Art/2DArt/SkillIcons/passives/ElementalResistance2.dds","[2367,408]",2,6,0,0,64426,"Shield Spell Block and Elemental Resistances with a Shield",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
12,"shield_block33","Art/2DArt/SkillIcons/passives/blockstr.dds","[19,22]",2,30,0,0,43413,"Shield Block and Block Recovery",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
13,"shield_mastery34","Art/2DArt/SkillIcons/passives/barricade.dds","[19,2367,408]",4,4,12,0,20832,"Sanctuary",[],"",1,"","",6954,"","","",[],0,"","",0,[],"","",0,"","","","","",""
14,"shield_block35","Art/2DArt/SkillIcons/passives/blockstr.dds","[19,22]",2,30,0,0,3319,"Shield Block and Block Recovery",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
15,"elemental_resistance_with_shields37","Art/2DArt/SkillIcons/passives/ShieldAttackDamage.dds","[19,11659]",1,15,0,0,20349,"Shield Block and Physical Attack Damage with Shield",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","","","","",""
