"rownum","ChestsKey","Weight","[rid]","HeistChestTypesKey"
0,1412,9999999,"[0,7,8]",0
1,1413,9999999,"[1,6]",0
2,1414,9999999,"[2,4]",0
3,1415,9999999,"[3,5]",0
4,1476,250,"[0,7,8]",1
5,1477,250,"[1,6]",1
6,1478,250,"[2,4]",1
7,1479,250,"[3,5]",1
8,1480,250,"[0,7,8]",1
9,1481,250,"[1,6]",1
10,1482,250,"[2,4]",1
11,1483,250,"[3,5]",1
12,1484,250,"[0,7,8]",1
13,1485,250,"[1,6]",1
14,1486,250,"[2,4]",1
15,1487,250,"[3,5]",1
16,1488,250,"[0,7,8]",1
17,1489,250,"[1,6]",1
18,1490,250,"[2,4]",1
19,1491,250,"[3,5]",1
20,1492,250,"[0,7,8]",1
21,1493,250,"[1,6]",1
22,1494,250,"[2,4]",1
23,1495,250,"[3,5]",1
24,1496,250,"[0,7,8]",1
25,1497,250,"[1,6]",1
26,1498,250,"[2,4]",1
27,1499,250,"[3,5]",1
28,1500,250,"[0,7,8]",1
29,1501,250,"[1,6]",1
30,1502,250,"[2,4]",1
31,1503,250,"[3,5]",1
32,1504,250,"[0,7,8]",1
33,1505,250,"[1,6]",1
34,1506,250,"[2,4]",1
35,1507,250,"[3,5]",1
36,1508,250,"[0,7,8]",1
37,1509,250,"[1,6]",1
38,1510,250,"[2,4]",1
39,1511,250,"[3,5]",1
40,1512,250,"[0,7,8]",1
41,1513,250,"[1,6]",1
42,1514,250,"[2,4]",1
43,1515,250,"[3,5]",1
44,1516,250,"[0,7,8]",1
45,1517,250,"[1,6]",1
46,1518,250,"[2,4]",1
47,1519,250,"[3,5]",1
48,1520,250,"[0,7,8]",1
49,1521,250,"[1,6]",1
50,1522,250,"[2,4]",1
51,1523,250,"[3,5]",1
52,1524,250,"[0,7,8]",1
53,1525,250,"[1,6]",1
54,1526,250,"[2,4]",1
55,1527,250,"[3,5]",1
56,1528,250,"[0,7,8]",1
57,1529,250,"[1,6]",1
58,1530,250,"[2,4]",1
59,1531,250,"[3,5]",1
60,1532,250,"[0,7,8]",1
61,1533,250,"[1,6]",1
62,1534,250,"[2,4]",1
63,1535,250,"[3,5]",1
64,1536,250,"[0,7,8]",1
65,1537,250,"[1,6]",1
66,1538,250,"[2,4]",1
67,1539,250,"[3,5]",1
68,1540,250,"[0,7,8]",1
69,1541,250,"[1,6]",1
70,1542,250,"[2,4]",1
71,1543,250,"[3,5]",1
72,1544,250,"[0,7,8]",1
73,1545,250,"[1,6]",1
74,1546,250,"[2,4]",1
75,1547,250,"[3,5]",1
76,1548,250,"[0,7,8]",1
77,1549,250,"[1,6]",1
78,1550,250,"[2,4]",1
79,1551,250,"[3,5]",1
80,1552,250,"[0,7,8]",1
81,1553,250,"[1,6]",1
82,1554,250,"[2,4]",1
83,1555,250,"[3,5]",1
84,1556,250,"[0,7,8]",1
85,1557,250,"[1,6]",1
86,1558,250,"[2,4]",1
87,1559,250,"[3,5]",1
88,1560,250,"[0,7,8]",1
89,1561,250,"[1,6]",1
90,1562,250,"[2,4]",1
91,1563,250,"[3,5]",1
92,1564,250,"[0,7,8]",1
93,1565,250,"[1,6]",1
94,1566,250,"[2,4]",1
95,1567,250,"[3,5]",1
96,1568,250,"[0,7,8]",1
97,1569,250,"[1,6]",1
98,1570,250,"[2,4]",1
99,1571,250,"[3,5]",1
100,1572,250,"[0,7,8]",1
101,1573,250,"[1,6]",1
102,1574,250,"[2,4]",1
103,1575,250,"[3,5]",1
104,1576,250,"[0,7,8]",1
105,1577,250,"[1,6]",1
106,1578,250,"[2,4]",1
107,1579,250,"[3,5]",1
108,1580,250,"[0,7,8]",1
109,1581,250,"[1,6]",1
110,1582,250,"[2,4]",1
111,1583,250,"[3,5]",1
112,1584,250,"[0,7,8]",1
113,1585,250,"[1,6]",1
114,1586,250,"[2,4]",1
115,1587,250,"[3,5]",1
116,1588,250,"[0,7,8]",1
117,1589,250,"[1,6]",1
118,1590,250,"[2,4]",1
119,1591,250,"[3,5]",1
120,1592,250,"[0,7,8]",1
121,1593,250,"[1,6]",1
122,1594,250,"[2,4]",1
123,1595,250,"[3,5]",1
124,1596,250,"[0,7,8]",1
125,1597,250,"[1,6]",1
126,1598,250,"[2,4]",1
127,1599,250,"[3,5]",1
128,1600,250,"[0,7,8]",1
129,1601,250,"[1,6]",1
130,1602,250,"[2,4]",1
131,1603,250,"[3,5]",1
132,1604,250,"[0,7,8]",1
133,1605,250,"[1,6]",1
134,1606,250,"[2,4]",1
135,1607,250,"[3,5]",1
136,1608,250,"[0,7,8]",1
137,1609,250,"[1,6]",1
138,1610,250,"[2,4]",1
139,1611,250,"[3,5]",1
140,1612,250,"[0,7,8]",1
141,1613,250,"[1,6]",1
142,1614,250,"[2,4]",1
143,1615,250,"[3,5]",1
144,1616,250,"[0,7,8]",1
145,1617,250,"[1,6]",1
146,1618,250,"[2,4]",1
147,1619,250,"[3,5]",1
148,1620,250,"[0,7,8]",1
149,1621,250,"[1,6]",1
150,1622,250,"[2,4]",1
151,1623,250,"[3,5]",1
152,1624,250,"[0,7,8]",1
153,1625,250,"[1,6]",1
154,1626,250,"[2,4]",1
155,1627,250,"[3,5]",1
156,1628,250,"[0,7,8]",1
157,1629,250,"[1,6]",1
158,1630,250,"[2,4]",1
159,1631,250,"[3,5]",1
160,1632,250,"[0,7,8]",1
161,1633,250,"[1,6]",1
162,1634,250,"[2,4]",1
163,1635,250,"[3,5]",1
164,1636,250,"[0,7,8]",1
165,1637,250,"[1,6]",1
166,1638,250,"[2,4]",1
167,1639,250,"[3,5]",1
168,1640,250,"[0,7,8]",1
169,1641,250,"[1,6]",1
170,1642,250,"[2,4]",1
171,1643,250,"[3,5]",1
172,1644,250,"[0,7,8]",1
173,1645,250,"[1,6]",1
174,1646,250,"[2,4]",1
175,1647,250,"[3,5]",1
176,1648,250,"[0,7,8]",1
177,1649,250,"[1,6]",1
178,1650,250,"[2,4]",1
179,1651,250,"[3,5]",1
180,1652,250,"[0,7,8]",1
181,1653,250,"[1,6]",1
182,1654,250,"[2,4]",1
183,1655,250,"[3,5]",1
184,1656,250,"[0,7,8]",1
185,1657,250,"[1,6]",1
186,1658,250,"[2,4]",1
187,1659,250,"[3,5]",1
188,1660,250,"[0,7,8]",1
189,1661,250,"[1,6]",1
190,1662,250,"[2,4]",1
191,1663,250,"[3,5]",1
192,1664,250,"[0,7,8]",1
193,1665,250,"[1,6]",1
194,1666,250,"[2,4]",1
195,1667,250,"[3,5]",1
196,1472,250,"[0,7,8]",1
197,1473,250,"[1,6]",1
198,1474,250,"[2,4]",1
199,1475,250,"[3,5]",1
200,1416,125,"[0,7,8]",2
201,1417,125,"[1,6]",2
202,1418,125,"[2,4]",2
203,1419,125,"[3,5]",2
204,1420,125,"[0,7,8]",2
205,1421,125,"[1,6]",2
206,1422,125,"[2,4]",2
207,1423,125,"[3,5]",2
208,1424,125,"[0,7,8]",2
209,1425,125,"[1,6]",2
210,1426,125,"[2,4]",2
211,1427,125,"[3,5]",2
