"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",1974,124,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",3977,124,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",4589,124,1027,2,1
4,"EssenceBloodworm",3846,124,"",1,""
5,"Essence Elemental Swarm 1st stage",371,124,105,4,1
6,"Essence Elemental Swarm 2nd stage",372,124,105,2,1
7,"Essence Elemental Swarm 3rd stage",373,124,105,2,1
8,"Essence Rock Golem",4090,124,"",1,1
9,"Essence Explosive Insect",1327,124,"",1,1
10,"Volatile Flameblood",4616,124,"",1,1
11,"Obsidian Golem",3786,124,"",1,1
12,"TormentedBetrayerBeacon",6798,124,"",1,""
13,"BlightDaemonFire",7112,124,105,1,""
14,"BlightDaemonCold",7114,124,107,1,""
15,"BlightDaemonLightning",7116,124,438,1,""
16,"BlightDaemonPhysical",7118,124,513,1,""
17,"BlightDaemonChaos",7120,124,1042,1,""
