"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name"
0,5822,1148,97,79,"","g","Vaults of Atziri"
1,6666,1126,148,149,"","Ç","Maelstrom of Chaos"
2,6685,1182,152,153,"","Å","The Coward's Trial"
3,6728,1199,154,159,"","Ô","Acton's Nightmare"
4,6761,1168,184,191,"","ß","Poorjoy's Asylum"
5,6778,1155,207,209,"","À","Mao Kun"
6,6782,1204,211,213,"","#","Oba's Cursed Trove"
7,6842,1138,214,216,"","$","Olmec's Sanctum"
8,6843,1157,215,217,1,"","Untainted Paradise"
9,6996,1206,301,303,"","¿","Death and Taxes"
10,7147,1098,363,390,"","È","Whakawairua Tuahu"
11,7727,1185,386,413,1,"Ù","Hall of Grandmasters"
12,7728,1152,587,573,"","²","The Vinktar Square"
13,8926,1140,643,802,"","æ","Caer Blaidd, Wolfpack's Den"
14,8995,1100,700,889,"","™","The Perandus Manor"
15,9312,1171,784,1045,"","Õ","The Putrid Cloister"
16,9313,1128,786,1047,"","Ð","Hallowed Ground"
17,9536,1236,928,1408,1,"","The Beachhead"
18,9537,1237,928,1408,1,"","The Beachhead"
19,9538,1238,928,1408,1,"","The Beachhead"
20,9540,1160,930,1429,"","^","The Twilight Temple"
21,9541,1110,934,1430,"","‹","Doryani's Machinarium"
22,9542,1136,938,1431,"","›","Pillars of Arun"
23,10072,443,1158,1877,1,"","Altered Distant Memory"
24,10073,444,1159,1878,1,"","Augmented Distant Memory"
25,10074,445,1160,1879,1,"","Twisted Distant Memory"
26,10075,446,1161,1880,1,"","Rewritten Distant Memory"
27,10076,442,1162,1881,1,"","Cortex"
28,9539,1239,1249,1408,1,"","Infused Beachhead"
29,10077,442,1163,1881,1,"","Cortex"
30,9543,1136,939,1431,"","","Pillars of Arun"
31,6762,1168,185,191,"","","Poorjoy's Asylum"
