"rownum","Id","i32","rid","i32","[rid]","bool","bool","[string]","[rid]","i32"
0,"IsNormalMonster",1,"",5,[],"","",[],[],0
1,"IsMagicMonster",2,"",5,[],"","",[],[],0
2,"IsRareMonster",3,"",5,[],"","",[],[],0
3,"IsUniqueMonster",4,"",5,[],"","",[],[],0
4,"IsMapBoss",5,"",5,[],1,"",[],[],0
5,"IsNotUnique",5,"",4,[],"","",[],[],0
6,"IsBeyondMonster",5,5765,5,[],"","",[],[],0
7,"IsInvasionBoss",5,3549,5,[],"","",[],[],0
8,"IsTormentedSpirit",5,5628,5,[],"","",[],[],0
9,"IsRogueExile",5,8925,5,[],"","",[],[],0
10,"IsIzaro",5,4162,5,[],"","",[],[],0
11,"IsNotIzaro",5,"",5,[4162],"","",[],[],0
12,"IsSynthesisedMonster",5,"",5,[],"","","[""r""]",[],0
13,"IsNotConvertingPhysicalDamage",5,"",5,"[1109,1110,1111,1112]","","",[],[],0
14,"IsHarbinger",5,9395,5,[],"","",[],[],0
15,"IsFirst3Possessed",5,2634,5,[],"","",[],[],3
16,"IsCorruptedVaal",5,"",5,[],"","","[""tConvertingPhysicalDamage""]",[],0
17,"IsNotMapBoss",5,"",5,[],"",1,[],[],0
18,"ShouldNotDropSplinters",5,11733,5,[],"","",[],[],0
19,"IsWarband",5,11734,5,[],"","",[],[],0
20,"IsElderPortal",5,11735,5,[],"","",[],[],0
21,"IsMapBossUnderling",5,11736,5,[],"","",[],[],0
22,"IsAfflictionWildBoss",5,11737,5,[],"","",[],[],0
23,"IsTempleArchitect",5,11770,5,[],"","",[],[],0
24,"IsNotTempleArchitect",5,"",5,[11770],"","",[],[],0
25,"IsIncursionBoss",5,11771,5,[],"","",[],[],0
26,"IsWarbandLeader",5,11819,5,[],"","",[],[],0
27,"IsNotWarbandLeader",5,"",5,[11819],"","",[],[],0
28,"IsBetrayalTarget",5,11839,5,[],"","",[],[],0
29,"IsNotBetrayalTarget",5,"",5,[11839],"","",[],[],0
30,"IsIncursionArchitect",5,11840,5,[],"","",[],[],0
31,"IsNotIncursionArchitect",5,"",5,[11840],"","",[],[],0
32,"IsBestiaryRedBeast",5,11841,5,[],"","",[],[],0
33,"IsNotBestiaryRedBeast",5,"",5,[11841],"","",[],[],0
34,"HeistGuard",5,"",5,[],"","","[""otMapBoss""]",[],0
35,"IsNotRitualMonster",5,"",5,[13476],"","",[],[],0
36,"IsShaperMonster",5,"",5,[],"","","[""pBoss""]",[],0
37,"IsElderMonster",5,"",5,[],"","","[""䈀漀猀猀""]",[],0
38,"IsCrusaderMonster",5,"",5,[],"","","[""oss""]",[],0
39,"IsEyrieMonster",5,"",5,[],"","","[""Boss""]",[],0
40,"IsBasiliskMonster",5,"",5,[],"","","[""漀猀猀""]",[],0
41,"IsAdjudicatorMonster",5,"",5,[],"","","[""猀猀""]",[],0
42,"IsBreachMonster",5,5172,5,[],"","",[],[],0
43,"IsRitualRespawnedMapBoss",5,8008,5,[],"","",[],[],0
44,"IsNotRitualRespawnedMapBoss",5,"",5,[8008],"","",[],[],0
45,"IsAbyssMonster",5,"",5,[],"","","[""䈀漀猀猀""]",[],0
46,"IsEssenceMonster",5,13817,5,[],"","",[],[],0
47,"IsInfluenceMonster",5,"",5,[],"","","[""s""]",[],0
48,"IsBlightBoss",5,"",5,[],"","","[""""]",[],0
