"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","i32","SoundEffectsKey","NormalPurchase_BaseItemTypesKeys","NormalPurchase_Costs","MagicPurchase_BaseItemTypesKeys","MagicPurchase_Costs","TagsKeys","ModDomainsKey","IsDropDisabled","ItemVisualIdentityKey","i32","[rid]","[i32]","[i32]","[i32]","[i32]","row","rid","bool","[rid]","rid","[rid]","i32","i32","bool","rid","rid","rid"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",30,1,1,"Blacksmith's Whetstone","Metadata/Items/Currency/StackableCurrency",1,"",[],1,35,[4],[3],[],[],[348],27,"",0,1154719587,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
1,"Metadata/Items/Currency/CurrencyIdentification",30,1,1,"Scroll of Wisdom","Metadata/Items/Currency/StackableCurrency",1,"",[],1,27,[],[],[],[],[],27,"",1,1351093167,[7243],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
2,"Metadata/Items/Currency/CurrencyRerollRare",30,1,1,"Chaos Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[6],[3],[],[],[],27,"",2,1934876153,[7484],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
3,"Metadata/Items/Currency/CurrencyRerollRareVeiled",30,1,1,"Veiled Chaos Orb","Metadata/Items/Currency/StackableCurrency",61,"",[],1,34,[],[],[],[],[],27,"",3,-1550851543,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
4,"Metadata/Items/Currency/CurrencyArmourQuality",30,1,1,"Armourer's Scrap","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[0],[1],[],[],[348],27,"",4,-66826851,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
5,"Metadata/Items/Currency/CurrencyDuplicate",30,1,1,"Mirror of Kalandra","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[22],[223],[],[],[],27,"",6,2042772245,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
6,"Metadata/Items/Currency/CurrencyUpgradeToRare",30,1,1,"Orb of Alchemy","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[8],[1],[],[],[],27,"",7,-1861203649,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
7,"Metadata/Items/Currency/CurrencyUpgradeRandomly",30,1,1,"Orb of Chance","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[20],[1],[],[],[],27,"",8,-982307707,[7483],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
8,"Metadata/Items/Currency/CurrencyPassiveRefund",30,1,1,"Orb of Regret","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[12],[2],[],[],[],27,"",9,-1689566555,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
9,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",30,1,1,"Orb of Unmaking","Metadata/Items/Currency/StackableCurrency",78,"",[],1,34,[],[],[],[],[],27,"",10,-402031475,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,1,"","",""
10,"Metadata/Items/Currency/CurrencyUpgradeToMagic",30,1,1,"Orb of Transmutation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[16],[7],[],[],[],27,"",11,1315720499,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
11,"Metadata/Items/Currency/CurrencyRerollMagic",30,1,1,"Orb of Alteration","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[15],[4],[],[],[],27,"",12,-684555689,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
