"rownum","rid","[rid]"
0,326,"[1436,1437,1438,1439]"
1,327,"[1440,1441,1442]"
2,328,"[1443,1444,1445,1446]"
3,329,"[1447,1448,1449]"
4,330,"[1450,1451,1452]"
5,331,"[1453,1454]"
6,332,"[1455,1456]"
7,333,"[1457,1458]"
8,334,[1459]
9,335,[1460]
10,336,"[1461,1462]"
11,337,"[1463,1464]"
12,338,"[1465,1466,1467]"
13,339,"[1468,1469,1470]"
14,340,"[1471,1472]"
15,341,"[1473,1474]"
16,342,"[1475,1476]"
17,343,[1477]
18,344,"[1478,1479,1480,1481]"
19,345,"[1482,1483]"
20,346,"[1484,1485,1486]"
21,349,"[127,128,129,130,131,132,138,139,140,141,142,163,164,176,177,178,179,316,383,384,306,307,308,309,320,322,324,325,326,341,342,343]"
