"rownum","Id","AtlasExileInfluencePacksKey"
0,"Crusader1",[0]
1,"Crusader2",[12]
2,"Crusader3",[16]
3,"Crusader4",[20]
4,"Crusader5",[1]
5,"Crusader6",[2]
6,"Eyrie1",[3]
7,"Eyrie2",[13]
8,"Eyrie3",[17]
9,"Eyrie4",[21]
10,"Eyrie5",[4]
11,"Eyrie6",[5]
12,"Basilisk1",[6]
13,"Basilisk2",[14]
14,"Basilisk3",[18]
15,"Basilisk4",[22]
16,"Basilisk5",[7]
17,"Basilisk6",[8]
18,"Adjudicator1",[9]
19,"Adjudicator2",[15]
20,"Adjudicator3",[19]
21,"Adjudicator4",[23]
22,"Adjudicator5",[10]
23,"Adjudicator6",[11]
