"rownum","rid","f32","rid","i32","i32"
0,1,182.732,2,0,0
1,2,182.732,2,0,0
2,3,182.732,2,0,0
3,4,182.732,2,0,0
4,5,182.732,2,0,0
5,6,182.732,2,0,0
6,7,182.732,2,0,0
7,8,182.732,2,0,0
8,9,182.732,2,0,0
9,10,182.732,2,0,0
10,11,182.732,2,0,0
11,12,182.732,2,0,0
12,13,182.732,2,0,0
13,14,182.732,2,0,0
14,15,182.732,2,0,0
15,16,182.732,2,0,0
16,17,182.732,2,0,0
17,18,182.732,2,0,0
18,19,182.732,2,0,0
19,20,182.732,2,0,0
20,21,182.732,2,0,0
21,22,182.732,2,0,0
22,23,182.732,2,0,0
23,24,182.732,2,0,0
24,25,182.732,2,0,0
25,26,182.732,2,0,0
26,27,182.732,2,0,0
27,28,182.732,2,0,0
28,29,160.29,2,0,0
29,31,160.29,2,0,0
30,32,171.613,2,0,0
31,34,171.613,2,0,0
32,35,171.613,2,0,0
33,36,190.994,2,0,0
34,38,190.994,2,0,0
35,39,190.994,2,0,0
36,40,182.732,2,0,0
37,41,182.732,2,0,0
38,42,182.732,2,0,0
39,43,182.732,2,0,0
40,44,182.732,2,0,0
41,46,182.732,2,0,0
42,47,182.732,2,0,0
43,48,182.732,2,0,0
44,49,182.732,2,0,0
45,50,182.732,2,0,0
46,51,182.732,2,0,0
47,52,182.732,2,0,0
48,53,182.732,2,0,0
49,54,182.732,2,0,0
50,55,182.732,2,0,0
51,56,182.732,2,0,0
52,57,182.732,2,0,0
53,58,182.732,2,0,0
54,59,182.732,2,0,0
55,60,182.732,2,0,0
56,61,182.732,2,0,0
57,62,182.732,2,0,0
58,63,182.732,2,0,0
59,64,182.732,2,0,0
60,65,182.732,2,0,0
61,66,182.732,2,0,0
62,67,182.732,2,0,0
63,68,182.732,2,0,0
64,69,182.732,2,0,0
65,70,182.732,2,0,0
66,71,182.732,2,0,0
67,72,182.732,2,0,0
68,73,119.456,2,0,0
69,74,182.596,3,0,0
70,75,182.732,2,0,0
71,76,182.732,2,0,0
72,77,182.732,2,0,0
73,78,182.732,2,0,0
74,79,182.732,2,0,0
75,80,182.732,2,0,0
76,81,182.732,2,0,0
77,82,182.732,2,0,0
78,83,182.732,2,0,0
79,84,182.732,2,0,0
80,85,182.732,2,0,0
81,86,182.732,2,0,0
82,87,182.732,2,0,0
83,88,182.732,2,0,0
84,89,182.732,2,0,0
85,90,182.732,2,0,0
86,91,182.732,2,0,0
87,92,182.732,2,0,0
88,93,182.732,2,0,0
89,94,182.732,2,0,0
90,95,182.732,2,0,0
91,96,182.732,2,0,0
92,97,182.732,2,0,0
93,98,182.732,2,0,0
94,99,182.732,2,0,0
95,100,182.732,2,0,0
96,101,182.731,2,0,0
97,102,224.085,2,0,0
98,103,224.085,2,0,0
99,104,224.085,2,0,0
100,105,224.085,2,0,0
101,106,224.085,3,0,0
