"rownum","rid","rid","[rid]"
0,0,0,[5919]
1,1,0,[5920]
2,2,0,[5918]
3,4,0,[5945]
4,3,0,[5921]
5,5,0,[5922]
6,6,0,[5923]
7,7,0,[5942]
8,8,0,[5941]
9,9,0,[5943]
10,10,0,[5924]
11,11,0,[5925]
12,12,0,[5926]
13,13,0,[5927]
14,14,0,[5928]
15,15,0,[5929]
16,16,0,[5930]
17,17,0,[5931]
18,18,0,[5932]
19,19,0,[5933]
20,20,0,[5934]
21,21,0,[5935]
22,22,0,[5936]
23,23,0,[5937]
24,24,0,[5938]
25,25,0,[5939]
26,26,0,[5940]
27,27,0,[5944]
28,4,1,[7002]
29,19,1,[7008]
30,1,1,[7009]
31,24,1,[7010]
32,3,1,[7011]
33,27,1,[7012]
34,2,1,[7013]
35,0,1,[7014]
36,6,1,[7015]
37,4,2,[11647]
38,24,2,[11656]
39,27,2,[11660]
40,0,2,[11663]
41,1,2,[11655]
42,3,2,[11657]
43,2,2,[11661]
44,6,2,[11659]
