"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool","bool","i32","i32","i32","i32","i32","bool","bool","[i32]","[i32]","i32","bool"
0,6069,1940,1942,1,1,20,60,1,20,120,"",1,[],[],0,1
1,5810,2184,2184,1,1,20,60,1,20,120,"",1,[],[],0,1
2,6068,2184,2184,1,1,20,60,1,20,120,1,1,[],[],0,1
3,6370,2618,2618,1,1,20,60,1,20,120,"","",[],[],0,1
4,6371,2618,2618,1,1,20,60,1,20,120,"",1,[],[],0,1
5,6372,2618,2618,1,1,20,60,1,20,120,"",1,[],[],0,1
6,4642,1072,1072,1,1,20,60,1,20,120,"","",[],[],0,1
7,7128,3453,3453,1,1,20,60,0,20,120,"","",[],[],0,1
8,7330,3723,3723,1,1,20,60,1,20,120,"",1,[],[],0,1
9,7331,3723,3723,1,1,20,60,1,20,120,"",1,[],[],0,1
10,7334,3723,3723,1,1,105,105,1,40,120,1,1,[],[],0,1
11,7335,3723,3723,1,1,105,105,1,40,120,1,1,[],[],0,1
12,7670,4385,4385,1,"",15,30,1,15,120,"",1,[],[],30,""
13,7671,4385,4385,1,"",15,30,1,15,120,"",1,[],[],30,""
14,7672,4385,4385,1,"",15,30,1,15,120,"",1,[],[],30,""
15,7673,4385,4385,1,"",15,30,1,15,120,"",1,[],[],30,""
16,7674,4385,4385,1,"",15,30,1,15,120,"",1,[],[],30,""
17,7675,4385,4385,1,"",15,30,1,15,120,"",1,[],[],30,""
18,7676,4385,4385,1,"",15,30,1,15,120,"",1,[],[],30,""
19,7677,4385,4385,1,"",15,30,1,15,120,"",1,[],[],30,""
20,7678,4385,4385,1,"",15,30,1,15,120,"",1,[],[],30,""
21,7680,4385,4385,1,"",15,30,1,15,120,"",1,[],[],30,""
22,7682,4385,4385,1,"",15,30,1,15,120,"",1,[],[],30,""
23,7683,4385,4385,1,"",15,30,1,15,120,"",1,[],[],30,""
