"rownum","PassiveSkillsKey","rid","i32","PassiveJewelSlotsKey","rid","[i32]"
0,1309,"",0,"","",[]
1,1310,"",0,"","",[]
2,1311,"",0,"","",[]
3,1312,"",0,"","",[]
4,1313,"",0,"","",[]
5,1314,"",0,"","",[]
6,1315,"",0,"","",[]
7,1316,"",0,"","",[]
8,1317,"",0,"","",[]
9,1318,"",0,"","",[]
10,1319,"",0,"","",[]
11,1320,2,0,"",2905,"[3,5,5]"
12,1321,2,1,"",2906,"[0,11,11]"
13,1322,2,2,"",2907,"[2,3,3]"
14,1323,"",0,"","",[]
15,1324,2,3,"",2908,"[1,1,1]"
16,1325,"",0,"","",[]
17,1326,2,4,"",2909,"[5,9,9]"
18,1327,"",0,"","",[]
19,1328,"",0,"","",[]
20,1329,2,5,"",2910,"[4,7,7]"
21,2869,1,0,11,2911,"[2,3]"
22,2870,1,1,11,2912,"[3,5]"
23,2871,1,2,11,2913,"[3,7]"
24,2872,0,0,21,2914,[1]
25,2873,0,0,22,2915,[2]
26,2874,0,0,23,2916,[3]
27,2875,1,0,12,2917,"[5,9]"
28,2876,1,1,12,2918,"[5,11]"
29,2877,1,2,12,2919,"[0,1]"
30,2878,0,0,27,2920,[4]
31,2879,0,0,28,2921,[5]
32,2880,0,0,29,2922,[0]
33,2881,1,0,13,2923,"[1,1]"
34,2882,1,1,13,2924,"[2,3]"
35,2883,1,2,13,2925,"[3,5]"
36,2884,0,0,33,2926,[0]
37,2885,0,0,34,2927,[1]
38,2886,0,0,35,2928,[2]
39,2887,1,0,15,2929,"[5,11]"
40,2888,1,1,15,2930,"[1,1]"
41,2889,1,2,15,2931,"[2,3]"
42,2890,0,0,39,2932,[5]
43,2891,0,0,40,2933,[0]
44,2892,0,0,41,2934,[1]
45,2893,1,0,17,2935,"[4,7]"
46,2894,1,1,17,2936,"[5,9]"
47,2895,1,2,17,2937,"[5,11]"
48,2896,0,0,45,2938,[3]
49,2897,0,0,46,2939,[4]
50,2898,0,0,47,2940,[5]
51,2899,1,0,20,2941,"[3,5]"
52,2900,1,1,20,2942,"[4,7]"
53,2901,1,2,20,2943,"[5,9]"
54,2902,0,0,51,2944,[2]
55,2903,0,0,52,2945,[3]
56,2904,0,0,53,2946,[4]
