"rownum","Id","[rid]","rid","i32","i32","i32","i32","[rid]","[i32]"
0,"InnerTreasure",[6016],"",0,0,54,0,[],[]
1,"DropVaalItem",[],"",0,0,54,0,[2532],[50]
2,"AlwaysIgnite",[],"",0,0,54,0,"[5014,611]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",0,0,54,0,[1231],[100]
4,"Maimed",[],493,2,0,252,0,[],[]
5,"AlwaysShock",[],"",0,0,54,0,"[5013,659]","[1,100]"
6,"TormentedExperimenterPossess","[7660,7751,7834,7836,7876]","",0,0,54,0,[],[]
7,"TormentedBlasphemerPossess","[7663,7749,7834,7836,7876]","",0,0,54,0,[],[]
8,"TormentedNecromancerPossess","[7666,7751,7834,7836,7876]","",0,0,54,0,[],[]
9,"TormentedArsonistPossess","[7669,7751,7834,7836,7876]","",0,0,54,0,[],[]
10,"TormentedThiefPossess","[7698,7752,7834,7836,7876]","",0,0,54,0,[],[]
11,"TormentedMutilatorPossess","[7711,7751,7834,7836,7876]","",0,0,54,0,[],[]
12,"TormentedCharlatanPossess","[7679,7751,7834,7836,7876]","",0,0,54,0,[],[]
13,"TormentedCannibalPossess","[7704,7751,7834,7836,7876]","",0,0,54,0,[],[]
14,"TormentedPoisonerPossess","[7672,7751,7834,7836,7876]","",0,0,54,0,[],[]
15,"TormentedCorrupterPossess","[7675,7752,7834,7836,7876]","",0,0,54,0,[],[]
16,"TormentedThugPossess","[7682,7749,7834,7836,7876]","",0,0,54,0,[],[]
17,"TormentedRoguePossess","[7685,7749,7686,7834,7836,7876]","",0,0,54,0,[],[]
18,"TormentedFishermanPossess","[7688,7752,7834,7836,7876]","",0,0,54,0,[],[]
19,"TormentedLibrarianPossess","[7691,7752,7834,7836,7876]","",0,0,54,0,[],[]
20,"TormentedCutthroatPossess","[7695,7749,7834,7836,7876]","",0,0,54,0,[],[]
21,"TormentedSpyPossess","[7701,7749,7834,7836,7876]","",0,0,54,0,[],[]
22,"TormentedMartyrPossess","[7708,7751,7834,7836,7876]","",0,0,54,0,[],[]
23,"TormentedEmbezzlerPossess","[7714,7752,7834,7836,7876]","",0,0,54,0,[],[]
24,"TormentedCounterfeiterPossess","[7720,7751,7834,7836,7876]","",0,0,54,0,[],[]
25,"TormentedWarlordPossess","[7723,7749,7834,7836,7876]","",0,0,54,0,[],[]
26,"TormentedFreezerPossess","[7727,7751,7834,7836,7876]","",0,0,54,0,[],[]
27,"TormentedSmugglerPossess","[7731,7729,7752,7834,7836,7876]","",0,0,54,0,[],[]
