"rownum","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","i32","i32"
0,0,0,3,11,3,1,0,90,0,0,1,0,0
1,0,1,1,11,2,2,0,90,11,0,1,0,0
2,0,2,1,11,0,3,1,60,0,22,1,11,0
3,0,3,2,11,0,3,1,60,33,0,1,0,0
4,1,0,3,10,0,1,1,50,-20,0,1,24,3
5,1,1,1,12,0,2,1,50,-20,0,1,36,3
6,1,2,2,12,0,2,1,50,-20,0,1,60,3
7,2,0,1,8,8,4,0,0,-20,0,"",0,0
8,2,1,2,12,0,2,1,70,-20,0,1,36,0
9,2,2,2,12,0,2,1,70,-20,0,1,60,0
10,3,0,1,5,3,6,0,0,0,-8,"",0,0
11,3,1,3,3,8,3,0,0,-20,-10,"",0,0
12,3,2,2,10,0,3,1,70,0,0,1,40,0
13,4,0,1,8,8,4,0,0,-20,0,"",0,0
14,4,1,2,12,0,2,1,70,-20,0,1,36,0
15,4,2,2,12,0,2,1,70,-20,0,1,60,0
16,5,0,1,5,3,6,0,0,0,-8,"",0,0
17,5,1,3,3,8,3,0,0,-20,-10,"",0,0
18,5,2,2,10,0,3,1,70,0,0,1,20,0
19,6,0,3,10,0,1,1,50,-20,0,1,24,3
20,6,1,1,12,0,2,1,50,-20,0,1,36,3
21,6,2,2,12,0,2,1,50,-20,0,1,60,3
22,7,0,3,11,3,1,0,90,0,0,1,0,0
23,7,1,1,11,2,2,0,90,11,0,1,0,0
24,7,2,1,11,0,3,1,60,0,22,1,11,0
25,7,3,2,11,0,3,1,60,33,0,1,0,0
26,8,0,3,11,3,1,0,90,0,0,1,0,0
27,8,1,1,11,2,2,0,90,11,0,1,0,0
28,8,2,1,11,0,3,1,60,0,22,1,11,0
29,8,3,2,11,0,3,1,60,33,0,1,0,0
