"rownum","Id","InventoryIdKey","InventoryTypeKey","i32","bool","bool","i32","bool"
0,"MainInventory1",0,0,12,"","",5,""
1,"BodyArmour1",1,1,2,1,1,3,""
2,"Weapon1",2,2,2,1,1,4,""
3,"Offhand1",3,3,2,1,1,4,""
4,"Helm1",4,4,2,1,1,2,""
5,"Amulet1",5,5,1,1,1,1,""
6,"Ring1",6,6,1,1,1,1,""
7,"Ring2",7,6,1,1,1,1,""
8,"Gloves1",8,7,2,1,1,2,""
9,"Boots1",9,8,2,1,1,2,""
10,"Belt1",10,9,2,1,1,1,""
11,"Flask1",11,10,5,"",1,2,""
12,"Cursor1",12,11,3,1,"",4,""
13,"Map1",13,12,3,"","",2,""
14,"Weapon2",14,2,2,1,"",4,""
15,"Offhand2",15,3,2,1,"",4,""
16,"StrMasterCrafting",16,15,2,1,"",4,""
17,"StrDexMasterCrafting",17,15,2,1,"",4,""
18,"DexMasterCrafting",18,15,2,1,"",4,""
19,"DexIntMasterCrafting",19,15,2,1,"",4,""
20,"IntMasterCrafting",20,15,2,1,"",4,""
21,"StrIntMasterCrafting",21,15,2,1,"",4,""
22,"PVPMasterCrafting",22,15,2,1,"",4,""
23,"PassiveJewels1",23,13,57,"","",1,""
24,"AnimatedArmour1",24,14,10,"","",4,""
25,"GuildTag1",25,12,6,"","",1,""
26,"StashInventoryId",26,17,1,"","",1,""
27,"DivinationCardTrade",27,15,2,1,"",4,""
28,"Darkshrine",28,15,2,1,"",4,""
29,"TalismanTrade",29,15,5,"","",1,""
30,"Leaguestone1",30,16,3,"","",1,""
31,"BestiaryCrafting",31,15,2,1,"",4,""
32,"IncursionSacrifice",32,15,2,"","",5,""
33,"BetrayalUnveiling",33,15,2,1,"",4,""
34,"ItemSynthesisInput",34,15,6,"","",4,""
35,"ItemSynthesisOutput",35,15,2,1,"",4,""
36,"BlightCraftingInput",36,15,4,"","",1,""
37,"BlightCraftingItem",37,15,2,1,"",4,""
38,"MetamorphosisGenomeInput",38,15,5,"","",1,""
39,"AtlasRegionUpgrades1",39,28,16,"","",2,1
40,"AtlasRegionUpgradesStorage",40,28,16,"","",2,1
41,"UNUSED1",41,29,1,"","",1,1
42,"UNUSED2",42,32,1,"","",1,1
43,"HarvestCraftingItem",43,15,2,1,"",4,""
44,"HeistContractMission",44,15,1,1,"",1,""
45,"HeistNpcEquipment1",45,34,7,"","",2,1
46,"HeistNpcEquipment2",46,34,7,"","",2,1
47,"HeistNpcEquipment3",47,34,7,"","",2,1
48,"HeistNpcEquipment4",48,34,7,"","",2,1
49,"HeistNpcEquipment5",49,34,7,"","",2,1
50,"HeistNpcEquipment6",50,34,7,"","",2,1
51,"HeistNpcEquipment7",51,34,7,"","",2,1
52,"HeistNpcEquipment8",52,34,7,"","",2,1
53,"HeistNpcEquipment9",53,34,7,"","",2,1
54,"Trinket1",54,35,1,1,1,1,""
55,"HeistBlueprintMission",55,15,1,1,"",1,""
56,"HeistStorage1",56,36,107,"","",12,1
57,"RitualSavedRewards1",57,37,100,"","",4,""
58,"MapCrusader",58,12,3,"","",2,1
59,"MapEyrie",59,12,3,"","",2,1
60,"MapBasilisk",60,12,3,"","",2,1
61,"MapAdjudicator",61,12,3,"","",2,1
62,"RESERVED1",62,41,11,"","",6,""
63,"RESERVED2",63,42,5,"","",5,""
64,"RESERVED3",64,43,3,"","",1,""
65,"RESERVED4",65,12,64,"","",5,""
66,"UltimatumCraftingItem",66,44,2,1,"",4,""
