"rownum","Id","Image"
0,"EventFlag","Art/2DArt/UIImages/Common/LeagueEvent"
1,"StandardFlag","Art/2DArt/UIImages/Common/LeagueStandard"
2,"HardcoreFlag","Art/2DArt/UIImages/Common/LeagueHardcore"
3,"OnslaughtFlag","Art/2DArt/UIImages/Common/LeagueOnslaught"
4,"AnarchyFlag","Art/2DArt/UIImages/Common/LeagueAnarchy"
5,"VoidFlag","Art/2DArt/UIImages/Common/LeagueVoid"
6,"EventLargeStandard","Art/2DArt/UIImages/Common/LeagueEventLargeStandard"
7,"EventLargeHardcore","Art/2DArt/UIImages/Common/LeagueEventLargeHardcore"
8,"DominationFlag","Art/2DArt/UIImages/Common/LeagueDomination"
9,"NemesisFlag","Art/2DArt/UIImages/Common/LeagueNemesis"
10,"AmbushFlag","Art/2DArt/UIImages/Common/LeagueAmbush"
11,"InvasionFlag","Art/2DArt/UIImages/Common/LeagueInvasion"
12,"RampageFlag","Art/2DArt/UIImages/Common/LeagueRampage"
13,"BeyondFlag","Art/2DArt/UIImages/Common/LeagueBeyond"
14,"TormentFlag","Art/2DArt/UIImages/Common/LeagueTorment"
15,"BloodlinesFlag","Art/2DArt/UIImages/Common/LeagueBloodlines"
16,"WarbandsFlag","Art/2DArt/UIImages/Common/LeagueWarbands"
17,"TempestFlag","Art/2DArt/UIImages/Common/LeagueTempest"
18,"TalismanStandard","Art/2DArt/UIImages/Common/LeagueTalisman"
19,"TalismanHardcore","Art/2DArt/UIImages/Common/LeagueTalismanHC"
20,"PerandusStandard","Art/2DArt/UIImages/Common/LeaguePerandus"
21,"PerandusHardcore","Art/2DArt/UIImages/Common/LeaguePerandusHC"
22,"ProphecyStandard","Art/2DArt/UIImages/Common/LeagueProphecy"
23,"ProphecyHardcore","Art/2DArt/UIImages/Common/LeagueProphecyHC"
24,"EventCutthroatShort","Art/2DArt/UIImages/Common/LeagueEventCutthroatShort"
25,"EventCutthroatLong","Art/2DArt/UIImages/Common/LeagueEventCutthroatLong"
26,"EssenceStandard","Art/2DArt/UIImages/Common/LeagueEssence"
27,"EssenceHardcore","Art/2DArt/UIImages/Common/LeagueEssenceHC"
28,"BreachStandard","Art/2DArt/UIImages/Common/LeagueBreach"
29,"BreachHardcore","Art/2DArt/UIImages/Common/LeagueBreachHC"
30,"ClassicStandard","Art/2DArt/UIImages/Common/LeagueClassic"
31,"ClassicHardcore","Art/2DArt/UIImages/Common/LeagueClassicHC"
32,"ClassicStandardSSF","Art/2DArt/UIImages/Common/LeagueClassicSSF"
33,"ClassicHardcoreSSF","Art/2DArt/UIImages/Common/LeagueClassicHCSSF"
34,"StandardSSF","Art/2DArt/UIImages/Common/LeagueStandardSSF"
35,"HardcoreSSF","Art/2DArt/UIImages/Common/LeagueHardcoreSSF"
36,"HarbingerStandard","Art/2DArt/UIImages/Common/LeagueHarbinger"
37,"HarbingerHardcore","Art/2DArt/UIImages/Common/LeagueHarbingerHC"
38,"HarbingerStandardSSF","Art/2DArt/UIImages/Common/LeagueHarbingerSSF"
39,"HarbingerHardcoreSSF","Art/2DArt/UIImages/Common/LeagueHarbingerHCSSF"
40,"AbyssStandard","Art/2DArt/UIImages/Common/LeagueAbyss"
41,"AbyssHardcore","Art/2DArt/UIImages/Common/LeagueAbyssHC"
42,"AbyssStandardSSF","Art/2DArt/UIImages/Common/LeagueAbyssSSF"
43,"AbyssHardcoreSSF","Art/2DArt/UIImages/Common/LeagueAbyssHCSSF"
44,"BestiaryStandard","Art/2DArt/UIImages/Common/LeagueBeastiary"
45,"BestiaryHardcore","Art/2DArt/UIImages/Common/LeagueBeastiaryHC"
46,"BestiaryStandardSSF","Art/2DArt/UIImages/Common/LeagueBeastiarySSF"
47,"BestiaryHardcoreSSF","Art/2DArt/UIImages/Common/LeagueBeastiaryHCSSF"
48,"IncursionStandard","Art/2DArt/UIImages/Common/LeagueIncursion"
49,"IncursionHardcore","Art/2DArt/UIImages/Common/LeagueIncursionHC"
50,"IncursionStandardSSF","Art/2DArt/UIImages/Common/LeagueIncursionSSF"
51,"IncursionHardcoreSSF","Art/2DArt/UIImages/Common/LeagueIncursionHCSSF"
52,"DelveStandard","Art/2DArt/UIImages/Common/LeagueDelve"
53,"DelveHardcore","Art/2DArt/UIImages/Common/LeagueDelveHC"
54,"DelveStandardSSF","Art/2DArt/UIImages/Common/LeagueDelveSSF"
55,"DelveHardcoreSSF","Art/2DArt/UIImages/Common/LeagueDelveHCSSF"
56,"BetrayalStandard","Art/2DArt/UIImages/Common/LeagueBetrayal"
57,"BetrayalHardcore","Art/2DArt/UIImages/Common/LeagueBetrayalHC"
58,"BetrayalStandardSSF","Art/2DArt/UIImages/Common/LeagueBetrayalSSF"
59,"BetrayalHardcoreSSF","Art/2DArt/UIImages/Common/LeagueBetrayalHCSSF"
60,"SynthesisStandard","Art/2DArt/UIImages/Common/LeagueSynthesis"
61,"SynthesisHardcore","Art/2DArt/UIImages/Common/LeagueSynthesisHC"
62,"SynthesisStandardSSF","Art/2DArt/UIImages/Common/LeagueSynthesisSSF"
63,"SynthesisHardcoreSSF","Art/2DArt/UIImages/Common/LeagueSynthesisHCSSF"
64,"LegionStandard","Art/2DArt/UIImages/Common/LeagueLegion"
65,"LegionHardcore","Art/2DArt/UIImages/Common/LeagueLegionHC"
66,"LegionStandardSSF","Art/2DArt/UIImages/Common/LeagueLegionSSF"
67,"LegionHardcoreSSF","Art/2DArt/UIImages/Common/LeagueLegionHCSSF"
68,"BlightStandard","Art/2DArt/UIImages/Common/LeagueBlight"
69,"BlightHardcore","Art/2DArt/UIImages/Common/LeagueBlightHC"
70,"BlightStandardSSF","Art/2DArt/UIImages/Common/LeagueBlightSSF"
71,"BlightHardcoreSSF","Art/2DArt/UIImages/Common/LeagueBlightHCSSF"
72,"MetamorphosisStandard","Art/2DArt/UIImages/Common/LeagueMetamorph"
73,"MetamorphosisHardcore","Art/2DArt/UIImages/Common/LeagueMetamorphHC"
74,"MetamorphosisStandardSSF","Art/2DArt/UIImages/Common/LeagueMetamorphSSF"
75,"MetamorphosisHardcoreSSF","Art/2DArt/UIImages/Common/LeagueMetamorphHCSSF"
76,"DeliriumStandard","Art/2DArt/UIImages/Common/LeagueDelirium"
77,"DeliriumHardcore","Art/2DArt/UIImages/Common/LeagueDeliriumHC"
78,"DeliriumStandardSSF","Art/2DArt/UIImages/Common/LeagueDeliriumSSF"
79,"DeliriumHardcoreSSF","Art/2DArt/UIImages/Common/LeagueDeliriumHCSSF"
80,"HarvestStandard","Art/2DArt/UIImages/Common/LeagueHarvest"
81,"HarvestHardcore","Art/2DArt/UIImages/Common/LeagueHarvestHC"
82,"HarvestStandardSSF","Art/2DArt/UIImages/Common/LeagueHarvestSSF"
83,"HarvestHardcoreSSF","Art/2DArt/UIImages/Common/LeagueHarvestHCSSF"
84,"HeistStandard","Art/2DArt/UIImages/Common/LeagueHeist"
