"rownum","rid","i32","i32"
0,3383,30,105
1,3382,160,105
2,3282,150,131
3,3266,0,0
4,3385,30,105
5,3384,160,105
6,3303,150,131
7,3312,160,105
8,3222,15,3
9,3221,95,62
10,3223,200,0
11,3220,5,0
12,3387,160,131
13,3339,30,105
14,3338,160,105
15,3277,150,131
16,3376,210,234
17,3388,180,234
18,3372,150,131
19,3342,120,131
20,3300,250,131
21,3307,0,0
22,3306,0,0
23,3363,160,105
24,3343,120,131
25,3247,175,131
26,3302,200,131
27,3330,30,105
28,3333,160,105
29,3332,60,211
30,3393,0,0
31,3216,15,62
32,3215,25,62
33,3219,1100,235
34,3217,550,338
35,3212,65,62
36,3211,45,62
37,3301,450,340
38,3218,550,340
39,3263,0,0
40,3272,180,131
41,3234,0,0
42,3233,0,0
43,3232,0,0
44,3231,0,0
45,3230,0,0
46,3311,160,105
47,3294,150,131
48,3318,0,0
49,3271,150,131
50,3313,150,0
51,3386,160,0
52,3269,180,131
53,3270,100,131
54,3281,80,62
55,3349,320,211
56,3304,150,131
57,3255,80,62
58,3378,0,0
59,3379,0,0
60,3377,0,0
61,3365,30,105
62,3292,0,0
63,3337,160,0
64,3278,0,0
65,3366,160,105
66,3367,30,105
67,3308,30,105
68,3354,0,0
69,3268,150,131
70,3275,0,0
71,3274,0,0
72,3228,0,0
73,3227,0,0
74,3226,0,0
75,3225,0,0
76,3224,0,0
77,3317,0,0
78,3392,30,105
79,3331,30,105
80,3334,160,105
81,3319,160,105
82,3315,30,105
83,3353,0,0
84,3368,160,105
85,3369,30,105
86,3316,1,0
87,3326,0,0
88,3295,160,131
89,3267,120,131
90,3329,0,0
91,3310,0,0
92,3344,120,131
93,3296,190,235
94,3357,160,0
95,3345,160,235
96,3336,160,0
97,3243,0,0
98,3283,0,0
99,3285,0,0
100,3284,0,0
101,3287,0,0
102,3286,0,0
103,3240,0,0
104,3297,0,0
105,3279,220,235
106,3209,50,62
107,3208,20,62
108,3210,0,0
