"rownum","rid","i32"
0,602,1
1,474,1
2,479,1
3,478,1
4,480,1
5,483,1
6,484,1
7,486,1
8,487,1
9,489,1
10,497,1
11,498,1
12,501,1
13,502,1
14,503,1
15,511,1
16,512,1
17,513,1
18,514,1
19,516,1
20,517,1
21,694,1
22,695,1
23,696,1
24,697,1
25,719,1
26,792,1
27,827,1
28,828,1
29,829,1
30,830,1
31,831,1
32,832,1
33,868,2
34,866,2
35,865,1
36,864,2
37,854,2
38,863,1
39,862,2
40,860,2
41,859,1
42,855,1
43,856,1
44,858,2
45,857,2
46,873,2
47,874,1
48,620,2
49,585,1
50,861,1
51,582,2
52,601,1
53,604,1
54,603,1
55,621,1
56,622,1
57,777,2
58,519,1
59,518,1
60,520,1
61,521,1
62,522,1
63,523,1
64,524,1
65,619,1
66,709,3
67,508,1
68,892,2
69,893,2
70,904,1
71,948,2
72,954,1
73,949,1
74,973,1
75,955,1
76,1074,2
77,509,1
78,1076,1
79,1105,2
80,1157,1
81,539,1
82,1173,1
83,1174,1
84,495,1
85,493,1
86,1224,2
87,1276,1
88,515,1
89,1260,1
90,1277,1
91,1278,1
92,490,1
93,950,1
94,496,1
