"rownum","Id","WorldAreasKey","CharactersKey","MonsterVarietiesKey","i32"
0,"ProxyKey0",1314,0,2259,1
1,"ProxyKey1",1318,0,2271,1
2,"ProxyKey2",1319,0,2271,1
3,"ProxyKey3",1326,0,2240,1
4,"ProxyKey4",1327,0,2240,1
5,"ProxyKey5",1334,0,2286,1
6,"ProxyKey6",1314,1,2249,1
7,"ProxyKey7",1318,1,2280,1
8,"ProxyKey8",1319,1,2280,1
9,"ProxyKey9",1326,1,2271,1
10,"ProxyKey10",1327,1,2271,1
11,"ProxyKey11",1334,1,2286,1
12,"ProxyKey12",1314,3,2232,1
13,"ProxyKey13",1318,3,2240,1
14,"ProxyKey14",1319,3,2240,1
15,"ProxyKey15",1326,3,2280,1
16,"ProxyKey16",1327,3,2280,1
17,"ProxyKey17",1334,3,2286,1
18,"ProxyKey18",1314,6,2271,1
19,"ProxyKey19",1318,6,2249,1
20,"ProxyKey20",1319,6,2249,1
21,"ProxyKey21",1326,6,2259,1
22,"ProxyKey22",1327,6,2259,1
23,"ProxyKey23",1334,6,2286,1
24,"ProxyKey24",1314,4,2240,1
25,"ProxyKey25",1318,4,2259,1
26,"ProxyKey26",1319,4,2259,1
27,"ProxyKey27",1326,4,2232,1
28,"ProxyKey28",1327,4,2232,1
29,"ProxyKey29",1334,4,2286,1
30,"ProxyKey30",1314,5,2280,1
31,"ProxyKey31",1318,5,2232,1
32,"ProxyKey32",1319,5,2232,1
33,"ProxyKey33",1326,5,2249,1
34,"ProxyKey34",1327,5,2249,1
35,"ProxyKey35",1334,5,2286,1
36,"ProxyKey36",1314,2,2249,1
37,"ProxyKey50",1314,2,2232,1
38,"ProxyKey51",1318,2,2259,1
39,"ProxyKey37",1318,2,2280,1
40,"ProxyKey42",1319,2,2259,1
41,"ProxyKey43",1319,2,2280,1
42,"ProxyKey38",1326,2,2271,1
43,"ProxyKey44",1326,2,2240,1
44,"ProxyKey45",1327,2,2271,1
45,"ProxyKey39",1327,2,2240,1
46,"ProxyKey41",1334,2,2286,1
