"rownum","Id","DaggerEPKFile","BowEPKFile","OneHandedMaceEPKFile","OneHandedSwordEPKFile","string","TwoHandedSwordEPKFile","TwoHandedStaffEPKFile","i32","TwoHandedMaceEPKFile","OneHandedAxeEPKFile","TwoHandedAxeEPKFile","ClawEPKFile","PETFile","string"
0,"Weapon_Necro","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/Dagger_Claw_Wand/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/Bow/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/1h Mace_1h Axe/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/1h Sword/necro_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/2h Sword/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/Staff/necro_epk.epk",21739,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/2h Mace/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/1h Mace_1h Axe/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/1h Mace_1h Axe/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/Dagger_Claw_Wand/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/necro_strike.pet","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/shield.epk"
1,"Weapon_Acid","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/Dagger_Claw_Axe_Wand/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/Bow/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/2h Mace/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/1h Sword_ 2h Axe/acid_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/2h Sword/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/Staff/acid_epk.epk",8770,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/2h Mace/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/Dagger_Claw_Axe_Wand/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/1h Sword_ 2h Axe/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/Dagger_Claw_Axe_Wand/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/acid_strike.pet","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/shield.epk"
2,"Weapon_Arcane","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/Dagger_Claw_Wand/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/Bow/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/1 h Mace_ 1h Axe/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/1h Sword/arcane_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/2h Sword/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/Staff/arcane_epk.epk",47028,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/2h Mace/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/1 h Mace_ 1h Axe/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/2h Mace/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/Dagger_Claw_Wand/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/arcane_strike.pet","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/shield.epk"
3,"Weapon_Aqua","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_epk.epk",57619,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_strike.pet","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/shield.epk"
4,"Weapon_Ebony","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/1h_daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/2h_staff.epk",46292,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/shield.epk"
5,"Weapon_Blue","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_epk.epk",17941,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_strike.pet","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/shield.epk"
6,"Weapon_Green","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_epk.epk",8855,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_strike.pet","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/shield.epk"
7,"Weapon_Purple","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_epk.epk",24414,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_strike.pet","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/shield.epk"
8,"Weapon_Red","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_epk.epk",46145,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_strike.pet","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/shield.epk"
9,"Weapon_White","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_epk.epk",52778,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_strike.pet","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_epk.epk"
