"rownum","i32","rid","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","i32","bool","bool","f32","i32","i32","[rid]","i32","bool","i32","bool","bool","i32","bool","bool","rid","bool","bool","bool","rid","rid","string","i32","i32","i32"
0,0,5645,"",100,10000,1,4,60,0,0,0,7,0,1,1,1,0,0,1,2,"","",2,1,0,[],500,1,0,"","",0,"","","",1,"","",0,8,"ଦ",0,0,0
1,1,7507,"",8,530,3,3,57,8,0,0,6,30,4,2,1,0,0,1,2,"","",0,1,0,[2854],0,"",0,"","",0,"","","",1,"","",0,24,"ଦ",0,0,0
2,2,7508,"",8,530,3,3,57,8,0,0,6,-30,4,2,1,0,0,1,2,"","",0,1,0,[2854],0,"",0,"","",0,"","","",1,"","",0,40,"ଦ",0,0,0
3,3,6834,"",4,0,3,4,30,30,0,0,6,0,2,2,1,0,0,1,3,1,1,2,1,0,[],0,1,0,"","",0,"","","",1,"","",0,40,"ଦ",0,0,0
4,4,3569,"",10,0,4,4,40,20,270,0,6,0,2,2,1,0,0,1,3,"","",2,1,0,[],0,1,0,"","",0,"","","",1,"","",0,40,"ଦ",0,0,0
5,5,6684,703,5,500,1,3,40,0,0,0,7,0,1,2,1,0,0,1,2,"","",2,1,0,[],0,1,0,"","",0,"","","",1,"","",0,40,"ଦ",0,0,0
6,6,6168,"",1,100,1,2,1,0,0,0,7,0,1,1,1,0,0,1,2,"","",0,1,0,[],2670,1,0,"","",0,"","","",1,"","",0,40,"ଦ",0,0,0
7,7,6168,"",1,100,1,2,1,0,0,0,7,0,1,1,1,0,0,1,2,"","",0,1,0,[],2670,1,0,"","",0,"","","",1,"","",0,40,"ଦ",0,0,0
8,8,1167,"",15,2000,4,4,55,54,360,0,6,0,2,2,1,0,0,"",2,"","",2,1,0,[],0,1,0,"","",0,"","","","","","",0,40,"ଦ",0,0,0
9,9,1168,"",15,1000,4,4,55,54,360,0,6,0,2,2,1,0,0,"",2,"","",2,1,0,[],0,1,0,"","",0,"","","","","","",0,40,"ଦ",0,0,0
10,10,7932,"",9,2500,4,4,35,30,360,0,6,0,1,1,1,0,8,"",2,"","",0,1,0,[],0,1,0,"","",0,"","","","","","",0,40,"ଦ",0,0,0
11,11,7516,"",10,700,3,4,30,50,0,0,6,0,2,1,1,0,0,"",2,"","",2,1,0,[],0,1,0,"","",0,"","","","","","",0,40,"ଦ",0,0,0
12,12,2867,"",8,0,4,2,60,30,360,0,6,0,1,1,1,0,0,"",3,"","",0,1,0,[],0,1,0,"","",0,"","","","","","",0,40,"ଦ",0,0,0
13,13,3583,"",3,200,4,3,60,35,45,0,3,0,2,1,1,0,0,"",2,"","",0,1,0,[],0,1,0,"","",0,"","","","","","",0,40,"ଦ",0,0,0
14,14,7820,"",24,6000,3,4,40,30,0,0,6,0,1,2,1,0,0,"",2,"","",0,2,0,[],0,1,0,"","",0,"","","","","","",0,40,"ଦ",0,0,0
15,15,7518,"",1,0,1,4,30,0,0,0,6,0,1,1,1,0,0,"",3,"","",0,1,0,[],0,1,0,"","",0,"","","","","","",0,40,"ଦ",0,0,0
16,16,7823,"",10,2500,3,4,60,60,0,0,6,0,1,2,1,0,5,1,2,"","",0,1,0,[],0,1,0,"","",0,"","","",1,"","",0,40,"ଦ",0,0,0
17,17,7824,"",40,10000,3,4,40,60,0,0,6,0,1,1,1,0,0,1,2,"","",0,1,0,[],0,1,0,"","",0,"","","",1,"","",0,40,"ଦ",0,0,0
18,18,7822,"",8,0,4,2,25,24,360,0,6,0,2,2,1,0,0,"",3,"","",2,1,0,[],0,1,0,"","",0,"","","","","","",0,40,"ଦ",0,0,0
19,21,6836,"",50,2500,4,2,80,15,360,0,6,0,3,3,2,0,0,1,2,1,"",0,1,0,[],0,1,0,"","",0,"","","",1,"","",0,40,"ଦ",0,0,0
20,22,6837,"",12,2500,4,2,80,15,360,0,6,0,1,1,1,0,0,1,2,"","",2,1,0,[],0,1,0,"","",0,"","","",1,"","",0,40,"ଦ",0,0,0
21,23,7960,"",16,2000,4,4,25,24,360,0,6,0,2,2,1,0,0,"",2,"","",2,1,0,[],0,1,0,"","",0,"","","","","","",0,40,"ଦ",0,0,0
22,24,7966,"",15,2000,4,2,30,29,330,0,6,0,2,2,1,0,0,"",2,"","",2,1,0,[],0,1,0,"","",0,"","","","","","",0,40,"ଦ",0,0,0
