"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","bool","bool","AwakenedVariant","RegularVariant"
0,4580,0,0,0,100,"[11,25,5,4,14,0]",4790,"","","","","","",1,1,"",""
1,4790,2755,0,0,100,"[11,25,24,5,4,14,0]","",1,"","",0,"","",1,1,"",""
2,4581,59,0,0,100,"[11,25,4,14,1,38]",4799,"","","","","","",1,1,"",""
3,4621,4717,0,0,100,"[11,25,4,14,5]",4790,"","","","","","",1,1,"",""
4,4799,67,0,0,100,"[11,25,24,4,14,1,38]","",1,"","",59,"","",1,1,"",""
5,4582,95,100,0,0,"[9,25,13,14,22,35,40,7]","","","","","","","",1,1,"",""
6,4634,4686,100,0,100,"[11,25,4,14,5,1]","","","","","","","",1,1,"",""
7,4583,7262,0,100,0,"[10,25,22,14,30,13,2,7]","","","","","","","",1,1,"",""
8,4584,4703,0,60,40,"[10,25,13,14,30,33,7]","","","","","","","",1,1,"",""
9,4585,98,100,0,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
10,4586,6639,100,0,0,"[9,25,13,14,7]","","","","","","","",1,1,"",""
11,4820,99,100,0,0,"[9,25,24,13,14,33,7]","",1,"","","","","",1,1,"",""
12,4800,4781,0,0,0,"[25,4,5,22]","","","","","","","",1,1,"",""
13,4587,7311,100,0,0,"[9,25,13,14,40,7]",4802,"","","","","","",1,1,"",""
14,4802,7313,100,0,0,"[9,25,24,13,14,40,7]","",1,"","",7311,"","",1,1,"",""
15,4588,160,60,40,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
16,4589,180,100,0,0,"[9,25,13,14,22,35,7]","","","","","","","",1,1,"",""
17,4590,219,100,0,0,"[27,9,25,14,15]","","","","","","","",1,1,"",""
18,4591,228,0,100,0,"[10,25,13,7,36,33]",4808,"","","","","","",1,1,"",""
19,4808,7309,0,100,0,"[10,25,24,13,7,36,15,33]","",1,"","",228,"","",1,1,"",""
20,4592,4762,40,60,0,"[10,25,13,14,33,7]","","","","","","","",1,1,"",""
21,4593,237,0,100,0,"[10,25,13,5,7,36,0,1,2,14,6]","","","","","","","",1,1,"",""
22,4594,248,100,0,0,"[9,25,4,15,34]","","","","","","","",1,1,"",""
23,4796,250,100,0,0,"[9,25,24,4,15,34]","",1,"","",248,"","",1,1,"",""
24,4595,254,40,60,0,"[10,25,13,7,36]","","","","","","","",1,1,"",""
25,4596,264,0,60,40,"[10,25,13,22,35,7]","","","","","","","",1,1,"",""
