"rownum","Id","MonsterPacksKey","bool","i32","MonsterVarietiesKey"
0,"ProxyKey168",1,1,80,2347
1,"ProxyKey170",1,1,20,2384
2,"ProxyKey942",2,1,8,2387
3,"ProxyKey943",2,1,40,2384
4,"ProxyKey3336",2,1,40,2347
5,"ProxyKey3333",2,1,8,2352
6,"ProxyKey3340",2,1,4,2410
7,"ProxyKey1025",3,1,20,2387
8,"ProxyKey1026",3,1,20,2352
9,"ProxyKey1027",3,1,30,2347
10,"ProxyKey1028",3,1,30,2384
11,"ProxyKey177",4,1,60,408
12,"ProxyKey338",0,1,50,2352
13,"ProxyKey341",0,1,50,2387
14,"ProxyKey58",5,1,85,392
15,"ProxyKey165",5,1,15,400
16,"ProxyKey166",6,1,100,392
17,"ProxyKey1503",7,1,100,471
18,"ProxyKey452",8,1,50,2384
19,"ProxyKey394",8,1,50,2347
20,"ProxyKey259",9,1,45,2384
21,"ProxyKey254",9,1,45,2347
22,"ProxyKey3346",9,1,10,2410
23,"ProxyKey662",11,1,100,498
24,"ProxyKey660",12,1,50,572
25,"ProxyKey661",12,1,50,502
26,"ProxyKey658",13,1,50,572
27,"ProxyKey659",13,1,50,556
28,"ProxyKey3343",14,1,100,585
29,"ProxyKey1",15,1,25,250
30,"ProxyKey2",15,1,75,212
31,"ProxyKey21",16,1,100,296
32,"ProxyKey104",17,"",12,758
33,"ProxyKey151",18,"",12,758
34,"ProxyKey1489",19,"",1,3132
35,"ProxyKey1490",19,"",1,3133
36,"ProxyKey212",20,1,30,102
37,"ProxyKey264",20,1,70,802
38,"ProxyKey4",21,1,100,353
39,"ProxyKey218",22,1,70,54
40,"ProxyKey220",22,1,30,6
41,"ProxyKey63",23,1,100,54
42,"ProxyKey64",24,1,100,115
43,"ProxyKey66",25,1,100,51
44,"ProxyKey231",26,1,33,550
45,"ProxyKey232",26,1,33,531
46,"ProxyKey233",26,1,34,562
47,"ProxyKey223",27,1,40,799
48,"ProxyKey1401",27,1,60,803
49,"ProxyKey45",28,1,40,567
50,"ProxyKey100",28,1,60,659
51,"ProxyKey235",32,1,100,732
52,"ProxyKey49",30,1,30,48
53,"ProxyKey9",30,1,70,55
54,"ProxyKey1500",31,1,100,732
55,"ProxyKey236",29,1,20,3
56,"ProxyKey237",29,1,30,10
57,"ProxyKey238",29,1,50,49
58,"ProxyKey1501",33,1,50,10
59,"ProxyKey1502",33,1,50,49
60,"ProxyKey3",34,1,100,793
61,"ProxyKey496",35,1,100,1146
62,"ProxyKey242",36,1,30,262
63,"ProxyKey246",36,1,35,671
64,"ProxyKey916",36,1,35,669
65,"ProxyKey130",37,1,100,56
66,"ProxyKey229",38,1,33,1009
67,"ProxyKey1405",38,1,33,1011
68,"ProxyKey1406",38,1,34,1013
69,"ProxyKeyX486",39,1,100,1143
70,"ProxyKeyX619",40,"",2,1356
71,"ProxyKeyX599",41,1,100,1122
72,"ProxyKeyX583",44,1,100,1292
73,"ProxyKeyX57",45,1,100,1292
74,"ProxyKeyX548",46,1,100,1627
75,"ProxyKeyX596",47,1,100,1627
76,"ProxyKeyX525",48,1,100,1292
77,"ProxyKeyX597",49,1,100,1347
78,"ProxyKey1494",50,1,100,1247
79,"ProxyKeyX646",51,1,100,1125
80,"ProxyKeyX524",52,1,100,1119
81,"ProxyKeyX581",53,1,75,1204
82,"ProxyKeyX201",53,1,25,1228
83,"ProxyKey20",54,1,100,1410
84,"ProxyKey388_",55,"",3,1647
85,"ProxyKey458_",55,"",4,1700
86,"ProxyKey178",56,1,20,1685
87,"ProxyKey180",56,1,80,1688
88,"ProxyKey181",57,1,100,1258
89,"ProxyKey211",58,"",3,1111
90,"ProxyKey222",59,"",1,1221
91,"ProxyKey216",59,"",1,1237
92,"ProxyKey228",59,"",5,1186
93,"ProxyKey8",60,1,100,3483
94,"ProxyKey25",61,1,100,3483
95,"ProxyKey14",63,1,100,3551
96,"ProxyKey15",64,1,100,3560
97,"ProxyKey16",65,1,100,3560
98,"ProxyKey17",66,1,100,3560
99,"ProxyKey7",62,1,50,3660
100,"ProxyKey6",62,"",1,3670
101,"ProxyKey27",67,"",1,3666
102,"ProxyKey28",68,"",1,3677
103,"ProxyKey29",69,"",1,3677
104,"ProxyKey30",69,"",2,3679
105,"ProxyKey702",76,1,100,3438
106,"ProxyKey1285",77,1,100,947
107,"ProxyKey1300",78,1,100,782
108,"ProxyKey2533",80,1,30,1026
109,"ProxyKey2534",80,1,30,1027
110,"ProxyKey2535",80,1,40,1028
111,"ProxyKey7800",81,1,100,3438
112,"ProxyKey11055",82,"",3,5199
113,"ProxyKey11066",82,"",2,5200
114,"ProxyKey1109",82,"",3,5201
115,"ProxyKey1110",87,1,25,601
116,"ProxyKey1111",87,1,25,602
117,"ProxyKey2341",87,1,25,604
118,"ProxyKey2342",87,1,25,605
119,"ProxyKey2347",88,"",1,1289
120,"ProxyKey2348",88,"",1,1286
121,"ProxyKey2349",88,1,100,1292
122,"ProxyKey2352",89,1,100,1591
123,"ProxyKey2353",89,"",2,1594
124,"ProxyKey486",102,"",1,1221
125,"ProxyKey488",102,"",1,1237
126,"ProxyKey489",102,"",3,1186
127,"ProxyKey499",103,"",1,1221
128,"ProxyKey500",103,"",1,1237
129,"ProxyKey501",103,"",6,1185
130,"ProxyKey495",104,"",3,1111
131,"ProxyKey194",105,1,40,4
132,"ProxyKey195",105,1,40,56
133,"ProxyKey5001",105,1,20,57
134,"ProxyKey198",106,1,20,6
135,"ProxyKey241",106,1,60,52
136,"ProxyKey1784",106,1,20,7
137,"ProxyKey244",107,1,20,8
138,"ProxyKey312",107,1,60,48
139,"ProxyKey1783",107,1,20,7
140,"ProxyKey245",108,1,30,9
