"rownum","Id","SoundFile","BankFile","i32","bool","string","row","[rid]"
0,"Default","","",52546,1,"Default Hideout Music",26,"[14,15]"
1,"Silence","","",122,1,"Silence",26,[14]
2,"MainMenu","Audio/Music/Main Menu/Main Menu v3 Final_x4.ogg","Music1.bank",48845,1,"Main Theme",26,[14]
3,"Act1_TwilightStrand","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",21484,1,"Twilight Strand",26,[2]
4,"Act1_Encampment","Audio/Music/Act1_Encampment/Act1_Encampment.ogg","Music1.bank",58824,1,"Lioneye's Watch (A1)",26,"[2,1]"
5,"Act1_SandBeach","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",5991,1,"Coast",26,[2]
6,"Act1_TidalIsland","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",17334,1,"Tidal Island",26,[2]
7,"Act1_MudFlats","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",9697,1,"Mud Flats",26,[2]
8,"Act1_FetidPool","Audio/Music/Act3_Sewers/Act3_Sewers.ogg","Music6.bank",29492,1,"Fetid Pool",26,[2]
9,"Act1_Cave","Audio/Music/Act1_Cave/Act1_Cave.ogg","Music1.bank",24663,1,"Submerged Passage",26,[2]
10,"Act1_FloodedDepths","Audio/Music/Act1_Cave/Act1_Cave.ogg","Music1.bank",17824,1,"Flooded Depths",26,[2]
11,"Act1_Cliff","Audio/Music/Act1_Cliff/Act1_Cliff.ogg","Music2.bank",19519,1,"Ledge",26,[2]
12,"Act1_Climb","Audio/Music/Act1_Cliff/Act1_Cliff.ogg","Music2.bank",44102,1,"Climb",26,[2]
13,"Act1_Prison","Audio/Music/Act6_Prison/Act6_Prison","Music23.bank",9977,1,"Prison",26,[2]
14,"Act1_Brutus","Audio/Music/Act1_Brutus/Act1_Brutus.ogg","Music2.bank",37397,1,"Brutus",26,"[2,0]"
15,"Act1_PrisonersGate","Audio/Music/Act1_Cliff/Act1_Cliff.ogg","Music2.bank",7828,1,"Prisoner's Gate",26,[2]
16,"Act1_DarkBeach","Audio/Music/Act1_DarkBeach/Act1_DarkBeach.ogg","Music2.bank",6754,1,"Ship Graveyard",26,[2]
17,"Act1_CaveVocal","Audio/Music/Act1_Cave/Act1_CaveVocal.ogg","Music1.bank",19601,1,"Merveil's Caverns",26,[2]
18,"Act1_BossFight","Audio/Music/Act1_Bossfight/Act1_Bossfight.ogg","Music3.bank",42558,1,"Merveil",26,"[2,0]"
19,"Act2_SouthernForest","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",14718,1,"Southern Forest",26,[3]
20,"Act2_Encampment","Audio/Music/Act2_Encampment/Act2_Encampment.ogg","Music3.bank",38510,1,"Forest Encampment",26,"[3,1]"
21,"Act2_DryForest","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",605,1,"Old Fields",26,[3]
22,"Act2_Cave","Audio/Music/Act2_Cave/Act2_Cave.ogg","Music4.bank",44190,1,"Den",26,[3]
23,"Act2_Crossroads","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",3642,1,"Crossroads",26,[3]
24,"Act2_DarkForest","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",18478,1,"Fellshrine Ruins",26,[3]
25,"Act2_ChurchDungeon","Audio/Music/Act2_ChurchDungeon/Act2_ChurchDungeon.ogg","Music4.bank",54156,1,"Crypt",26,[3]
26,"Act2_TempleRuin","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",62878,1,"Chamber of Sins",26,[3]
27,"Act2_BrokenBridge","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",36993,1,"Broken Bridge",26,[3]
28,"Act2_Riverways","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",59768,1,"Riverways",26,[3]
29,"Act2_WesternForest","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",6930,1,"Western Forest",26,[3]
30,"Act2_WeaversChambers","Audio/Music/Act2_Cave/Act2_Cave.ogg","Music4.bank",16901,1,"Weaver's Chambers",26,[3]
31,"Act2_Wetlands","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",47380,1,"Wetlands",26,[3]
32,"Act2_VaalDungeon","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",60102,1,"Vaal Ruins",26,[3]
33,"Act2_Darkness","Audio/Music/Act2_DarknessEvent/Darkness_Event.ogg","Music5.bank",12924,1,"Darkness",26,[3]
34,"Act2_NorthernForest","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",10607,1,"Northern Forest",26,[3]
35,"Act2_DreadThicket","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",47339,1,"Dread Thicket",26,[3]
36,"Act2_AncientPyramid","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",2817,1,"Ancient Pyramid",26,[3]
37,"Act2_VaalShadow","Audio/Music/Act2_Bossfight/Act2_Bossfight.ogg","Music5.bank",98,"","Vaal Oversoul",26,"[3,0]"
38,"Act3_Intro","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",43893,1,"City of Sarn",26,[4]
39,"Act3_Encampment","Audio/Music/Act8_Encampment/Act8_Encampment","Music21.bank",55554,1,"Sarn Encampment",26,"[4,1]"
40,"Act3_Slums","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",18220,1,"Slums",26,[4]
41,"Act3_Crematorium","Audio/Music/Act6_Prison/Act6_Prison","Music23.bank",46949,1,"Crematorium",26,[4]
42,"Act3_Sewers","Audio/Music/Act3_Sewers/Act3_Sewers.ogg","Music6.bank",29508,1,"Sewers",26,[4]
43,"Act3_Markets","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",8059,1,"Marketplace",26,[4]
44,"Act3_Catacombs","Audio/Music/Act2_ChurchDungeon/Act2_ChurchDungeon.ogg","Music4.bank",32928,1,"Catacombs",26,[4]
45,"Act3_Battlefront","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",26715,1,"Battlefront",26,[4]
46,"Act3_Solaris","Audio/Music/Act3_Solaris/Act3_Solaris.ogg","Music7.bank",44975,1,"Solaris Temple",26,[4]
47,"Act3_Docks","Audio/Music/Act3_Sewers/Act3_Sewers.ogg","Music6.bank",38891,1,"Docks",26,[4]
48,"Act3_EbonyBarracks","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",30532,1,"Ebony Barracks",26,[4]
49,"Act3_Lunaris","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",24533,1,"Lunaris Temple",26,[4]
50,"Act3_Piety","Audio/Music/Act3_Lunaris/1_3_14_Lunaris_BossFight.ogg","Music7.bank",40410,1,"Piety",26,"[4,0]"
