"rownum","BaseItemTypesKey","Code","i32","bool"
0,9,"alch",0,1
1,12,"alt",0,1
2,198,"annul",0,1
3,175,"apprentice-sextant",0,1
4,11,"aug",0,""
5,17,"bauble",0,""
6,24,"blessed",0,1
7,7,"chance",0,1
8,5,"chaos",20,1
9,19,"chisel",0,1
10,20,"chrome",0,1
11,23,"divine",0,1
12,202,"engineers",0,""
13,14,"exalted",0,1
14,353,"facetors",0,""
15,21,"fusing",0,1
16,18,"gcp",0,1
17,203,"infused-engineers-orb",0,""
18,22,"jewellers",0,1
19,176,"journeyman-sextant",0,1
20,177,"master-sextant",0,1
21,1,"mirror",0,1
22,265,"offer",0,""
23,268,"offer-dedication",0,""
24,267,"offer-gift",0,""
25,266,"offer-tribute",0,""
26,37,"p",0,1
27,16,"portal",0,""
28,15,"regal",0,1
29,3,"regret",0,1
30,13,"scour",0,1
31,0,"scrap",0,""
32,38,"silver",0,1
33,8,"transmute",0,""
34,32,"vaal",0,1
35,10,"whetstone",0,""
36,2,"wisdom",0,""
