"rownum","WorldAreas","i32","i32","i32","NPCTextAudioKey","string","string"
0,11,263,151,275,1002,"R_top","L_top"
1,23,265,151,363,1004,"R_mid","L_mid"
2,26,264,151,451,1003,"R_btm","L_btm"
3,41,266,548,275,1005,"L_top","R_top"
4,43,268,548,363,1007,"L_mid","R_mid"
5,52,267,548,451,1006,"L_btm","R_btm"
6,89,269,151,275,1002,"R_top","L_top"
7,103,271,151,363,1004,"R_mid","L_mid"
8,105,270,151,451,1003,"R_btm","L_btm"
9,121,272,548,275,1005,"L_top","R_top"
10,139,273,548,363,1007,"L_mid","R_mid"
11,153,274,548,451,1006,"L_btm","R_btm"
12,742,281,151,275,1002,"R_top","L_top"
13,741,283,151,363,1004,"R_mid","L_mid"
14,739,282,151,451,1003,"R_btm","L_btm"
15,740,284,548,275,1005,"L_top","R_top"
16,744,286,548,363,1007,"L_mid","R_mid"
17,743,285,548,451,1006,"L_btm","R_btm"
