"rownum","MonsterVarietiesKey","i32","MinLevel","MaxLevel","i32"
0,5047,100,0,25,100
1,5048,100,0,25,100
2,5049,100,0,25,100
3,5050,100,0,25,100
4,5051,100,0,25,100
5,5052,100,10,100,100
6,5053,100,10,100,100
7,5054,100,10,100,100
8,5055,100,10,100,100
9,5056,100,25,100,100
10,5057,100,25,100,100
11,5060,100,25,100,100
12,5063,100,25,100,100
13,5066,100,25,100,100
14,5069,100,46,100,100
15,5072,100,46,100,100
16,5075,100,46,100,100
17,5078,100,46,100,100
18,5081,100,46,100,100
19,5084,20,60,100,40
20,5085,20,60,100,40
21,5086,20,60,100,40
22,5087,20,60,100,40
23,5088,20,60,100,40
24,5089,20,60,100,40
25,5090,20,60,100,40
26,5091,20,60,100,40
27,5092,20,60,100,40
