"rownum","Contract_BaseItemTypesKey","Level","Cost1_BaseItemTypesKeys","Cost1_Values","Cost2_BaseItemTypesKeys","Cost2_Values","Cost3_BaseItemTypesKeys","Cost3_Values","Cost4_BaseItemTypesKeys","Cost4_Values"
0,7453,1,[10],[1],[11],[1],[6],[1],[],[]
1,7453,46,[7],[1],[6],[1],[2],[1],[],[]
2,7454,1,[10],[1],[11],[1],[6],[1],[],[]
3,7454,46,[7],[1],[6],[1],[2],[1],[],[]
4,7455,1,[10],[1],[11],[1],[6],[1],[],[]
5,7455,46,[7],[1],[6],[1],[2],[1],[],[]
6,7456,1,[10],[1],[11],[1],[6],[1],[],[]
7,7456,46,[7],[1],[6],[1],[2],[1],[],[]
8,7457,1,[10],[1],[11],[1],[6],[1],[],[]
9,7457,46,[7],[1],[6],[1],[2],[1],[],[]
10,7458,1,[10],[1],[11],[1],[6],[1],[],[]
11,7458,46,[7],[1],[6],[1],[2],[1],[],[]
12,7459,1,[10],[1],[11],[1],[6],[1],[],[]
13,7459,46,[7],[1],[6],[1],[2],[1],[],[]
14,7460,1,[10],[1],[11],[1],[6],[1],[],[]
15,7460,46,[7],[1],[6],[1],[2],[1],[],[]
