"rownum","BaseItemTypesKey","ItemVisualEffectKey","ItemVisualIdentityKey1","ItemVisualIdentityKey2","[rid]","[i32]","[rid]","bool","[i32]","[i32]","bool"
0,409,12,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
1,410,2,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
2,411,1,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
3,412,13,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
4,413,0,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
5,414,14,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
6,415,3,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
7,416,4,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
8,417,5,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
9,418,6,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
10,419,7,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
11,420,8,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
12,421,9,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
13,422,10,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
14,423,15,"","",[],"[7,0,0,0,8,0,0]",[],"",[],"[2,5]",""
15,424,15,"","",[],"[7,0,0,0,8,0,0]",[],"",[],"[2,5]",""
16,425,15,"","",[],"[7,0,0,0,8,0,0]",[],"",[],"[2,5]",""
17,426,16,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
18,427,17,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",1
19,428,18,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",1
20,429,19,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",1
21,430,20,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",1
22,431,21,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
23,432,22,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
24,433,23,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
25,434,24,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
26,435,25,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
27,436,43,"","",[],"[37,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0]",[],"",[],"[2,5]",""
28,338,"","",3075,[],[25],[],"",[],"[8,21]",""
29,337,"","",3074,[],[25],[],"",[],"[8,21]",""
