"rownum","Id","Name","Category","i32","bool","[rid]","[rid]","bool","bool","bool","i32","i32","bool","bool","bool","bool","bool","bool","bool","rid"
0,"LifeFlask","Life Flasks","Flasks",1,"",[],[],"","","",2387,1114,"","","","","","",1,""
1,"ManaFlask","Mana Flasks","Flasks",1,"",[],[],"","","",2387,1114,"","","","","","",1,""
2,"HybridFlask","Hybrid Flasks","Flasks",1,"",[],[],"","","",2387,1114,"","","","","","",1,""
3,"Currency","Currency","Other",6,"",[],[],"",1,"",2387,1114,"","","","","","","",""
4,"Amulet","Amulets","Jewellery",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,""
5,"Ring","Rings","Jewellery",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,""
6,"Claw","Claws","One Handed Weapon",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,0
7,"Dagger","Daggers","One Handed Weapon",4,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,1
8,"Wand","Wands","One Handed Weapon",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,2
9,"One Hand Sword","One Hand Swords","One Handed Weapon",3,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,3
10,"Thrusting One Hand Sword","Thrusting One Hand Swords","One Handed Weapon",3,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,4
11,"One Hand Axe","One Hand Axes","One Handed Weapon",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,3
12,"One Hand Mace","One Hand Maces","One Handed Weapon",2,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,3
13,"Bow","Bows","Two Handed Weapon",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,5
14,"Staff","Staves","Two Handed Weapon",5,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,6
15,"Two Hand Sword","Two Hand Swords","Two Handed Weapon",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,7
16,"Two Hand Axe","Two Hand Axes","Two Handed Weapon",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,8
17,"Two Hand Mace","Two Hand Maces","Two Handed Weapon",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,8
18,"Active Skill Gem","Active Skill Gems","Gems",6,"",[],[],"",1,"",2387,1114,"",1,"","","","","",""
19,"Support Skill Gem","Support Skill Gems","Gems",6,"",[],[],"",1,"",2387,1114,"",1,"","","","","",""
20,"Quiver","Quivers","Off-hand",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,9
21,"Belt","Belts","Jewellery",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,""
22,"Gloves","Gloves","Armor",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,""
23,"Boots","Boots","Armor",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,""
24,"Body Armour","Body Armours","Armor",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,""
25,"Helmet","Helmets","Armor",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,""
26,"Shield","Shields","Off-hand",6,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,10
27,"SmallRelic","Small Relics","",6,"",[],[],"","","",2387,1114,"","","","","","","",""
28,"MediumRelic","Medium Relics","",6,"",[],[],"","","",2387,1114,"","","","","","","",""
29,"LargeRelic","Large Relics","",6,"",[],[],"","","",2387,1114,"","","","","","","",""
30,"StackableCurrency","Stackable Currency","",6,"",[],[],"",1,"",2387,1114,"","","","","","","",""
31,"QuestItem","Quest Items","",6,"",[],[],"","","",2387,1114,1,"","","","","","",""
32,"Sceptre","Sceptres","One Handed Weapon",2,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,3
33,"UtilityFlask","Utility Flasks","Flasks",1,"",[],[],"","","",2387,1114,"","","","","","",1,""
34,"UtilityFlaskCritical","Critical Utility Flasks","",1,"",[],[],"","","",2387,1114,"","","","","","",1,""
35,"Map","Maps","Other",6,"",[],[],"",1,"",1783,1114,"",1,"","","","","",""
36,"Unarmed","","",6,"",[],[],"","","",2387,1114,"","","","","","",1,""
37,"FishingRod","Fishing Rods","",6,"",[],[],"","","",2387,1114,"",1,1,"",1,1,1,7
38,"MapFragment","Map Fragments","Other",6,"",[],[],1,1,"",2387,1114,"","","","","","","",""
39,"HideoutDoodad","Hideout Doodads","",6,"",[],[],"","","",2387,1114,"","","","","","","",""
40,"Microtransaction","Microtransactions","Microtransactions",6,"",[],[],"","","",2387,1114,"","","","","","","",""
41,"Jewel","Jewel","Other",6,"",[],[],"",1,"",1776,1114,"",1,"","",1,"","",""
42,"DivinationCard","Divination Card","Other",6,"",[],[],"",1,"",1777,1114,"","","","","","","",""
43,"LabyrinthItem","Labyrinth Item","",6,1,[],[],"","","",2387,1114,1,"","","","","","",""
44,"LabyrinthTrinket","Labyrinth Trinket","",6,1,[],[],"","","",2387,1114,1,"","","","","","",""
45,"LabyrinthMapItem","Labyrinth Map Item","",6,"",[],[],1,1,"",2387,1114,"","","","","","","",""
46,"MiscMapItem","Misc Map Items","Other",6,"",[],[],"",1,"",2387,1114,"",1,"","","","","",""
47,"Leaguestone","Leaguestones","Other",6,"",[],[],"",1,"",2387,1114,"","","","","","","",""
48,"PantheonSoul","Pantheon Soul","",6,"",[],[],"","","",2387,1114,1,"","","","","","",""
49,"UniqueFragment","Piece","Other",6,"",[],[],1,1,"",2387,1114,"","","","","","","",""
50,"AbyssJewel","Abyss Jewel","Other",6,"",[],[],"",1,"",2387,1114,"",1,"","",1,"","",""
51,"IncursionItem","Incursion Item","",6,1,[],[],1,"","",2387,1114,1,"","","","","","",""
52,"DelveSocketableCurrency","Delve Socketable Currency","",6,"",[],[],"",1,"",2387,1114,"","","","","","","",""
53,"Incubator","Incubator","",6,"",[],[],"",1,"",2387,1114,"","","","","","","",""
54,"UniqueShard","Shard","",6,"",[],[],"","","",2387,1114,"","","","","","","",""
55,"UniqueShardBase","Shard Heart","",6,"",[],[],"","","",2387,1114,"","","","","","","",""
56,"Rune Dagger","Rune Daggers","One Handed Weapon",4,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,1
57,"Warstaff","Warstaves","Two Handed Weapon",5,"",[],[],"","",1,2387,1114,"",1,1,1,1,1,1,6
58,"DelveStackableSocketableCurrency","Delve Stackable Socketable Currency","",6,"",[],[],"",1,"",2387,1114,"","","","","","","",""
59,"AtlasRegionUpgradeItem","Atlas Region Upgrade Item","",6,"",[],[],"","","",2387,607,"","","","","","","",""
60,"MetamorphosisDNA","Metamorph Sample","",6,"",[],[],1,1,"",2387,1114,"","","","","","","",""
61,"HiddenItem","Hidden Item","",6,"",[],[],"","","",2387,1114,"","","","","","","",""
