"rownum","Metadata","i32","[i32]","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","bool","bool","bool","bool","bool","i32","i32","i32","i32","i32","i32","i32","string","bool","bool","string","[i32]","i32","i32","i32","i32"
0,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",1,"[6455,0,0,0]",100,500,0,0,6000,8000,0,0,"",1,"","","",1,"","",65536,327680,0,0,327680,0,1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0
1,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",10,"[6455,0,0,0]",100,500,0,0,5500,7500,0,0,"",1,"","","",1,"","",65536,327680,327680,0,327680,0,1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0
2,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",20,"[6455,0,0,0]",100,500,0,0,5000,7000,0,0,"",1,"","","",1,"","",65536,327680,655360,0,327680,0,1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0
3,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",30,"[6455,0,0,0]",100,500,0,0,4500,6500,0,0,"",1,"","","",1,"","",65536,327680,983040,0,327680,0,1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0
4,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",40,"[6455,0,0,0]",100,500,0,0,4000,6000,0,0,"",1,"","","",1,"","",65536,327680,1310720,0,327680,0,1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0
5,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",50,"[6455,0,0,0]",100,500,0,0,3750,5750,0,0,"",1,"","","",1,"","",65536,327680,1638400,0,327680,0,1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0
6,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",60,"[6455,0,0,0]",100,500,0,0,3500,5500,0,0,"",1,"","","",1,"","",65536,327680,1638400,0,327680,0,1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0
7,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",70,"[6455,0,0,0]",100,500,0,0,3250,5250,0,0,"",1,"","","",1,"","",65536,327680,1638400,0,327680,0,1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0
8,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",80,"[6455,0,0,0]",100,500,0,0,3000,5000,0,0,"",1,"","","",1,"","",65536,327680,1966080,0,327680,0,1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0
9,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",1,"[6461,0]",20,500,0,0,8000,10000,0,0,"",1,"","","",1,"","",65536,65536,0,0,327680,0,1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0
10,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",10,"[6461,0]",20,500,0,0,8000,10000,0,0,"",1,"","","",1,"","",65536,65536,0,0,327680,0,1,"triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0
