"rownum","Id","MonsterVarietiesKey","rid","rid","rid"
0,"ProxyKey1",3490,"","",""
1,"ProxyKey2",3495,"","",""
2,"ProxyKey3",13,"","",""
3,"ProxyKey4",3932,"","",""
4,"ProxyKey5",3938,"","",""
5,"ProxyKey6",3901,"","",""
6,"ProxyKey7",4406,"","",""
7,"ProxyKey8",4408,"","",""
8,"ProxyKey9",402,"","",""
9,"ProxyKey10",442,"","",""
10,"ProxyKey11",742,"","",""
11,"ProxyKey12",3496,"","",""
12,"ProxyKey13",943,"","",""
13,"ProxyKey14",1181,"","",""
14,"ProxyKey15",2234,"","",""
15,"ProxyKey16",2243,"","",""
16,"ProxyKey17",3006,"","",""
17,"ProxyKey18",403,"","",""
18,"ProxyKey19",443,"","",""
19,"ProxyKey20",743,"","",""
20,"ProxyKey21",5505,1745,1746,1747
