"rownum","Id","QuestStates","[i32]","AchievementItemsKeys","[rid]"
0,"UnlockScionClass",[532],[],[1018],[]
1,"RescueNavali",[],[287],[],"[170,175]"
2,"DefeatShaper",[],[318],[4221],"[114,136]"
3,"DefeatElder",[],[317],[],"[114,136]"
4,"DefeatUberElder",[],[319],[],"[114,136]"
5,"UnlockLabyrinth",[898],[],[],[]
6,"LabyrinthComplete1",[900],[],"[983,0,0]",[]
7,"LabyrinthComplete2",[993],[],"[984,0,0]",[]
8,"LabyrinthComplete3",[994],[],"[985,0,0]",[]
9,"LabyrinthComplete4",[901],[],"[1048,0,0]",[]
10,"LabyrinthAllComplete","[900,993,994,901]",[],[],[]
11,"LabyrinthUseHiddenSwitch",[940],[],[],[]
12,"LabyrinthUseSilverKey",[941],[],[],[]
13,"LabyrinthUseGoldKey",[942],[],[],[]
14,"LabyrinthUseGauntlet",[943],[],[],[]
15,"LabyrinthUsePuzzle",[944],[],[],[]
16,"LabyrinthUseSecretPassage",[945],[],[],[]
17,"LabyrinthCompleteMapTrial1",[],[282],[],[]
18,"LabyrinthCompleteMapTrial2",[],[284],[],[]
19,"LabyrinthCompleteMapTrial3",[],[283],[],[]
20,"LabyrinthCompleteMapTrial4",[],[281],[],[]
21,"LabyrinthCompleteMapTrial5",[],[285],[],[]
22,"LabyrinthCompleteMapTrial6",[],[286],[],[]
23,"QuestCompleteMercyMission",[43],[],[],[1]
24,"QuestCompleteFairgravesA1",[48],[],[],[2]
25,"QuestCompleteDeepDweller",[116],[],[7208],[0]
26,"QuestCompleteADirtyJob",[228],[],[7701],[0]
27,"QuestCompleteWayForward",[234],[],[],[2]
28,"QuestCompleteBrutus",[6],[],[989],[0]
29,"QuestCompleteMerveil",[10],[],"[990,0]",[1]
30,"QuestCompleteKraityn",[55],[],[1053],[14]
31,"QuestCompleteAlira",[57],[],[1052],[13]
32,"QuestCompleteOak",[90],[],[1054],[15]
33,"QuestCompleteGoldenHand",[88],[],[],[10]
34,"QuestCompleteGreatWhiteBeast",[247],[],[7451],[10]
35,"QuestCompleteOversoul",[86],[],"[991,0]",[9]
36,"QuestCompleteGeneralGravicius",[210],[],[904],[19]
37,"QuestCompletePietyLunaris",[217],[],[992],[20]
38,"QuestCompleteVictario",[459],[],[],[16]
39,"QuestCompleteGoldenPages",[491],[],[7702],[26]
40,"QuestCompleteFairgravesA3",[201],[],[],[2]
41,"QuestCompleteDominus",[223],[],"[913,0,0]",[20]
42,"QuestCompleteDeshret",[753],[],[7452],[107]
43,"QuestCompleteMalachai",[665],[],"[2508,0]",[104]
44,"QuestCompleteMiasmeter",[1066],[],[],[187]
45,"QuestCompleteUtula",[1080],[],[7703],[189]
46,"QuestCompleteKitavaA5",[1086],[],"[4213,0]",[192]
47,"QuestCompleteKitavasTorments",[1091],[],[],[186]
48,"QuestCompleteBrineKing",[1165],[],"[1028,0,0]",[200]
49,"QuestCompleteTukohama",[1176],[],[1028],[200]
50,"QuestCompleteClearTwilightStrand",[1188],[],[6960],[196]
51,"QuestCompleteBestelsEpic",[1253],[],[7453],[195]
52,"QuestCompleteRyslatha",[1194],[],[1028],[200]
53,"QuestCompleteAbberath",[1201],[],[1028],[200]
54,"QuestCompleteArakaali",[1295],[],"[1028,0,0]",[224]
55,"QuestCompleteRalakesh",[1274],[],[1028],[224]
56,"QuestCompleteSilverLocket",[1311],[],[7211],[229]
57,"QuestCompleteKisharasStar",[1317],[],[],[229]
58,"QuestCompleteInMemoryOfGreust",[1380],[],[7704],[233]
59,"QuestCompleteGruthkul",[1387],[],[1028],[224]
60,"QuestCompleteSolarisLunaris",[1427],[],"[1028,0,0]",[241]
61,"QuestCompleteYugul",[1439],[],[1028],[241]
62,"QuestCompleteTolmanZombie",[1453],[],[],[238]
63,"QuestCompleteGemlingLegion",[1462],[],[],[237]
64,"QuestWingsOfVastiri",[1444],[],[7454],[236]
