"rownum","string","rid","[f32]","[rid]","[string]"
0,"FireSurgeMultiSpeed",4491,"[1,2,3]","[4491,4491,4491]","[""slow"",""medium"",""fast""]"
1,"ColdSurgeMultiSpeed",4908,"[1,2,3]","[4908,4908,4908]","[""slow"",""medium"",""fast""]"
2,"LightningSurgeMultiSpeed",4907,"[1,2,3]","[4907,4907,4907]","[""slow"",""medium"",""fast""]"
3,"FlameSurge3",2391,[],[],[]
4,"ColdSurge1",2404,[],[],[]
5,"GemlingColdSurge",2449,[],[],[]
6,"LightningSurge1",2405,[],[],[]
7,"ChaosSurge1",2406,[],[],[]
8,"HolySurge1",2415,[],[],[]
9,"PoisonSurge1",2416,[],[],[]
10,"AuraSurgeRed1",2410,[],[],[]
11,"AuraSurgePurple1",2412,[],[],[]
12,"AuraSurgeGreen1",2408,[],[],[]
13,"AuraSurgeLightGreen1",2409,[],[],[]
14,"AuraSurgeGolden1",2413,[],[],[]
15,"AuraSurgeBlue1",2411,[],[],[]
16,"FocusSurge",2495,[],[],[]
17,"VortexSurge",2611,[],[],[]
18,"HuntsmanAuraStart",2885,[],[],[]
19,"MadcapPhaseRunStart",2843,[],[],[]
20,"MoltenShellCast",3098,[],[],[]
21,"StygianMoltenShellCast",3981,[],[],[]
22,"MoltenShellCastViper",4928,[],[],[]
23,"VaalMoltenShellCast",3099,[],[],[]
24,"StygianVaalMoltenShellCast",3991,[],[],[]
25,"AuraSurgeOrange1",2414,[],[],[]
26,"MinionFocusFireSurge",3364,[],[],[]
27,"PolarisBlackAuraStart",3532,[],[],[]
28,"PolarisWhiteAuraStart",3533,[],[],[]
29,"FrenzyArrowBaseSurge",3595,[],[],[]
30,"ArrowBaseSurgeFire",3713,[],[],[]
31,"ArrowBaseSurgeIce",3714,[],[],[]
32,"ArrowBaseSurgeLightning",3715,[],[],[]
33,"ArrowBaseSurgePhys",3716,[],[],[]
34,"ArrowBaseSurgePhysRed",3717,[],[],[]
35,"ArrowBaseSurgeChaos",3718,[],[],[]
36,"BladeBurstSurge",3834,[],[],[]
37,"IllusionistBladeBlastSurgeEffect",3935,[],[],[]
38,"SawbladeBladeBlastSurgeEffect",3945,[],[],[]
39,"AuraSurgeScientist",3918,[],[],[]
40,"StygianSurgeNew",5154,[],[],[]
41,"DarkSurge",4007,[],[],[]
42,"AngelicAuraEffect",4012,[],[],[]
43,"DemonicAuraEffect",4013,[],[],[]
44,"MicrotransactionDragonHunterSurge",4017,[],[],[]
45,"DesecrateStygianSurge",3986,[],[],[]
46,"GhostflameSurge",2446,[],[],[]
47,"FlameSurgeNew",4244,[],[],[]
48,"CelestialSurge",2447,[],[],[]
49,"HarbingerSurge",2448,[],[],[]
50,"ColdSurgeNew",4245,[],[],[]
51,"LightningSurgeNew",4246,[],[],[]
52,"DetonateBrandsSurge",4325,[],[],[]
53,"SunriseAuraEffect",4408,[],[],[]
54,"NightfallAuraEffect",4409,[],[],[]
55,"VoidSurge",4789,[],[],[]
56,"BladeVortexIllusionist",4829,[],[],[]
57,"AutomatonSurge",4830,[],[],[]
58,"DeathWishSurge",4856,[],[],[]
59,"DarkwoodSurge",4893,[],[],[]
60,"ChaoticEthercraftAura",4913,[],[],[]
61,"EnragedEthercraftAura",4914,[],[],[]
62,"SavageEthercraftAura",4915,[],[],[]
63,"TranquilEthercraftAura",4916,[],[],[]
64,"BlasphemySurge",4943,[],[],[]
65,"SufferingSurge",5048,[],[],[]
66,"MiserySurge",5071,[],[],[]
67,"BlueDragonSurge",5074,[],[],[]
68,"RedDragonSurge",5075,[],[],[]
69,"CombinedDragonSurge",5076,[],[],[]
70,"MicrotransactionFrostVikingSurge",5156,[],[],[]
71,"FirestormCelestialSurge",5202,[],[],[]
72,"MicrotransactionLightbringerSurge",5212,[],[],[]
73,"MicrotransactionDarkshardSurge",5213,[],[],[]
74,"BloodTendrilsSurge",5217,[],[],[]
75,"BloodSurgeSurge",5222,[],[],[]
76,"ArcPurpleSurge",5223,[],[],[]
77,"RadiantSurge",5224,[],[],[]
78,"MicrotransactionMerchantSurge",5240,[],[],[]
79,"CelestialWaveOfConvictionSurge",5264,[],[],[]
80,"StygianWaveOfConvictionSurge",5265,[],[],[]
81,"FrenzyArrowSurgeArcane",5304,[],[],[]
82,"SummonRavenSurge",5322,[],[],[]
83,"SummonBloodRavenSurge",5323,[],[],[]
84,"SummonBeesSurge",5324,[],[],[]
85,"CelestialSummonRagingSpiritSurge",5325,[],[],[]
86,"SummonArcaneEyeSurge",797,[],[],[]
87,"PainSuppressionSurge",5328,[],[],[]
88,"SunSurge",5340,[],[],[]
89,"BloodreapSurge",5397,[],[],[]
90,"IceShotVaalOrbSurge",129,[],[],[]
91,"RighteousFireLightbringerSurge",5433,[],[],[]
